min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,inf,correlation,auto,4,13.845487594604492,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,,,skl_OPTICS,s-set1_y.zip
10,inf,correlation,auto,4,13.747393608093262,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,1000.0,20.0,skl_OPTICS,s-set1_y.zip
10,inf,correlation,auto,4,13.777098894119264,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,100.0,20.0,skl_OPTICS,s-set1_y.zip
10,inf,correlation,auto,4,13.856085300445557,0.3455,2861.2145,1.2142,0.5582,0.1168,0.5956,0.3498,0.3504,0.22,0.8598,0.3504,0.3427,inf,20.0,skl_OPTICS,s-set1_y.zip
10,inf,cosine,auto,4,24.671905755996704,-0.4862,49.1367,11.457,0.8616,0.0291,1.6839,0.4241,0.4786,0.6221,0.3889,0.4786,0.1036,,,skl_OPTICS,s-set1_y.zip
10,inf,cosine,auto,4,20.14903736114502,-0.4862,49.1367,11.457,0.8616,0.0291,1.6839,0.4241,0.4786,0.6221,0.3889,0.4786,0.1036,1000.0,20.0,skl_OPTICS,s-set1_y.zip
10,inf,cosine,auto,4,26.05886650085449,-0.4862,49.1367,11.457,0.8616,0.0291,1.6839,0.4241,0.4786,0.6221,0.3889,0.4786,0.1036,100.0,20.0,skl_OPTICS,s-set1_y.zip
10,inf,cosine,auto,4,21.47641158103943,-0.4862,49.1367,11.457,0.8616,0.0291,1.6839,0.4241,0.4786,0.6221,0.3889,0.4786,0.1036,inf,20.0,skl_OPTICS,s-set1_y.zip
10,inf,euclidean,auto,4,10.521045207977297,-0.6298,20.5024,1.4172,0.3437,0.0038,0.4746,0.2226,0.2503,0.1753,0.437,0.2503,0.2192,,,skl_OPTICS,s-set1_y.zip
10,inf,euclidean,auto,4,11.984490633010864,-0.6298,20.5024,1.4172,0.3437,0.0038,0.4746,0.2226,0.2503,0.1753,0.437,0.2503,0.2192,1000.0,20.0,skl_OPTICS,s-set1_y.zip
