n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,1.1128580570220947,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,,,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.8560621738433838,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.6851155757904053,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.8712379932403564,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.9488921165466307,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,,,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.8236100673675537,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.59084153175354,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.9134726524353028,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,1.0786821842193604,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,,,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.5815281867980957,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.4410266876220703,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.6324942111968994,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.8560621738433838,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.6851155757904053,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,0.8712379932403564,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.8236100673675537,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.59084153175354,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,0.9134726524353028,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.5815281867980957,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,1000.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.4410266876220703,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,100.0,20.0,skl_kmeans,s-set1_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,0.6324942111968994,0.3841,3211.6775,1.1371,0.5624,0.1293,0.6673,0.3924,0.3929,0.2465,0.967,0.3929,0.3606,inf,20.0,skl_kmeans,s-set1_y.zip-2_k
