n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.9801232814788818,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.9984519481658936,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1.0204951763153076,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.0868403911590576,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.1086444854736328,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.0032198429107666,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.8926975727081299,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.0028209686279297,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.007962703704834,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.076547145843506,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.9813683032989502,0.2061,2572.6036,0.8208,0.8135,0.338,1.4978,0.7,0.7012,0.5533,0.9568,0.7012,0.4988,kmeans+dt,s-set1_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,1.0229592323303225,0.2134,2540.8362,0.8262,0.8132,0.3436,1.4882,0.7026,0.7038,0.5498,0.9775,0.7038,0.5072,kmeans+dt,s-set1_y.zip-8_True_k
