max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,15,30,50,1000.0,100.0,0.0,42,cos,jaccard,26.085783004760746,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,100.0,0.1,42,cos,jaccard,255.55740118026733,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,100.0,0.2,42,cos,jaccard,253.3872346878052,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,20.0,0.0,42,cos,jaccard,26.00969099998474,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,20.0,0.1,42,cos,jaccard,254.52690196037287,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,20.0,0.2,42,cos,jaccard,255.93943619728088,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,inf,0.0,42,cos,jaccard,0.6948802471160889,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,inf,0.1,42,cos,jaccard,0.6920459270477295,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,1000.0,inf,0.2,42,cos,jaccard,0.748380184173584,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,100.0,0.0,42,cos,jaccard,0.090167760848999,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,100.0,0.1,42,cos,jaccard,0.0891919136047363,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,100.0,0.2,42,cos,jaccard,0.091796875,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,20.0,0.0,42,cos,jaccard,2.649697780609131,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,20.0,0.1,42,cos,jaccard,25.82956886291504,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,20.0,0.2,42,cos,jaccard,25.74457097053528,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,inf,0.0,42,cos,jaccard,0.1789247989654541,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,inf,0.1,42,cos,jaccard,0.0921623706817627,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,100.0,inf,0.2,42,cos,jaccard,0.0954506397247314,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,100.0,0.0,42,cos,jaccard,127.81933617591858,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,100.0,0.1,42,cos,jaccard,1287.898362159729,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,100.0,0.2,42,cos,jaccard,1280.7077553272247,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,20.0,0.0,42,cos,jaccard,129.47369170188904,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,20.0,0.1,42,cos,jaccard,1281.2391817569733,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,20.0,0.2,42,cos,jaccard,1283.6020677089691,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,inf,0.0,42,cos,jaccard,5.948528051376343,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,inf,0.1,42,cos,jaccard,57.58763766288757,-0.6522,1.0659,2.9848,0.0735,-0.0,0.0094,0.0009,0.0069,0.0035,0.2671,0.0069,0.257,CenterParTree2,s-set2_y.zip
10,15,30,50,inf,inf,0.2,42,cos,jaccard,58.05331540107727,-0.6522,1.0659,2.9848,0.0735,-0.0,0.0094,0.0009,0.0069,0.0035,0.2671,0.0069,0.257,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,100.0,0.0,42,cos,jaccard,26.079256534576416,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,100.0,0.1,42,cos,jaccard,253.93514776229856,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,100.0,0.2,42,cos,jaccard,255.67361855506897,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,20.0,0.0,42,cos,jaccard,25.759494304656982,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,20.0,0.1,42,cos,jaccard,254.93905925750727,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,20.0,0.2,42,cos,jaccard,254.25597524642944,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,inf,0.0,42,cos,jaccard,0.7040574550628662,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,inf,0.1,42,cos,jaccard,0.7578649520874023,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,1000.0,inf,0.2,42,cos,jaccard,0.7177493572235107,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,100.0,0.0,42,cos,jaccard,0.0905036926269531,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,100.0,0.1,42,cos,jaccard,0.0958590507507324,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,100.0,0.2,42,cos,jaccard,0.0888552665710449,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,20.0,0.0,42,cos,jaccard,2.6399035453796387,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,20.0,0.1,42,cos,jaccard,25.80518388748169,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,20.0,0.2,42,cos,jaccard,25.77737832069397,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,inf,0.0,42,cos,jaccard,0.1790146827697754,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,inf,0.1,42,cos,jaccard,0.0946998596191406,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,100.0,inf,0.2,42,cos,jaccard,0.1015770435333252,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,100.0,0.0,42,cos,jaccard,129.48538208007812,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,100.0,0.1,42,cos,jaccard,1280.8485267162323,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,100.0,0.2,42,cos,jaccard,1291.003223657608,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,20.0,0.0,42,cos,jaccard,129.1558222770691,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,20.0,0.1,42,cos,jaccard,1283.0856523513794,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,20.0,0.2,42,cos,jaccard,1282.4223120212555,0.0919,2.6574,0.5835,0.0701,-0.0,0.0054,-0.0,0.0039,0.002,0.2821,0.0039,0.2575,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,inf,0.0,42,cos,jaccard,5.849190473556519,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,inf,0.1,42,cos,jaccard,57.53469896316528,-0.6522,1.0659,2.9848,0.0735,-0.0,0.0094,0.0009,0.0069,0.0035,0.2671,0.0069,0.257,CenterParTree2,s-set2_y.zip
10,15,30,5,inf,inf,0.2,42,cos,jaccard,57.85907864570618,-0.6522,1.0659,2.9848,0.0735,-0.0,0.0094,0.0009,0.0069,0.0035,0.2671,0.0069,0.257,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,100.0,0.0,42,cos,jaccard,26.04881262779236,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,100.0,0.1,42,cos,jaccard,254.6671462059021,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,100.0,0.2,42,cos,jaccard,255.4476926326752,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,20.0,0.0,42,cos,jaccard,26.11766195297241,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,20.0,0.1,42,cos,jaccard,254.26452040672305,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,20.0,0.2,42,cos,jaccard,252.17320466041565,-0.1368,2.4497,0.6066,0.0701,0.0,0.0055,0.0001,0.004,0.002,0.2895,0.004,0.2576,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,inf,0.0,42,cos,jaccard,0.748884916305542,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,inf,0.1,42,cos,jaccard,0.693795919418335,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,1000.0,inf,0.2,42,cos,jaccard,0.7576591968536377,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,100.0,0.0,42,cos,jaccard,0.0908126831054687,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,100.0,0.1,42,cos,jaccard,0.0909178256988525,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,100.0,0.2,42,cos,jaccard,0.0913889408111572,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,20.0,0.0,42,cos,jaccard,2.663925647735596,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,20.0,0.1,42,cos,jaccard,25.86916494369507,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,20.0,0.2,42,cos,jaccard,25.905831813812256,-0.3977,4.4259,1.1186,0.0728,-0.0,0.0091,0.0018,0.0067,0.0034,0.2977,0.0067,0.2572,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,inf,0.0,42,cos,jaccard,0.1974177360534668,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,inf,0.1,42,cos,jaccard,0.0914118289947509,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,100.0,inf,0.2,42,cos,jaccard,0.0941150188446044,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
10,15,3,50,inf,100.0,0.0,42,cos,jaccard,128.49425411224365,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,CenterParTree2,s-set2_y.zip
