n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.4499073028564453,0.4697,6299.9928,0.6517,0.9387,0.6254,2.0368,0.8214,0.8223,0.7524,0.9066,0.8223,0.679,ExKMC,s-set2_y.zip
10,10,IMM,1000.0,20,0.3044395446777344,0.4697,6299.9928,0.6517,0.9387,0.6254,2.0368,0.8214,0.8223,0.7524,0.9066,0.8223,0.679,ExKMC,s-set2_y.zip
10,10,IMM,100.0,100,0.6004667282104492,0.4863,6185.6385,0.6773,0.9409,0.6335,2.011,0.8095,0.8105,0.7429,0.8917,0.8105,0.6841,ExKMC,s-set2_y.zip
10,10,IMM,100.0,20,0.3410134315490722,0.4697,6299.9928,0.6517,0.9387,0.6254,2.0368,0.8214,0.8223,0.7524,0.9066,0.8223,0.679,ExKMC,s-set2_y.zip
10,10,IMM,inf,100,0.4131171703338623,0.4697,6299.9928,0.6517,0.9387,0.6254,2.0368,0.8214,0.8223,0.7524,0.9066,0.8223,0.679,ExKMC,s-set2_y.zip
10,10,IMM,inf,20,0.4445507526397705,0.4697,6299.9928,0.6517,0.9387,0.6254,2.0368,0.8214,0.8223,0.7524,0.9066,0.8223,0.679,ExKMC,s-set2_y.zip
10,10,NONE,1000.0,100,0.5426075458526611,0.3694,4420.7664,0.8107,0.9085,0.4966,1.7932,0.7437,0.7449,0.6624,0.8507,0.7449,0.5739,ExKMC,s-set2_y.zip
10,10,NONE,1000.0,20,0.4359557628631592,0.3694,4420.7664,0.8107,0.9085,0.4966,1.7932,0.7437,0.7449,0.6624,0.8507,0.7449,0.5739,ExKMC,s-set2_y.zip
10,10,NONE,100.0,100,0.3976418972015381,0.4353,5675.1152,0.708,0.9258,0.5609,1.9155,0.777,0.7781,0.7076,0.8642,0.7781,0.623,ExKMC,s-set2_y.zip
10,10,NONE,100.0,20,0.3003466129302978,0.3694,4420.7664,0.8107,0.9085,0.4966,1.7932,0.7437,0.7449,0.6624,0.8507,0.7449,0.5739,ExKMC,s-set2_y.zip
10,10,NONE,inf,100,0.3022847175598144,0.3694,4420.7664,0.8107,0.9085,0.4966,1.7932,0.7437,0.7449,0.6624,0.8507,0.7449,0.5739,ExKMC,s-set2_y.zip
10,10,NONE,inf,20,0.3332853317260742,0.3694,4420.7664,0.8107,0.9085,0.4966,1.7932,0.7437,0.7449,0.6624,0.8507,0.7449,0.5739,ExKMC,s-set2_y.zip
10,12,IMM,1000.0,100,0.5128893852233887,0.4725,6350.9947,0.6523,0.9393,0.6289,2.0482,0.826,0.8269,0.7566,0.9115,0.8269,0.6823,ExKMC,s-set2_y.zip
10,12,IMM,1000.0,20,0.4103705883026123,0.4725,6350.9947,0.6523,0.9393,0.6289,2.0482,0.826,0.8269,0.7566,0.9115,0.8269,0.6823,ExKMC,s-set2_y.zip
10,12,IMM,100.0,100,0.201709508895874,0.4905,6434.1472,0.6572,0.9424,0.6426,2.0252,0.8153,0.8163,0.7481,0.8981,0.8163,0.6927,ExKMC,s-set2_y.zip
10,12,IMM,100.0,20,0.3555200099945068,0.4725,6350.9947,0.6523,0.9393,0.6289,2.0482,0.826,0.8269,0.7566,0.9115,0.8269,0.6823,ExKMC,s-set2_y.zip
10,12,IMM,inf,100,0.4573919773101806,0.4725,6350.9947,0.6523,0.9393,0.6289,2.0482,0.826,0.8269,0.7566,0.9115,0.8269,0.6823,ExKMC,s-set2_y.zip
