n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,100,Cao,11,False,42,4,0.7730600833892822,-0.4859,0.8246,5.5394,0.0729,0.0,0.0076,0.0001,0.0056,0.0028,0.2393,0.0056,0.2572,kmodes,s-set2_y.zip
10,300,Cao,11,False,42,4,0.7844541072845459,-0.4859,0.8246,5.5394,0.0729,0.0,0.0076,0.0001,0.0056,0.0028,0.2393,0.0056,0.2572,kmodes,s-set2_y.zip
10,500,Cao,11,False,42,4,0.7751467227935791,-0.4859,0.8246,5.5394,0.0729,0.0,0.0076,0.0001,0.0056,0.0028,0.2393,0.0056,0.2572,kmodes,s-set2_y.zip
12,100,Cao,11,False,42,4,0.9100110530853271,-0.5316,1.0337,6.1555,0.0742,0.0,0.0095,0.0003,0.0069,0.0035,0.2452,0.0069,0.257,kmodes,s-set2_y.zip
12,300,Cao,11,False,42,4,0.8834466934204102,-0.5316,1.0337,6.1555,0.0742,0.0,0.0095,0.0003,0.0069,0.0035,0.2452,0.0069,0.257,kmodes,s-set2_y.zip
12,500,Cao,11,False,42,4,0.8914730548858643,-0.5316,1.0337,6.1555,0.0742,0.0,0.0095,0.0003,0.0069,0.0035,0.2452,0.0069,0.257,kmodes,s-set2_y.zip
15,100,Cao,11,False,42,4,1.036357879638672,-0.5383,1.2929,5.5004,0.0763,0.0,0.0123,0.0005,0.0089,0.0045,0.2481,0.0089,0.2567,kmodes,s-set2_y.zip
15,300,Cao,11,False,42,4,1.044370412826538,-0.5383,1.2929,5.5004,0.0763,0.0,0.0123,0.0005,0.0089,0.0045,0.2481,0.0089,0.2567,kmodes,s-set2_y.zip
15,500,Cao,11,False,42,4,1.0455379486083984,-0.5383,1.2929,5.5004,0.0763,0.0,0.0123,0.0005,0.0089,0.0045,0.2481,0.0089,0.2567,kmodes,s-set2_y.zip
2,100,Cao,11,False,42,4,0.3526723384857178,-0.0874,0.6275,2.8249,0.0673,0.0,0.0008,0.0,0.0006,0.0003,0.2346,0.0006,0.258,kmodes,s-set2_y.zip
2,300,Cao,11,False,42,4,0.3522758483886719,-0.0874,0.6275,2.8249,0.0673,0.0,0.0008,0.0,0.0006,0.0003,0.2346,0.0006,0.258,kmodes,s-set2_y.zip
2,500,Cao,11,False,42,4,0.3558783531188965,-0.0874,0.6275,2.8249,0.0673,0.0,0.0008,0.0,0.0006,0.0003,0.2346,0.0006,0.258,kmodes,s-set2_y.zip
4,100,Cao,11,False,42,4,0.455045223236084,-0.2314,0.5458,9.3094,0.0687,0.0,0.0025,-0.0,0.0018,0.0009,0.2321,0.0018,0.2578,kmodes,s-set2_y.zip
4,300,Cao,11,False,42,4,0.4571771621704101,-0.2314,0.5458,9.3094,0.0687,0.0,0.0025,-0.0,0.0018,0.0009,0.2321,0.0018,0.2578,kmodes,s-set2_y.zip
4,500,Cao,11,False,42,4,0.4667286872863769,-0.2314,0.5458,9.3094,0.0687,0.0,0.0025,-0.0,0.0018,0.0009,0.2321,0.0018,0.2578,kmodes,s-set2_y.zip
6,100,Cao,11,False,42,4,0.5626745223999023,-0.3947,0.6603,6.9317,0.0701,0.0,0.0041,-0.0,0.003,0.0015,0.2312,0.003,0.2576,kmodes,s-set2_y.zip
6,300,Cao,11,False,42,4,0.5637180805206299,-0.3947,0.6603,6.9317,0.0701,0.0,0.0041,-0.0,0.003,0.0015,0.2312,0.003,0.2576,kmodes,s-set2_y.zip
6,500,Cao,11,False,42,4,0.5617721080780029,-0.3947,0.6603,6.9317,0.0701,0.0,0.0041,-0.0,0.003,0.0015,0.2312,0.003,0.2576,kmodes,s-set2_y.zip
8,100,Cao,11,False,42,4,0.6702673435211182,-0.4262,0.647,5.994,0.0715,0.0,0.006,0.0002,0.0044,0.0022,0.2423,0.0044,0.2574,kmodes,s-set2_y.zip
8,300,Cao,11,False,42,4,0.6628603935241699,-0.4262,0.647,5.994,0.0715,0.0,0.006,0.0002,0.0044,0.0022,0.2423,0.0044,0.2574,kmodes,s-set2_y.zip
8,500,Cao,11,False,42,4,0.667639970779419,-0.4262,0.647,5.994,0.0715,0.0,0.006,0.0002,0.0044,0.0022,0.2423,0.0044,0.2574,kmodes,s-set2_y.zip
