eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.2293012142181396,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,,,skl_DBSCAN,s-set2_y.zip
0.1,10,correlation,auto,4,0.2489972114562988,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,1000.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,correlation,auto,4,0.2463562488555908,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,100.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,correlation,auto,4,0.2409665584564209,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,inf,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,cosine,auto,4,0.2483191490173339,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,,,skl_DBSCAN,s-set2_y.zip
0.1,10,cosine,auto,4,0.2649309635162353,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,1000.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,cosine,auto,4,0.2348098754882812,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,100.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,cosine,auto,4,0.2397170066833496,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2581,inf,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,euclidean,auto,4,0.0169703960418701,0.5026,2233.3968,1.837,0.9605,0.7197,2.2847,0.8642,0.8652,0.844,0.8875,0.8652,0.7466,,,skl_DBSCAN,s-set2_y.zip
0.1,10,euclidean,auto,4,0.0169627666473388,0.5026,2233.3968,1.837,0.9605,0.7197,2.2847,0.8642,0.8652,0.844,0.8875,0.8652,0.7466,1000.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,euclidean,auto,4,0.0172467231750488,0.5026,2233.3968,1.837,0.9605,0.7197,2.2847,0.8642,0.8652,0.844,0.8875,0.8652,0.7466,100.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,10,euclidean,auto,4,0.0197231769561767,0.5026,2233.3968,1.837,0.9605,0.7197,2.2847,0.8642,0.8652,0.844,0.8875,0.8652,0.7466,inf,20.0,skl_DBSCAN,s-set2_y.zip
0.1,2,correlation,auto,4,0.2274987697601318,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,,,skl_DBSCAN,s-set2_y.zip
0.1,2,correlation,auto,4,0.2604918479919433,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,1000.0,20.0,skl_DBSCAN,s-set2_y.zip
0.1,2,correlation,auto,4,0.2476048469543457,0.3103,2133.2019,1.3824,0.558,0.118,0.5988,0.3518,0.3524,0.2212,0.8657,0.3524,0.3445,100.0,20.0,skl_DBSCAN,s-set2_y.zip
