n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,correlation,average,0.2787518501281738,-0.4215,238.4908,3.0364,0.5606,0.1177,0.6047,0.3498,0.3529,0.2234,0.8398,0.3529,0.343,,,skl_agglomerativeClust,s-set2_y.zip
10,correlation,average,0.2931869029998779,-0.4215,238.4908,3.0364,0.5606,0.1177,0.6047,0.3498,0.3529,0.2234,0.8398,0.3529,0.343,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,average,0.2958390712738037,-0.4215,238.4908,3.0364,0.5606,0.1177,0.6047,0.3498,0.3529,0.2234,0.8398,0.3529,0.343,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,average,0.2934200763702392,-0.4215,238.4908,3.0364,0.5606,0.1177,0.6047,0.3498,0.3529,0.2234,0.8398,0.3529,0.343,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,complete,0.26806640625,-0.0312,237.7812,191.9232,0.7216,0.1024,0.6067,0.2701,0.2743,0.2241,0.3535,0.2743,0.2528,,,skl_agglomerativeClust,s-set2_y.zip
10,correlation,complete,0.2887446880340576,-0.0312,237.7812,191.9232,0.7216,0.1024,0.6067,0.2701,0.2743,0.2241,0.3535,0.2743,0.2528,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,complete,0.2885065078735351,-0.0312,237.7812,191.9232,0.7216,0.1024,0.6067,0.2701,0.2743,0.2241,0.3535,0.2743,0.2528,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,complete,0.2981579303741455,-0.0312,237.7812,191.9232,0.7216,0.1024,0.6067,0.2701,0.2743,0.2241,0.3535,0.2743,0.2528,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,single,0.1538147926330566,-0.0689,238.3157,1.0652,0.5592,0.1179,0.6021,0.3506,0.3528,0.2224,0.8529,0.3528,0.3439,,,skl_agglomerativeClust,s-set2_y.zip
10,correlation,single,0.1539552211761474,-0.0689,238.3157,1.0652,0.5592,0.1179,0.6021,0.3506,0.3528,0.2224,0.8529,0.3528,0.3439,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,single,0.1541001796722412,-0.0689,238.3157,1.0652,0.5592,0.1179,0.6021,0.3506,0.3528,0.2224,0.8529,0.3528,0.3439,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,correlation,single,0.1558663845062255,-0.0689,238.3157,1.0652,0.5592,0.1179,0.6021,0.3506,0.3528,0.2224,0.8529,0.3528,0.3439,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,average,0.3304719924926758,0.3635,3913.8479,1.1958,0.9389,0.6192,1.9519,0.7847,0.7858,0.721,0.8633,0.7858,0.6698,,,skl_agglomerativeClust,s-set2_y.zip
10,cosine,average,0.342759370803833,0.3635,3913.8479,1.1958,0.9389,0.6192,1.9519,0.7847,0.7858,0.721,0.8633,0.7858,0.6698,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,average,0.3410794734954834,0.3635,3913.8479,1.1958,0.9389,0.6192,1.9519,0.7847,0.7858,0.721,0.8633,0.7858,0.6698,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,average,0.3416042327880859,0.3635,3913.8479,1.1958,0.9389,0.6192,1.9519,0.7847,0.7858,0.721,0.8633,0.7858,0.6698,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,complete,0.3230993747711181,0.3595,4030.1146,1.068,0.9309,0.5698,1.8752,0.754,0.7553,0.6927,0.8303,0.7553,0.6234,,,skl_agglomerativeClust,s-set2_y.zip
10,cosine,complete,0.3350567817687988,0.3595,4030.1146,1.068,0.9309,0.5698,1.8752,0.754,0.7553,0.6927,0.8303,0.7553,0.6234,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,complete,0.3362069129943847,0.3595,4030.1146,1.068,0.9309,0.5698,1.8752,0.754,0.7553,0.6927,0.8303,0.7553,0.6234,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,complete,0.3375029563903808,0.3595,4030.1146,1.068,0.9309,0.5698,1.8752,0.754,0.7553,0.6927,0.8303,0.7553,0.6234,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,single,0.1363580226898193,0.0944,2104.5148,1.2459,0.8236,0.3456,1.3884,0.6532,0.655,0.5129,0.9059,0.655,0.4979,,,skl_agglomerativeClust,s-set2_y.zip
10,cosine,single,0.1375684738159179,0.0944,2104.5148,1.2459,0.8236,0.3456,1.3884,0.6532,0.655,0.5129,0.9059,0.655,0.4979,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,single,0.1357560157775879,0.0944,2104.5148,1.2459,0.8236,0.3456,1.3884,0.6532,0.655,0.5129,0.9059,0.655,0.4979,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,cosine,single,0.1362106800079345,0.0944,2104.5148,1.2459,0.8236,0.3456,1.3884,0.6532,0.655,0.5129,0.9059,0.655,0.4979,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3529324531555176,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3683967590332031,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3674652576446533,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,average,0.3687357902526855,0.5022,6244.2413,0.607,0.9437,0.6676,2.1383,0.8681,0.8688,0.7899,0.9653,0.8688,0.7253,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3406429290771484,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3576576709747314,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3578741550445556,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,complete,0.3671298027038574,0.435,5599.4221,0.7529,0.9344,0.5969,1.9798,0.798,0.799,0.7313,0.8805,0.799,0.6511,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.104548692703247,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1061320304870605,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1073369979858398,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,single,0.1047542095184326,-0.5539,2.2369,0.8386,0.0704,0.0,0.006,0.0004,0.0044,0.0022,0.2952,0.0044,0.2575,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4224708080291748,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,,,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4264051914215088,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4260931015014648,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
10,euclidean,ward,0.4274899959564209,0.4887,6407.8083,0.6157,0.9426,0.6616,2.1257,0.8632,0.8639,0.7852,0.9601,0.8639,0.7196,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2787928581237793,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,,,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2936031818389892,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2999591827392578,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,average,0.2937569618225097,-0.4641,195.451,2.9468,0.5614,0.1177,0.6063,0.3493,0.353,0.224,0.8329,0.353,0.3427,inf,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2768208980560303,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,,,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2883884906768799,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,1000.0,20.0,skl_agglomerativeClust,s-set2_y.zip
12,correlation,complete,0.2943921089172363,-0.0401,194.5105,173.0212,0.741,0.0998,0.6075,0.2605,0.2655,0.2244,0.3251,0.2655,0.2405,100.0,20.0,skl_agglomerativeClust,s-set2_y.zip
