threshold,branching_factor,n_clusters,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.5,50,10,0.0685679912567138,0.5064,6655.3365,0.6529,0.9466,0.6677,2.0858,0.8393,0.8402,0.7705,0.9237,0.8402,0.7161,,,skl_birch,s-set2_y.zip
0.5,50,10,0.0664851665496826,0.5064,6655.3365,0.6529,0.9466,0.6677,2.0858,0.8393,0.8402,0.7705,0.9237,0.8402,0.7161,1000.0,20.0,skl_birch,s-set2_y.zip
0.5,50,10,0.0663590431213378,0.5064,6655.3365,0.6529,0.9466,0.6677,2.0858,0.8393,0.8402,0.7705,0.9237,0.8402,0.7161,100.0,20.0,skl_birch,s-set2_y.zip
0.5,50,10,0.0673356056213378,0.5064,6655.3365,0.6529,0.9466,0.6677,2.0858,0.8393,0.8402,0.7705,0.9237,0.8402,0.7161,inf,20.0,skl_birch,s-set2_y.zip
0.5,50,12,0.0672740936279296,0.5112,6711.2205,0.6274,0.9563,0.712,2.1881,0.8601,0.861,0.8083,0.921,0.861,0.7488,,,skl_birch,s-set2_y.zip
0.5,50,12,0.0692236423492431,0.5112,6711.2205,0.6274,0.9563,0.712,2.1881,0.8601,0.861,0.8083,0.921,0.861,0.7488,1000.0,20.0,skl_birch,s-set2_y.zip
0.5,50,12,0.0672571659088134,0.5112,6711.2205,0.6274,0.9563,0.712,2.1881,0.8601,0.861,0.8083,0.921,0.861,0.7488,100.0,20.0,skl_birch,s-set2_y.zip
0.5,50,12,0.0664470195770263,0.5112,6711.2205,0.6274,0.9563,0.712,2.1881,0.8601,0.861,0.8083,0.921,0.861,0.7488,inf,20.0,skl_birch,s-set2_y.zip
0.5,50,15,0.0686926841735839,0.5392,7610.4407,0.7215,0.9731,0.8007,2.3581,0.8898,0.8907,0.8711,0.9112,0.8907,0.818,,,skl_birch,s-set2_y.zip
0.5,50,2,0.0679192543029785,0.3947,3620.4693,1.0765,0.5619,0.1264,0.6524,0.3835,0.384,0.241,0.9437,0.384,0.3562,,,skl_birch,s-set2_y.zip
0.5,50,2,0.0663800239562988,0.3947,3620.4693,1.0765,0.5619,0.1264,0.6524,0.3835,0.384,0.241,0.9437,0.384,0.3562,1000.0,20.0,skl_birch,s-set2_y.zip
0.5,50,2,0.0673396587371826,0.3947,3620.4693,1.0765,0.5619,0.1264,0.6524,0.3835,0.384,0.241,0.9437,0.384,0.3562,100.0,20.0,skl_birch,s-set2_y.zip
0.5,50,2,0.0667190551757812,0.3947,3620.4693,1.0765,0.5619,0.1264,0.6524,0.3835,0.384,0.241,0.9437,0.384,0.3562,inf,20.0,skl_birch,s-set2_y.zip
0.5,50,4,0.0679335594177246,0.4345,5170.4166,0.7979,0.8073,0.3273,1.2942,0.6328,0.6336,0.4781,0.9388,0.6336,0.4906,,,skl_birch,s-set2_y.zip
