n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0267395973205566,0.2172,219.0921,1.4925,0.8535,0.5133,1.3442,0.7306,0.7357,0.9696,0.5927,0.7357,0.64,ExKMC,tetra_y.zip
10,10,IMM,1000.0,20,0.0254404544830322,0.2172,219.0921,1.4925,0.8535,0.5133,1.3442,0.7306,0.7357,0.9696,0.5927,0.7357,0.64,ExKMC,tetra_y.zip
10,10,IMM,100.0,100,0.01997971534729,0.215,219.5508,1.5061,0.8578,0.5283,1.3863,0.7559,0.7606,1.0,0.6136,0.7606,0.6534,ExKMC,tetra_y.zip
10,10,IMM,100.0,20,0.0248506069183349,0.2172,219.0921,1.4925,0.8535,0.5133,1.3442,0.7306,0.7357,0.9696,0.5927,0.7357,0.64,ExKMC,tetra_y.zip
10,10,IMM,inf,100,0.0233111381530761,0.2172,219.0921,1.4925,0.8535,0.5133,1.3442,0.7306,0.7357,0.9696,0.5927,0.7357,0.64,ExKMC,tetra_y.zip
10,10,IMM,inf,20,0.0207533836364746,0.2172,219.0921,1.4925,0.8535,0.5133,1.3442,0.7306,0.7357,0.9696,0.5927,0.7357,0.64,ExKMC,tetra_y.zip
10,10,NONE,1000.0,100,0.065713882446289,0.1916,202.5155,1.5333,0.8537,0.5256,1.2612,0.7084,0.7134,0.9098,0.5868,0.7134,0.6428,ExKMC,tetra_y.zip
10,10,NONE,1000.0,20,0.0645017623901367,0.1916,202.5155,1.5333,0.8537,0.5256,1.2612,0.7084,0.7134,0.9098,0.5868,0.7134,0.6428,ExKMC,tetra_y.zip
10,10,NONE,100.0,100,0.0581927299499511,0.1941,197.473,1.5679,0.8519,0.5196,1.2252,0.6879,0.6933,0.8838,0.5704,0.6933,0.6374,ExKMC,tetra_y.zip
10,10,NONE,100.0,20,0.0641369819641113,0.1916,202.5155,1.5333,0.8537,0.5256,1.2612,0.7084,0.7134,0.9098,0.5868,0.7134,0.6428,ExKMC,tetra_y.zip
