n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.5733072757720947,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.01,1000.0,20,0.330634593963623,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.01,100.0,100,0.7179288864135742,0.2247,223.3104,1.4927,0.8562,0.5217,1.3863,0.754,0.7587,1.0,0.6112,0.7587,0.6484,ShallowTree,tetra_y.zip
10,0.01,100.0,20,0.6224751472473145,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.01,inf,100,0.5570149421691895,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.01,inf,20,0.551307201385498,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.03,1000.0,100,0.5343894958496094,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.03,1000.0,20,0.4532878398895263,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.03,100.0,100,0.40899658203125,0.2247,223.3104,1.4927,0.8562,0.5217,1.3863,0.754,0.7587,1.0,0.6112,0.7587,0.6484,ShallowTree,tetra_y.zip
10,0.03,100.0,20,0.5003476142883301,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.03,inf,100,0.5335443019866943,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.03,inf,20,0.5210411548614502,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.05,1000.0,100,0.5097630023956299,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.05,1000.0,20,0.53890061378479,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.05,100.0,100,0.4709656238555908,0.216,220.1514,1.5148,0.8562,0.5215,1.3863,0.754,0.7587,1.0,0.6112,0.7587,0.6483,ShallowTree,tetra_y.zip
10,0.05,100.0,20,0.5959610939025879,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.05,inf,100,0.4587588310241699,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.05,inf,20,0.3576817512512207,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.0,1000.0,100,0.6496336460113525,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.0,1000.0,20,0.6170752048492432,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.0,100.0,100,0.4745912551879883,0.2247,223.3104,1.4927,0.8562,0.5217,1.3863,0.754,0.7587,1.0,0.6112,0.7587,0.6484,ShallowTree,tetra_y.zip
10,0.0,100.0,20,0.4372828006744385,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.0,inf,100,0.449040412902832,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,0.0,inf,20,0.4517750740051269,0.2281,225.0194,1.4906,0.8556,0.5194,1.3863,0.7532,0.7579,1.0,0.6102,0.7579,0.6466,ShallowTree,tetra_y.zip
10,1.0,1000.0,100,0.6951041221618652,0.1488,172.184,2.2959,0.8615,0.5463,1.335,0.7343,0.7394,0.963,0.6001,0.7394,0.6647,ShallowTree,tetra_y.zip
10,1.0,1000.0,20,0.5909664630889893,0.1488,172.184,2.2959,0.8615,0.5463,1.335,0.7343,0.7394,0.963,0.6001,0.7394,0.6647,ShallowTree,tetra_y.zip
10,1.0,100.0,100,0.5351419448852539,0.1872,197.8134,1.6661,0.8664,0.5652,1.3521,0.7532,0.7581,0.9754,0.62,0.7581,0.6795,ShallowTree,tetra_y.zip
10,1.0,100.0,20,0.5345718860626221,0.1488,172.184,2.2959,0.8615,0.5463,1.335,0.7343,0.7394,0.963,0.6001,0.7394,0.6647,ShallowTree,tetra_y.zip
10,1.0,inf,100,0.5560872554779053,0.1488,172.184,2.2959,0.8615,0.5463,1.335,0.7343,0.7394,0.963,0.6001,0.7394,0.6647,ShallowTree,tetra_y.zip
10,1.0,inf,20,0.4882552623748779,0.1488,172.184,2.2959,0.8615,0.5463,1.335,0.7343,0.7394,0.963,0.6001,0.7394,0.6647,ShallowTree,tetra_y.zip
12,0.01,1000.0,100,0.5133686065673828,0.2179,208.0159,1.4116,0.835,0.4309,1.3863,0.7121,0.7185,1.0,0.5606,0.7185,0.5787,ShallowTree,tetra_y.zip
12,0.01,1000.0,20,0.5378823280334473,0.2179,208.0159,1.4116,0.835,0.4309,1.3863,0.7121,0.7185,1.0,0.5606,0.7185,0.5787,ShallowTree,tetra_y.zip
12,0.01,100.0,100,0.4921267032623291,0.2182,209.2912,1.4084,0.8346,0.4294,1.3863,0.7117,0.7181,1.0,0.5602,0.7181,0.5775,ShallowTree,tetra_y.zip
