amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.0109024047851562,0.2473,236.0393,1.3984,0.855,0.5169,1.3863,0.7523,0.7569,1.0,0.6089,0.7569,0.6448,,,pyc_xmeans,tetra_y.zip
10,10,0.0081982612609863,0.2354,229.3183,1.4418,0.8548,0.5159,1.3863,0.7523,0.7569,1.0,0.6089,0.7569,0.644,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,10,0.0051536560058593,0.2416,232.7382,1.3972,0.852,0.5072,1.3354,0.7245,0.7297,0.9633,0.5873,0.7297,0.6353,100.0,20.0,pyc_xmeans,tetra_y.zip
10,10,0.0054230690002441,0.2526,239.0303,1.3516,0.8523,0.5073,1.3614,0.7379,0.7428,0.982,0.5973,0.7428,0.6362,inf,20.0,pyc_xmeans,tetra_y.zip
10,14,0.0048267841339111,0.2738,218.5947,1.2534,0.8727,0.5902,1.345,0.7469,0.7518,0.9702,0.6136,0.7518,0.698,,,pyc_xmeans,tetra_y.zip
10,14,0.0065083503723144,0.2441,233.7758,1.4171,0.8537,0.5119,1.3749,0.7455,0.7503,0.9918,0.6033,0.7503,0.6405,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,14,0.0056571960449218,0.2458,235.7683,1.4103,0.8546,0.5152,1.3863,0.7519,0.7566,1.0,0.6085,0.7566,0.6435,100.0,20.0,pyc_xmeans,tetra_y.zip
10,14,0.0074660778045654,0.2425,232.8119,1.4227,0.8526,0.5086,1.3614,0.7381,0.7431,0.982,0.5976,0.7431,0.6372,inf,20.0,pyc_xmeans,tetra_y.zip
10,18,0.0057289600372314,0.2427,231.5124,1.4243,0.8542,0.5142,1.3742,0.746,0.7508,0.9913,0.6042,0.7508,0.6421,,,pyc_xmeans,tetra_y.zip
10,18,0.0052113533020019,0.2397,230.267,1.4246,0.8523,0.5078,1.3495,0.7318,0.7369,0.9734,0.5929,0.7369,0.6361,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,18,0.0053513050079345,0.2321,226.0807,1.4724,0.8529,0.51,1.3612,0.7385,0.7435,0.9819,0.5982,0.7435,0.6382,100.0,20.0,pyc_xmeans,tetra_y.zip
10,18,0.0082011222839355,0.2466,231.1348,1.4158,0.856,0.5225,1.3668,0.744,0.7488,0.986,0.6036,0.7488,0.6479,inf,20.0,pyc_xmeans,tetra_y.zip
10,2,0.0031108856201171,0.2759,224.6846,1.2308,0.8646,0.5599,1.3221,0.7274,0.7326,0.9537,0.5948,0.7326,0.6743,,,pyc_xmeans,tetra_y.zip
10,22,0.008427619934082,0.2518,234.3252,1.3772,0.8539,0.5138,1.3512,0.7343,0.7393,0.9747,0.5955,0.7393,0.6411,,,pyc_xmeans,tetra_y.zip
10,22,0.0055983066558837,0.2369,230.0968,1.4181,0.8439,0.478,1.3137,0.7097,0.7152,0.9476,0.5743,0.7152,0.6098,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,22,0.0048418045043945,0.2374,224.4192,1.4334,0.8586,0.5319,1.3759,0.7517,0.7564,0.9925,0.6111,0.7564,0.6557,100.0,20.0,pyc_xmeans,tetra_y.zip
10,22,0.0054314136505126,0.2829,225.3829,1.2083,0.8696,0.5788,1.3379,0.7406,0.7456,0.9651,0.6075,0.7456,0.689,inf,20.0,pyc_xmeans,tetra_y.zip
10,2,0.0030364990234375,0.2481,232.0882,1.3791,0.8519,0.5069,1.3393,0.7271,0.7323,0.9661,0.5896,0.7323,0.6351,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,2,0.0031349658966064,0.276,218.5448,1.2617,0.8749,0.5978,1.3638,0.7566,0.7613,0.9838,0.6209,0.7613,0.7043,100.0,20.0,pyc_xmeans,tetra_y.zip
10,2,0.0032291412353515,0.2464,234.0763,1.3926,0.857,0.5249,1.3863,0.7548,0.7595,1.0,0.6122,0.7595,0.6508,inf,20.0,pyc_xmeans,tetra_y.zip
10,6,0.0031425952911376,0.2427,231.5096,1.4164,0.8506,0.5025,1.3431,0.7289,0.7341,0.9688,0.5909,0.7341,0.631,,,pyc_xmeans,tetra_y.zip
10,6,0.0030429363250732,0.2321,223.8659,1.4494,0.8595,0.5355,1.3863,0.7579,0.7626,1.0,0.6162,0.7626,0.6587,1000.0,20.0,pyc_xmeans,tetra_y.zip
10,6,0.0030584335327148,0.243,234.3302,1.4044,0.854,0.5134,1.3747,0.7459,0.7507,0.9916,0.604,0.7507,0.6416,100.0,20.0,pyc_xmeans,tetra_y.zip
10,6,0.0031414031982421,0.2613,224.7265,1.2969,0.8536,0.5194,1.2912,0.7057,0.7113,0.9314,0.5754,0.7113,0.641,inf,20.0,pyc_xmeans,tetra_y.zip
