eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,0.0051450729370117,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.1,10,cosine,auto,4,0.005789041519165,0.3791,204.6347,1.045,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,skl_DBSCAN,tetra_y.zip
0.1,10,euclidean,auto,4,0.003293752670288,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.1,2,correlation,auto,4,0.0049715042114257,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.1,2,cosine,auto,4,0.005678653717041,0.3791,204.6347,1.045,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,skl_DBSCAN,tetra_y.zip
0.1,2,euclidean,auto,4,0.0115556716918945,-0.5949,1.8821,1.1343,0.3068,0.0,0.0832,0.0374,0.0944,0.06,0.2212,0.0944,0.4682,skl_DBSCAN,tetra_y.zip
0.1,5,correlation,auto,4,0.0050175189971923,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.1,5,cosine,auto,4,0.0060856342315673,0.3791,204.6347,1.045,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,skl_DBSCAN,tetra_y.zip
0.1,5,euclidean,auto,4,0.0032768249511718,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,10,correlation,auto,4,0.0053098201751708,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,10,cosine,auto,4,0.006739854812622,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,10,euclidean,auto,4,0.0036303997039794,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,2,correlation,auto,4,0.0050320625305175,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,2,cosine,auto,4,0.0057713985443115,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,2,euclidean,auto,4,0.003469705581665,-0.0405,5.1416,1.2365,0.6744,0.0141,0.8318,0.2333,0.3567,0.6,0.2538,0.3567,0.2128,skl_DBSCAN,tetra_y.zip
0.25,5,correlation,auto,4,0.0054178237915039,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,5,cosine,auto,4,0.0070471763610839,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.25,5,euclidean,auto,4,0.0037453174591064,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
0.5,10,correlation,auto,4,0.0051379203796386,0.0,0.0,0.0,0.2481,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4981,skl_DBSCAN,tetra_y.zip
