n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1368377208709716,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1374657154083252,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1338934898376464,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1375601291656494,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1380281448364257,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1335241794586181,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1374485492706298,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1368968486785888,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1429636478424072,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.134937047958374,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1377756595611572,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.136904239654541,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1414072513580322,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.137657880783081,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1377062797546386,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1376113891601562,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1410202980041504,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1384966373443603,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1382117271423339,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1423642635345459,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1341102123260498,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,,,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1372947692871093,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1366791725158691,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1377625465393066,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1374657154083252,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1338934898376464,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,0.1375601291656494,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1335241794586181,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1374485492706298,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,0.1368968486785888,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.134937047958374,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.1377756595611572,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,0.136904239654541,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.137657880783081,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1377062797546386,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,0.1376113891601562,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1384966373443603,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1382117271423339,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,0.1423642635345459,0.2179,192.0148,1.2771,0.8312,0.4247,1.2466,0.6451,0.653,0.8992,0.5126,0.653,0.5665,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1372947692871093,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,1000.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1366791725158691,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,100.0,20.0,skl_bis_kmeans,tetra_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,0.1377625465393066,0.2078,190.5942,1.3124,0.825,0.3991,1.2402,0.6372,0.6452,0.8946,0.5046,0.6452,0.5445,inf,20.0,skl_bis_kmeans,tetra_y.zip-12_k
