n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0816631317138671,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0857832431793212,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0724797248840332,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.089555025100708,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0841538906097412,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0838878154754638,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0790505409240722,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0810980796813964,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0729472637176513,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0809555053710937,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0811662673950195,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0796084403991699,0.3752,202.5142,1.0542,0.8747,0.7127,1.0397,0.8562,0.8571,0.75,1.0,0.8571,0.8151,kmeans+dt,tetra_y.zip-4_True_k
