max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,2,30,50,1000.0,100.0,0.0,42,cos,jaccard,5.359838962554932,0.7118,46.7329,0.2927,0.5291,0.0069,0.0054,0.0136,0.0154,0.0081,0.1557,0.0154,0.7238,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,100.0,0.1,42,cos,jaccard,5.414703607559204,0.7118,46.7329,0.2927,0.5291,0.0069,0.0054,0.0136,0.0154,0.0081,0.1557,0.0154,0.7238,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,100.0,0.2,42,cos,jaccard,5.418328285217285,0.7118,46.7329,0.2927,0.5291,0.0069,0.0054,0.0136,0.0154,0.0081,0.1557,0.0154,0.7238,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,20.0,0.0,42,cos,jaccard,5.7686498165130615,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,20.0,0.1,42,cos,jaccard,5.304506063461304,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,20.0,0.2,42,cos,jaccard,5.344977140426636,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,inf,0.0,42,cos,jaccard,0.6891872882843018,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,inf,0.1,42,cos,jaccard,0.7234971523284912,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,1000.0,inf,0.2,42,cos,jaccard,0.7084145545959473,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,100.0,0.0,42,cos,jaccard,0.193291425704956,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,100.0,0.1,42,cos,jaccard,0.1837778091430664,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,100.0,0.2,42,cos,jaccard,0.192014455795288,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,20.0,0.0,42,cos,jaccard,1.6400270462036133,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,20.0,0.1,42,cos,jaccard,1.644113540649414,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
10,2,30,50,100.0,20.0,0.2,42,cos,jaccard,1.6525819301605225,0.1882,24.939,3.612,0.5558,0.1112,0.0525,0.0768,0.0776,0.0789,0.0764,0.0776,0.5693,CenterParTree2,titanic_y.zip
