max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,criteria_clf,criteria_reg,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,42,gini,mape,0.0934779644012451,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.0,42,gini,r2,0.0895595550537109,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.0,42,me,mape,0.1903207302093505,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.0,42,me,r2,0.192883014678955,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.1,42,gini,mape,0.1841285228729248,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.1,42,gini,r2,0.19163179397583,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.1,42,me,mape,0.1931874752044677,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,30,50,20,20,0.1,42,me,r2,0.1770637035369873,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.0,42,gini,mape,0.0885908603668212,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.0,42,gini,r2,0.0994117259979248,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.0,42,me,mape,0.2408173084259033,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.0,42,me,r2,0.2292726039886474,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.1,42,gini,mape,0.2490036487579345,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.1,42,gini,r2,0.2573542594909668,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.1,42,me,mape,0.2211596965789795,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,30,5,20,20,0.1,42,me,r2,0.2322556972503662,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.0,42,gini,mape,0.1064317226409912,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.0,42,gini,r2,0.0905539989471435,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.0,42,me,mape,0.1866576671600341,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.0,42,me,r2,0.1750285625457763,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.1,42,gini,mape,0.184783935546875,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.1,42,gini,r2,0.182844877243042,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.1,42,me,mape,0.1789758205413818,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,3,50,20,20,0.1,42,me,r2,0.1746063232421875,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.0,42,gini,mape,0.1176052093505859,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.0,42,gini,r2,0.0992581844329834,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.0,42,me,mape,0.2323052883148193,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.0,42,me,r2,0.2245397567749023,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.1,42,gini,mape,0.2314822673797607,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.1,42,gini,r2,0.2427854537963867,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.1,42,me,mape,0.2123408317565918,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,10,3,5,20,20,0.1,42,me,r2,0.2264928817749023,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.0,42,gini,mape,0.0916898250579834,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.0,42,gini,r2,0.1004412174224853,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.0,42,me,mape,0.17793869972229,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.0,42,me,r2,0.1776823997497558,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.1,42,gini,mape,0.1801464557647705,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.1,42,gini,r2,0.1783854961395263,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.1,42,me,mape,0.1886868476867675,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,30,50,20,20,0.1,42,me,r2,0.1863973140716552,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.0,42,gini,mape,0.0923030376434326,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.0,42,gini,r2,0.0939950942993164,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.0,42,me,mape,0.2294495105743408,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.0,42,me,r2,0.2184021472930908,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.1,42,gini,mape,0.2206957340240478,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.1,42,gini,r2,0.2376477718353271,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.1,42,me,mape,0.2215840816497802,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,30,5,20,20,0.1,42,me,r2,0.2199647426605224,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.0,42,gini,mape,0.0909676551818847,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.0,42,gini,r2,0.103527545928955,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.0,42,me,mape,0.1876544952392578,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.0,42,me,r2,0.1844205856323242,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.1,42,gini,mape,0.1715548038482666,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.1,42,gini,r2,0.1742911338806152,0.0734,0.5461,16.7459,0.5275,0.0223,0.0039,0.0052,0.0074,0.0059,0.01,0.0074,0.664,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.1,42,me,mape,0.1773850917816162,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,3,50,20,20,0.1,42,me,r2,0.1959278583526611,-0.0804,0.9581,8.0592,0.5205,0.0077,0.0009,-0.0004,0.0018,0.0014,0.0024,0.0018,0.6586,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.0,42,gini,mape,0.0853228569030761,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.0,42,gini,r2,0.0901074409484863,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.0,42,me,mape,0.2429084777832031,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.0,42,me,r2,0.2277462482452392,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.1,42,gini,mape,0.2458882331848144,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.1,42,gini,r2,0.2174837589263916,-0.0868,0.6888,8.8601,0.5276,0.0225,0.0047,0.0055,0.0087,0.0071,0.0111,0.0087,0.6636,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.1,42,me,mape,0.2245435714721679,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,12,3,5,20,20,0.1,42,me,r2,0.2378559112548828,-0.093,0.8569,6.7702,0.5205,0.0078,0.0009,-0.0016,0.0018,0.0014,0.0023,0.0018,0.6585,ImpurityParTree2,titanic_y.zip
2,2,30,50,20,20,0.0,42,gini,mape,0.08597993850708,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,2,30,50,20,20,0.0,42,gini,r2,0.0957248210906982,0.0,0.0,0.0,0.5265,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7256,ImpurityParTree2,titanic_y.zip
2,2,30,50,20,20,0.0,42,me,mape,0.0952637195587158,0.0701,0.8112,8.4527,0.5254,0.0082,0.0009,0.0009,0.0022,0.0014,0.0048,0.0022,0.6935,ImpurityParTree2,titanic_y.zip
2,2,30,50,20,20,0.0,42,me,r2,0.0988965034484863,0.0701,0.8112,8.4527,0.5254,0.0082,0.0009,0.0009,0.0022,0.0014,0.0048,0.0022,0.6935,ImpurityParTree2,titanic_y.zip
2,2,30,50,20,20,0.1,42,gini,mape,0.0942525863647461,0.2714,0.2465,18.749,0.5286,0.0148,0.0028,0.0051,0.0064,0.0042,0.0141,0.0064,0.6958,ImpurityParTree2,titanic_y.zip
