max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,10,30,50,20,20,0.0,0.1183209419250488,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,10,30,50,20,20,0.1,0.1168241500854492,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,10,30,5,20,20,0.0,0.1544737815856933,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,10,30,5,20,20,0.1,0.1500673294067382,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,10,3,50,20,20,0.0,0.1139447689056396,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,10,3,50,20,20,0.1,0.1107537746429443,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,10,3,5,1000,100,0.0,1.240262746810913,-0.1393,117.7006,1.4115,0.5536,0.0756,0.0308,0.0558,0.0592,0.0462,0.0826,0.0592,0.6858,VarianceParTree,titanic_y.zip
2,10,3,5,1000,100,0.1,1.220616102218628,-0.1393,117.7006,1.4115,0.5536,0.0756,0.0308,0.0558,0.0592,0.0462,0.0826,0.0592,0.6858,VarianceParTree,titanic_y.zip
2,10,3,5,1000,20,0.0,1.2316055297851562,0.762,2032.1559,0.5344,0.5508,0.0781,0.0271,0.0414,0.044,0.0406,0.0481,0.044,0.6555,VarianceParTree,titanic_y.zip
2,10,3,5,1000,20,0.1,1.276848316192627,0.762,2032.1559,0.5344,0.5508,0.0781,0.0271,0.0414,0.044,0.0406,0.0481,0.044,0.6555,VarianceParTree,titanic_y.zip
2,10,3,5,20,20,0.0,0.1428313255310058,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,10,3,5,20,20,0.1,0.1500537395477295,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,12,30,50,20,20,0.0,0.1121950149536132,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,12,30,50,20,20,0.1,0.1089558601379394,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,12,30,5,20,20,0.0,0.1511344909667968,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,12,30,5,20,20,0.1,0.1803934574127197,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,12,3,50,20,20,0.0,0.1063752174377441,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,12,3,50,20,20,0.1,0.1078624725341796,0.7518,170.991,0.7517,0.5308,0.013,0.0051,0.0101,0.0133,0.0077,0.05,0.0133,0.7169,VarianceParTree,titanic_y.zip
2,12,3,5,20,20,0.0,0.1514503955841064,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,12,3,5,20,20,0.1,0.150820255279541,0.7526,114.0227,0.6817,0.5307,0.013,0.0053,0.0086,0.0136,0.0079,0.0486,0.0136,0.7169,VarianceParTree,titanic_y.zip
2,2,30,50,20,20,0.0,0.0595662593841552,0.763,178.7204,0.1791,0.5291,0.0079,0.0033,0.0075,0.0091,0.0049,0.0583,0.0091,0.7209,VarianceParTree,titanic_y.zip
2,2,30,50,20,20,0.1,0.065831184387207,0.763,178.7204,0.1791,0.5291,0.0079,0.0033,0.0075,0.0091,0.0049,0.0583,0.0091,0.7209,VarianceParTree,titanic_y.zip
2,2,30,5,20,20,0.0,0.0573647022247314,0.763,178.7204,0.1791,0.5291,0.0079,0.0033,0.0075,0.0091,0.0049,0.0583,0.0091,0.7209,VarianceParTree,titanic_y.zip
