n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,100,Cao,11,False,42,4,0.7808184623718262,-0.2324,6.1068,10.5615,0.575,0.1685,0.1556,0.1263,0.13,0.2337,0.0901,0.13,0.5007,kmodes,titanic_y.zip
10,300,Cao,11,False,42,4,0.7599847316741943,-0.2324,6.1068,10.5615,0.575,0.1685,0.1556,0.1263,0.13,0.2337,0.0901,0.13,0.5007,kmodes,titanic_y.zip
10,500,Cao,11,False,42,4,0.7443952560424805,-0.2324,6.1068,10.5615,0.575,0.1685,0.1556,0.1263,0.13,0.2337,0.0901,0.13,0.5007,kmodes,titanic_y.zip
12,100,Cao,11,False,42,4,0.882831335067749,-0.3291,5.7361,9.0816,0.5744,0.172,0.1776,0.1319,0.1361,0.2666,0.0914,0.1361,0.4776,kmodes,titanic_y.zip
12,300,Cao,11,False,42,4,0.929967164993286,-0.3291,5.7361,9.0816,0.5744,0.172,0.1776,0.1319,0.1361,0.2666,0.0914,0.1361,0.4776,kmodes,titanic_y.zip
12,500,Cao,11,False,42,4,0.8945572376251221,-0.3291,5.7361,9.0816,0.5744,0.172,0.1776,0.1319,0.1361,0.2666,0.0914,0.1361,0.4776,kmodes,titanic_y.zip
2,100,Cao,11,False,42,4,0.1457445621490478,0.3475,25.1092,3.3393,0.5919,0.1613,0.0758,0.1398,0.1407,0.1138,0.1841,0.1407,0.6922,kmodes,titanic_y.zip
2,300,Cao,11,False,42,4,0.1467654705047607,0.3475,25.1092,3.3393,0.5919,0.1613,0.0758,0.1398,0.1407,0.1138,0.1841,0.1407,0.6922,kmodes,titanic_y.zip
2,500,Cao,11,False,42,4,0.1446404457092285,0.3475,25.1092,3.3393,0.5919,0.1613,0.0758,0.1398,0.1407,0.1138,0.1841,0.1407,0.6922,kmodes,titanic_y.zip
4,100,Cao,11,False,42,4,0.2438635826110839,0.0325,15.8694,7.6932,0.647,0.2894,0.1504,0.1959,0.1977,0.2259,0.1757,0.1977,0.6754,kmodes,titanic_y.zip
4,300,Cao,11,False,42,4,0.2497849464416504,0.0325,15.8694,7.6932,0.647,0.2894,0.1504,0.1959,0.1977,0.2259,0.1757,0.1977,0.6754,kmodes,titanic_y.zip
4,500,Cao,11,False,42,4,0.23875093460083,0.0325,15.8694,7.6932,0.647,0.2894,0.1504,0.1959,0.1977,0.2259,0.1757,0.1977,0.6754,kmodes,titanic_y.zip
6,100,Cao,11,False,42,4,0.4760153293609619,-0.1988,9.372,7.5018,0.6076,0.2207,0.1357,0.141,0.1436,0.2037,0.1108,0.1436,0.5939,kmodes,titanic_y.zip
6,300,Cao,11,False,42,4,0.4973983764648437,-0.1988,9.372,7.5018,0.6076,0.2207,0.1357,0.141,0.1436,0.2037,0.1108,0.1436,0.5939,kmodes,titanic_y.zip
6,500,Cao,11,False,42,4,0.4856326580047607,-0.1988,9.372,7.5018,0.6076,0.2207,0.1357,0.141,0.1436,0.2037,0.1108,0.1436,0.5939,kmodes,titanic_y.zip
8,100,Cao,11,False,42,4,0.4410879611968994,-0.0974,7.1104,12.1478,0.6041,0.2183,0.142,0.1319,0.1352,0.2133,0.099,0.1352,0.5698,kmodes,titanic_y.zip
8,300,Cao,11,False,42,4,0.4205026626586914,-0.0974,7.1104,12.1478,0.6041,0.2183,0.142,0.1319,0.1352,0.2133,0.099,0.1352,0.5698,kmodes,titanic_y.zip
8,500,Cao,11,False,42,4,0.4253442287445068,-0.0974,7.1104,12.1478,0.6041,0.2183,0.142,0.1319,0.1352,0.2133,0.099,0.1352,0.5698,kmodes,titanic_y.zip
