n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.083867073059082,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.0934734344482421,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,0.0959842205047607,0.2282,1903.9839,1.0683,0.508,0.0453,0.0551,0.0384,0.0431,0.0827,0.0291,0.0431,0.3674,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,0.0704517364501953,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.0922811031341552,0.2227,1801.3007,1.055,0.5126,0.05,0.0503,0.0366,0.0417,0.0755,0.0288,0.0417,0.4004,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.0684049129486084,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.1142694950103759,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.1108429431915283,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.0931005477905273,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,0.0521724224090576,0.2282,1903.9839,1.0683,0.508,0.0453,0.0551,0.0384,0.0431,0.0827,0.0291,0.0431,0.3674,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,0.0897903442382812,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.0538127422332763,0.2227,1801.3007,1.055,0.5126,0.05,0.0503,0.0366,0.0417,0.0755,0.0288,0.0417,0.4004,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.0733294486999511,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.1457266807556152,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.0774807929992675,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.0937566757202148,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,0.0340039730072021,0.2282,1903.9839,1.0683,0.508,0.0453,0.0551,0.0384,0.0431,0.0827,0.0291,0.0431,0.3674,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,0.1250274181365966,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.1126735210418701,0.2227,1801.3007,1.055,0.5126,0.05,0.0503,0.0366,0.0417,0.0755,0.0288,0.0417,0.4004,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.1084232330322265,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
12,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.0773432254791259,0.2282,1903.9828,1.0683,0.5081,0.0455,0.0552,0.0385,0.0432,0.0829,0.0292,0.0432,0.3675,skl_kmeans,titanic_y.zip-12_k
