n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.1381123065948486,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.1314718723297119,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.1345245838165283,0.3844,1859.9489,0.9405,0.5506,0.1011,0.0446,0.0447,0.0489,0.067,0.0385,0.0489,0.5628,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.1270627975463867,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.128145694732666,0.2212,1558.6563,1.089,0.5138,0.0518,0.0452,0.0364,0.0397,0.0679,0.0281,0.0397,0.405,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.148186445236206,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1344499588012695,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,0.1272122859954834,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.1191170215606689,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,0.1158342361450195,0.2057,815.9979,1.1354,0.5167,0.0597,0.0544,0.0431,0.0464,0.0817,0.0324,0.0464,0.3956,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.2160007953643798,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.1391949653625488,0.1834,781.7401,1.1694,0.5094,0.0474,0.0542,0.0419,0.045,0.0814,0.0311,0.045,0.3738,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,0.1426804065704345,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1380748748779297,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.1591849327087402,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.1188969612121582,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.1056661605834961,0.3844,1859.9489,0.9405,0.5506,0.1011,0.0446,0.0447,0.0489,0.067,0.0385,0.0489,0.5628,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.1504285335540771,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.1523559093475341,0.2212,1558.6563,1.089,0.5138,0.0518,0.0452,0.0364,0.0397,0.0679,0.0281,0.0397,0.405,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.1306607723236084,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1236441135406494,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,0.1263105869293213,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.1424031257629394,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,0.1325421333312988,0.2057,815.9979,1.1354,0.5167,0.0597,0.0544,0.0431,0.0464,0.0817,0.0324,0.0464,0.3956,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.1405415534973144,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.1179871559143066,0.1834,781.7401,1.1694,0.5094,0.0474,0.0542,0.0419,0.045,0.0814,0.0311,0.045,0.3738,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,100,0.1254942417144775,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1198863983154296,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.1105306148529052,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.1389608383178711,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.1301002502441406,0.3844,1859.9489,0.9405,0.5506,0.1011,0.0446,0.0447,0.0489,0.067,0.0385,0.0489,0.5628,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.1453251838684082,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,0.1590909957885742,0.2212,1558.6563,1.089,0.5138,0.0518,0.0452,0.0364,0.0397,0.0679,0.0281,0.0397,0.405,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.1169123649597168,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.1193487644195556,0.3791,1859.9574,0.9475,0.55,0.1006,0.0448,0.0446,0.0488,0.0672,0.0383,0.0488,0.5595,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,0.1359679698944091,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.1302826404571533,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,0.132174015045166,0.2057,815.9979,1.1354,0.5167,0.0597,0.0544,0.0431,0.0464,0.0817,0.0324,0.0464,0.3956,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.1415677070617675,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.1723203659057617,0.1834,781.7401,1.1694,0.5094,0.0474,0.0542,0.0419,0.045,0.0814,0.0311,0.045,0.3738,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,100,0.1275410652160644,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,0.1472187042236328,0.2053,815.8502,1.1323,0.5162,0.0589,0.0547,0.0433,0.0465,0.0821,0.0324,0.0465,0.3937,skl_bis_kmeans,titanic_y.zip-8_k
