n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0124068260192871,0.3467,8025.7207,1.0048,0.8641,0.5559,1.3863,0.7683,0.77,1.0,0.6261,0.77,0.6743,ExKMC,triangle1_y.zip
10,10,IMM,1000.0,20,0.0680983066558837,0.3467,8025.7207,1.0048,0.8641,0.5559,1.3863,0.7683,0.77,1.0,0.6261,0.77,0.6743,ExKMC,triangle1_y.zip
10,10,IMM,100.0,100,0.1991748809814453,0.4683,8171.6962,0.8712,0.8915,0.6608,1.3863,0.794,0.7956,1.0,0.6606,0.7956,0.7515,ExKMC,triangle1_y.zip
10,10,IMM,100.0,20,0.2494287490844726,0.3467,8025.7207,1.0048,0.8641,0.5559,1.3863,0.7683,0.77,1.0,0.6261,0.77,0.6743,ExKMC,triangle1_y.zip
10,10,IMM,inf,100,0.0090043544769287,0.3467,8025.7207,1.0048,0.8641,0.5559,1.3863,0.7683,0.77,1.0,0.6261,0.77,0.6743,ExKMC,triangle1_y.zip
10,10,IMM,inf,20,0.2195730209350586,0.3467,8025.7207,1.0048,0.8641,0.5559,1.3863,0.7683,0.77,1.0,0.6261,0.77,0.6743,ExKMC,triangle1_y.zip
10,10,NONE,1000.0,100,0.2827422618865967,0.7092,8663.2951,0.5656,0.957,0.8782,1.3863,0.8982,0.8988,1.0,0.8162,0.8988,0.9098,ExKMC,triangle1_y.zip
10,10,NONE,1000.0,20,0.352787971496582,0.7092,8663.2951,0.5656,0.957,0.8782,1.3863,0.8982,0.8988,1.0,0.8162,0.8988,0.9098,ExKMC,triangle1_y.zip
10,10,NONE,100.0,100,0.540194034576416,0.5929,7861.963,0.7001,0.932,0.8001,1.3863,0.8606,0.8615,1.0,0.7567,0.8615,0.8528,ExKMC,triangle1_y.zip
10,10,NONE,100.0,20,0.3908126354217529,0.7092,8663.2951,0.5656,0.957,0.8782,1.3863,0.8982,0.8988,1.0,0.8162,0.8988,0.9098,ExKMC,triangle1_y.zip
10,10,NONE,inf,100,0.1531574726104736,0.7092,8663.2951,0.5656,0.957,0.8782,1.3863,0.8982,0.8988,1.0,0.8162,0.8988,0.9098,ExKMC,triangle1_y.zip
10,10,NONE,inf,20,0.3130257129669189,0.7092,8663.2951,0.5656,0.957,0.8782,1.3863,0.8982,0.8988,1.0,0.8162,0.8988,0.9098,ExKMC,triangle1_y.zip
10,12,IMM,1000.0,100,0.2990331649780273,0.3369,7918.0064,1.0379,0.8639,0.5551,1.3863,0.7681,0.7698,1.0,0.6258,0.7698,0.6736,ExKMC,triangle1_y.zip
10,12,IMM,1000.0,20,0.1757266521453857,0.3369,7918.0064,1.0379,0.8639,0.5551,1.3863,0.7681,0.7698,1.0,0.6258,0.7698,0.6736,ExKMC,triangle1_y.zip
10,12,IMM,100.0,100,0.496706485748291,0.4677,8184.3835,0.874,0.8906,0.6575,1.3863,0.7932,0.7948,1.0,0.6595,0.7948,0.7491,ExKMC,triangle1_y.zip
10,12,IMM,100.0,20,0.3008139133453369,0.3369,7918.0064,1.0379,0.8639,0.5551,1.3863,0.7681,0.7698,1.0,0.6258,0.7698,0.6736,ExKMC,triangle1_y.zip
