n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,2.0428035259246826,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.01,1000.0,20,2.128504037857056,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.01,100.0,100,2.825693130493164,0.472,8326.4815,0.8694,0.891,0.6589,1.3863,0.7927,0.7943,1.0,0.6588,0.7943,0.7501,ShallowTree,triangle1_y.zip
10,0.01,100.0,20,1.9903757572174072,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.01,inf,100,4.198830604553223,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.01,inf,20,3.60512900352478,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.03,1000.0,100,0.9850082397460938,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.03,1000.0,20,1.37550950050354,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.03,100.0,100,3.1641733646392822,0.472,8326.4815,0.8694,0.891,0.6589,1.3863,0.7927,0.7943,1.0,0.6588,0.7943,0.7501,ShallowTree,triangle1_y.zip
10,0.03,100.0,20,2.2925209999084477,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.03,inf,100,0.4324312210083008,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.03,inf,20,1.7569711208343506,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.05,1000.0,100,2.056544780731201,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.05,1000.0,20,2.7643582820892334,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.05,100.0,100,1.6808569431304932,0.472,8326.4815,0.8694,0.891,0.6589,1.3863,0.7927,0.7943,1.0,0.6588,0.7943,0.7501,ShallowTree,triangle1_y.zip
10,0.05,100.0,20,2.9349265098571777,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.05,inf,100,3.5573549270629883,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.05,inf,20,2.03235125541687,0.4679,8236.9965,0.8789,0.8902,0.6561,1.3863,0.7919,0.7936,1.0,0.6578,0.7936,0.7481,ShallowTree,triangle1_y.zip
10,0.0,1000.0,100,2.156259536743164,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.0,1000.0,20,0.9749491214752196,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.0,100.0,100,2.3892626762390137,0.472,8326.4815,0.8694,0.891,0.6589,1.3863,0.7927,0.7943,1.0,0.6588,0.7943,0.7501,ShallowTree,triangle1_y.zip
10,0.0,100.0,20,2.7115633487701416,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.0,inf,100,2.75455904006958,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,0.0,inf,20,0.5093379020690918,0.4683,8233.9837,0.877,0.8904,0.6567,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,ShallowTree,triangle1_y.zip
10,1.0,1000.0,100,2.8041350841522217,0.4644,8139.1144,0.8827,0.8925,0.6645,1.3863,0.7939,0.7955,1.0,0.6604,0.7955,0.7542,ShallowTree,triangle1_y.zip
10,1.0,1000.0,20,0.9947376251220704,0.4644,8139.1144,0.8827,0.8925,0.6645,1.3863,0.7939,0.7955,1.0,0.6604,0.7955,0.7542,ShallowTree,triangle1_y.zip
10,1.0,100.0,100,1.7676024436950684,0.4673,8221.5004,0.8822,0.8906,0.6576,1.3863,0.7919,0.7935,1.0,0.6577,0.7935,0.7491,ShallowTree,triangle1_y.zip
10,1.0,100.0,20,0.7284457683563232,0.4644,8139.1144,0.8827,0.8925,0.6645,1.3863,0.7939,0.7955,1.0,0.6604,0.7955,0.7542,ShallowTree,triangle1_y.zip
10,1.0,inf,100,2.560323476791382,0.4644,8139.1144,0.8827,0.8925,0.6645,1.3863,0.7939,0.7955,1.0,0.6604,0.7955,0.7542,ShallowTree,triangle1_y.zip
10,1.0,inf,20,1.8399038314819336,0.4644,8139.1144,0.8827,0.8925,0.6645,1.3863,0.7939,0.7955,1.0,0.6604,0.7955,0.7542,ShallowTree,triangle1_y.zip
12,0.01,1000.0,100,3.473001003265381,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.01,1000.0,20,1.5457329750061035,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.01,100.0,100,2.252234697341919,0.3313,7965.6725,1.0148,0.8572,0.5283,1.3863,0.7447,0.747,1.0,0.5962,0.747,0.6537,ShallowTree,triangle1_y.zip
12,0.01,100.0,20,1.5426883697509766,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.01,inf,100,4.371137857437134,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.01,inf,20,3.767911434173584,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.03,1000.0,100,2.6289613246917725,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.03,1000.0,20,2.174461603164673,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.03,100.0,100,3.078114748001098,0.3304,7962.3682,1.0194,0.8565,0.5255,1.3863,0.7442,0.7465,1.0,0.5955,0.7465,0.6515,ShallowTree,triangle1_y.zip
12,0.03,100.0,20,1.3580925464630127,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.03,inf,100,0.8655738830566406,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
12,0.03,inf,20,0.1542458534240722,0.3446,7982.108,0.9467,0.8498,0.4976,1.3863,0.7354,0.7377,1.0,0.5844,0.7377,0.6305,ShallowTree,triangle1_y.zip
