amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.0172474384307861,0.471,8277.8015,0.8775,0.8904,0.6568,1.3863,0.7922,0.7939,1.0,0.6582,0.7939,0.7485,,,pyc_xmeans,triangle1_y.zip
10,10,0.0089631080627441,0.4596,7877.2535,0.899,0.8929,0.666,1.3863,0.7956,0.7972,1.0,0.6628,0.7972,0.7553,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,10,0.0087463855743408,0.3512,7927.7183,0.9897,0.8637,0.5543,1.3863,0.7684,0.7701,1.0,0.6262,0.7701,0.6731,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,10,0.0085492134094238,0.3401,7934.3348,1.0323,0.8641,0.5559,1.3863,0.7681,0.7699,1.0,0.6259,0.7699,0.6743,inf,20.0,pyc_xmeans,triangle1_y.zip
10,14,0.0089406967163085,0.5822,7689.182,0.7501,0.9221,0.7677,1.3863,0.8305,0.832,1.0,0.7123,0.832,0.8292,,,pyc_xmeans,triangle1_y.zip
10,14,0.0089251995086669,0.4618,8179.7721,0.9055,0.8897,0.654,1.3863,0.7914,0.793,1.0,0.657,0.793,0.7466,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,14,0.0080535411834716,0.4764,7671.7193,0.8271,0.8848,0.6359,1.3863,0.7848,0.7865,1.0,0.6481,0.7865,0.7333,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,14,0.0079789161682128,0.5965,7945.6391,0.706,0.9115,0.7316,1.3863,0.8105,0.8121,1.0,0.6836,0.8121,0.803,inf,20.0,pyc_xmeans,triangle1_y.zip
10,18,0.0168876647949218,0.5839,7696.4508,0.7622,0.9208,0.7634,1.3863,0.8298,0.8312,1.0,0.7112,0.8312,0.8261,,,pyc_xmeans,triangle1_y.zip
10,18,0.0092196464538574,0.586,7962.7864,0.7811,0.9182,0.7546,1.3863,0.8205,0.822,1.0,0.6978,0.822,0.8197,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,18,0.0087668895721435,0.4532,7815.3237,0.9211,0.8908,0.6584,1.3863,0.7933,0.795,1.0,0.6597,0.795,0.7497,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,18,0.0089867115020751,0.4711,8298.4463,0.8743,0.8907,0.6577,1.3863,0.7924,0.794,1.0,0.6584,0.794,0.7492,inf,20.0,pyc_xmeans,triangle1_y.zip
10,2,0.0072433948516845,0.5964,7835.2965,0.7225,0.921,0.7639,1.3863,0.8297,0.8311,1.0,0.7111,0.8311,0.8264,,,pyc_xmeans,triangle1_y.zip
10,22,0.0089716911315917,0.5866,7738.8352,0.8294,0.9187,0.7562,1.3863,0.821,0.8224,1.0,0.6984,0.8224,0.8209,,,pyc_xmeans,triangle1_y.zip
10,22,0.0087044239044189,0.4611,8029.2872,0.906,0.8904,0.6566,1.3863,0.7919,0.7935,1.0,0.6577,0.7935,0.7484,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,22,0.0566473007202148,0.4763,7661.4987,0.843,0.8862,0.6411,1.3863,0.786,0.7877,1.0,0.6497,0.7877,0.7371,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,22,0.0092737674713134,0.4708,8208.6817,0.8721,0.8939,0.6695,1.3863,0.7965,0.7982,1.0,0.6641,0.7982,0.7578,inf,20.0,pyc_xmeans,triangle1_y.zip
10,2,0.0065634250640869,0.3466,7930.5699,1.0005,0.8652,0.5605,1.3863,0.77,0.7717,1.0,0.6283,0.7717,0.6777,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,2,0.0075294971466064,0.3508,8054.6325,0.995,0.8661,0.5639,1.3863,0.7697,0.7715,1.0,0.628,0.7715,0.6802,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,2,0.0071601867675781,0.5867,7688.399,0.7607,0.9201,0.7609,1.3863,0.828,0.8295,1.0,0.7086,0.8295,0.8242,inf,20.0,pyc_xmeans,triangle1_y.zip
10,6,0.0136818885803222,0.5984,7904.9177,0.7126,0.9116,0.7319,1.3863,0.8099,0.8115,1.0,0.6827,0.8115,0.8033,,,pyc_xmeans,triangle1_y.zip
10,6,0.006563663482666,0.34,7639.4256,1.0292,0.8629,0.5512,1.3863,0.7655,0.7673,1.0,0.6225,0.7673,0.6707,1000.0,20.0,pyc_xmeans,triangle1_y.zip
10,6,0.0073003768920898,0.5967,7877.1437,0.706,0.9125,0.735,1.3863,0.8116,0.8132,1.0,0.6852,0.8132,0.8055,100.0,20.0,pyc_xmeans,triangle1_y.zip
10,6,0.0070705413818359,0.4765,7668.1823,0.8306,0.8844,0.6347,1.3863,0.7839,0.7855,1.0,0.6468,0.7855,0.7324,inf,20.0,pyc_xmeans,triangle1_y.zip
12,10,0.0071790218353271,0.3301,7606.8984,1.0573,0.8609,0.5431,1.3863,0.7488,0.7511,1.0,0.6014,0.7511,0.6647,,,pyc_xmeans,triangle1_y.zip
12,10,0.0078933238983154,0.3319,7645.2889,0.9658,0.864,0.5556,1.3863,0.7554,0.7577,1.0,0.6099,0.7577,0.674,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,10,0.0072667598724365,0.4435,7281.8703,0.9853,0.8857,0.6394,1.3863,0.7714,0.7736,1.0,0.6308,0.7736,0.7358,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,10,0.0066564083099365,0.5834,6835.2126,0.7322,0.9055,0.7108,1.3863,0.7886,0.7906,1.0,0.6538,0.7906,0.7879,inf,20.0,pyc_xmeans,triangle1_y.zip
12,14,0.0116517543792724,0.3292,7953.6642,1.0242,0.8564,0.5248,1.3863,0.7435,0.7459,1.0,0.5947,0.7459,0.651,,,pyc_xmeans,triangle1_y.zip
12,14,0.0133984088897705,0.3388,6983.4353,0.9645,0.8506,0.501,1.3863,0.7347,0.737,1.0,0.5836,0.737,0.633,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,14,0.0084133148193359,0.4753,7566.4009,0.7906,0.8715,0.5853,1.3863,0.7512,0.7535,1.0,0.6045,0.7535,0.6961,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,14,0.0117173194885253,0.3536,7413.1464,0.9073,0.8431,0.4692,1.3863,0.7261,0.7285,1.0,0.5729,0.7285,0.6087,inf,20.0,pyc_xmeans,triangle1_y.zip
12,18,0.0558750629425048,0.441,7059.7886,0.9502,0.8876,0.6465,1.3863,0.7797,0.7818,1.0,0.6418,0.7818,0.741,,,pyc_xmeans,triangle1_y.zip
12,18,0.0090250968933105,0.4503,7294.3911,0.8813,0.8895,0.6535,1.3863,0.7803,0.7824,1.0,0.6426,0.7824,0.7461,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,18,0.0087890625,0.3465,8000.3585,0.9387,0.8506,0.5011,1.3863,0.7359,0.7383,1.0,0.5852,0.7383,0.6331,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,18,0.0093255043029785,0.4563,7468.3899,0.9129,0.8865,0.6423,1.3863,0.7721,0.7743,1.0,0.6317,0.7743,0.738,inf,20.0,pyc_xmeans,triangle1_y.zip
12,2,0.0073411464691162,0.3438,7188.5693,0.9195,0.8443,0.4743,1.3863,0.7286,0.731,1.0,0.5761,0.731,0.6127,,,pyc_xmeans,triangle1_y.zip
12,22,0.0131483078002929,0.3263,7887.3109,1.011,0.8578,0.5308,1.3863,0.746,0.7483,1.0,0.5978,0.7483,0.6555,,,pyc_xmeans,triangle1_y.zip
12,22,0.0088734626770019,0.4514,7295.367,0.9022,0.8884,0.6493,1.3863,0.7791,0.7813,1.0,0.641,0.7813,0.7431,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,22,0.0531928539276123,0.341,8112.3248,0.9852,0.8567,0.5263,1.3863,0.7449,0.7472,1.0,0.5965,0.7472,0.6521,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,22,0.0096733570098876,0.3471,7860.5073,0.9603,0.8588,0.5348,1.3863,0.7506,0.7529,1.0,0.6038,0.7529,0.6585,inf,20.0,pyc_xmeans,triangle1_y.zip
12,2,0.0066413879394531,0.4567,7244.8074,0.8447,0.8831,0.6295,1.3863,0.7694,0.7716,1.0,0.6281,0.7716,0.7286,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,2,0.0074477195739746,0.3303,7076.7,0.9629,0.8561,0.5236,1.3863,0.746,0.7484,1.0,0.5979,0.7484,0.6501,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,2,0.007282018661499,0.3411,7929.8714,0.9503,0.8501,0.4987,1.3863,0.7357,0.7381,1.0,0.5849,0.7381,0.6313,inf,20.0,pyc_xmeans,triangle1_y.zip
12,6,0.0075271129608154,0.328,7456.0796,0.9738,0.8524,0.5085,1.3863,0.7385,0.7408,1.0,0.5883,0.7408,0.6387,,,pyc_xmeans,triangle1_y.zip
12,6,0.0075137615203857,0.3256,7782.4186,1.0163,0.8563,0.5246,1.3863,0.7446,0.747,1.0,0.5961,0.747,0.6508,1000.0,20.0,pyc_xmeans,triangle1_y.zip
12,6,0.0071611404418945,0.4678,7319.5734,0.8309,0.8804,0.6193,1.3863,0.7674,0.7696,1.0,0.6255,0.7696,0.7211,100.0,20.0,pyc_xmeans,triangle1_y.zip
12,6,0.0065367221832275,0.4715,7781.9139,0.839,0.8786,0.6127,1.3863,0.7614,0.7636,1.0,0.6176,0.7636,0.7163,inf,20.0,pyc_xmeans,triangle1_y.zip
2,10,0.009261131286621,0.7397,9282.9097,0.5036,0.963,0.896,1.3863,0.9196,0.92,1.0,0.8519,0.92,0.9228,,,pyc_xmeans,triangle1_y.zip
2,10,0.0125725269317626,0.7278,9409.7253,0.5381,0.956,0.8751,1.3863,0.8958,0.8964,1.0,0.8123,0.8964,0.9075,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,10,0.0130763053894042,0.7315,9348.3066,0.5136,0.9574,0.8793,1.3863,0.8999,0.9005,1.0,0.8189,0.9005,0.9106,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,10,0.0116045475006103,0.7252,9323.7477,0.5383,0.9562,0.8757,1.3863,0.8958,0.8964,1.0,0.8122,0.8964,0.9079,inf,20.0,pyc_xmeans,triangle1_y.zip
2,14,0.0131833553314208,0.7318,9341.4251,0.5129,0.9576,0.8797,1.3863,0.9001,0.9007,1.0,0.8193,0.9007,0.9109,,,pyc_xmeans,triangle1_y.zip
2,14,0.010960578918457,0.7322,9334.4662,0.5161,0.9573,0.8789,1.3863,0.8995,0.9001,1.0,0.8184,0.9001,0.9103,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,14,0.0124351978302001,0.726,8932.6261,0.5604,0.9521,0.8633,1.3863,0.8795,0.8803,1.0,0.7862,0.8803,0.8989,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,14,0.0140810012817382,0.7257,9357.764,0.5393,0.9561,0.8753,1.3863,0.8956,0.8963,1.0,0.812,0.8963,0.9076,inf,20.0,pyc_xmeans,triangle1_y.zip
2,18,0.010300874710083,0.729,9412.9178,0.5276,0.9566,0.8768,1.3863,0.8973,0.8979,1.0,0.8148,0.8979,0.9087,,,pyc_xmeans,triangle1_y.zip
2,18,0.0105574131011962,0.7253,9336.393,0.5356,0.9564,0.8763,1.3863,0.8965,0.8971,1.0,0.8134,0.8971,0.9084,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,18,0.010993480682373,0.729,9412.9178,0.5276,0.9566,0.8768,1.3863,0.8973,0.8979,1.0,0.8148,0.8979,0.9087,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,18,0.0130431652069091,0.7318,9341.4251,0.5129,0.9576,0.8797,1.3863,0.9001,0.9007,1.0,0.8193,0.9007,0.9109,inf,20.0,pyc_xmeans,triangle1_y.zip
2,2,0.0249519348144531,0.5107,1016.3937,0.6075,0.6256,0.3217,0.5108,0.5174,0.5181,0.3684,0.8728,0.5181,0.6167,,,pyc_xmeans,triangle1_y.zip
2,22,0.0105819702148437,0.7273,9403.8588,0.5415,0.9558,0.8745,1.3863,0.895,0.8957,1.0,0.811,0.8957,0.907,,,pyc_xmeans,triangle1_y.zip
2,22,0.0579638481140136,0.729,9409.4795,0.5267,0.9567,0.8771,1.3863,0.8975,0.8981,1.0,0.8151,0.8981,0.9089,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,22,0.0103030204772949,0.7318,9341.4251,0.5129,0.9576,0.8797,1.3863,0.9001,0.9007,1.0,0.8193,0.9007,0.9109,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,22,0.0105540752410888,0.7258,9356.3033,0.54,0.956,0.8751,1.3863,0.8955,0.8961,1.0,0.8118,0.8961,0.9075,inf,20.0,pyc_xmeans,triangle1_y.zip
2,2,0.0087800025939941,0.5125,1016.2319,0.5993,0.6253,0.3229,0.515,0.5225,0.5233,0.3715,0.8845,0.5233,0.6186,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,2,0.0079841613769531,0.5125,1016.2319,0.5993,0.6253,0.3229,0.515,0.5225,0.5233,0.3715,0.8845,0.5233,0.6186,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,2,0.0092298984527587,0.5036,1052.7887,0.7504,0.6388,0.3151,0.4774,0.4711,0.4719,0.3444,0.7495,0.4719,0.5953,inf,20.0,pyc_xmeans,triangle1_y.zip
2,6,0.0100781917572021,0.7353,9488.5774,0.5089,0.9603,0.8881,1.3863,0.913,0.9135,1.0,0.8407,0.9135,0.917,,,pyc_xmeans,triangle1_y.zip
2,6,0.022313117980957,0.7353,9488.5774,0.5089,0.9603,0.8881,1.3863,0.913,0.9135,1.0,0.8407,0.9135,0.917,1000.0,20.0,pyc_xmeans,triangle1_y.zip
2,6,0.0123119354248046,0.7382,9549.8513,0.5187,0.9604,0.8881,1.3863,0.9133,0.9137,1.0,0.8412,0.9137,0.917,100.0,20.0,pyc_xmeans,triangle1_y.zip
2,6,0.0105271339416503,0.7382,9549.8513,0.5187,0.9604,0.8881,1.3863,0.9133,0.9137,1.0,0.8412,0.9137,0.917,inf,20.0,pyc_xmeans,triangle1_y.zip
4,10,0.0097215175628662,0.7253,9328.2524,0.5368,0.9563,0.876,1.3863,0.8961,0.8967,1.0,0.8127,0.8967,0.9082,,,pyc_xmeans,triangle1_y.zip
4,10,0.0089175701141357,0.7253,9336.393,0.5356,0.9564,0.8763,1.3863,0.8965,0.8971,1.0,0.8134,0.8971,0.9084,1000.0,20.0,pyc_xmeans,triangle1_y.zip
4,10,0.0113708972930908,0.7252,9323.7477,0.5383,0.9562,0.8757,1.3863,0.8958,0.8964,1.0,0.8122,0.8964,0.9079,100.0,20.0,pyc_xmeans,triangle1_y.zip
4,10,0.0099449157714843,0.7253,9336.393,0.5356,0.9564,0.8763,1.3863,0.8965,0.8971,1.0,0.8134,0.8971,0.9084,inf,20.0,pyc_xmeans,triangle1_y.zip
4,14,0.0098881721496582,0.7253,9336.393,0.5356,0.9564,0.8763,1.3863,0.8965,0.8971,1.0,0.8134,0.8971,0.9084,,,pyc_xmeans,triangle1_y.zip
4,14,0.0106511116027832,0.7253,9328.2524,0.5368,0.9563,0.876,1.3863,0.8961,0.8967,1.0,0.8127,0.8967,0.9082,1000.0,20.0,pyc_xmeans,triangle1_y.zip
4,14,0.0123202800750732,0.726,8935.1161,0.5617,0.9521,0.8632,1.3863,0.8794,0.8802,1.0,0.786,0.8802,0.8988,100.0,20.0,pyc_xmeans,triangle1_y.zip
4,14,0.0107297897338867,0.7318,9341.4251,0.5129,0.9576,0.8797,1.3863,0.9001,0.9007,1.0,0.8193,0.9007,0.9109,inf,20.0,pyc_xmeans,triangle1_y.zip
4,18,0.012258768081665,0.7258,9356.3033,0.54,0.956,0.8751,1.3863,0.8955,0.8961,1.0,0.8118,0.8961,0.9075,,,pyc_xmeans,triangle1_y.zip
4,18,0.0101666450500488,0.729,9412.9178,0.5276,0.9566,0.8768,1.3863,0.8973,0.8979,1.0,0.8148,0.8979,0.9087,1000.0,20.0,pyc_xmeans,triangle1_y.zip
4,18,0.0100195407867431,0.7271,9393.827,0.539,0.956,0.875,1.3863,0.8954,0.896,1.0,0.8116,0.896,0.9074,100.0,20.0,pyc_xmeans,triangle1_y.zip
4,18,0.0101737976074218,0.7315,9352.407,0.5138,0.9574,0.8792,1.3863,0.8998,0.9004,1.0,0.8188,0.9004,0.9104,inf,20.0,pyc_xmeans,triangle1_y.zip
4,2,0.0074737071990966,0.7838,6612.9394,0.3618,0.9911,0.9763,1.3441,0.9696,0.9697,0.9696,0.9698,0.9697,0.9822,,,pyc_xmeans,triangle1_y.zip
4,22,0.0173389911651611,0.7294,9387.2201,0.5269,0.9567,0.8773,1.3863,0.898,0.8986,1.0,0.8159,0.8986,0.9091,,,pyc_xmeans,triangle1_y.zip
4,22,0.0528566837310791,0.729,9412.9178,0.5276,0.9566,0.8768,1.3863,0.8973,0.8979,1.0,0.8148,0.8979,0.9087,1000.0,20.0,pyc_xmeans,triangle1_y.zip
4,22,0.0100817680358886,0.7322,9334.4662,0.5161,0.9573,0.8789,1.3863,0.8995,0.9001,1.0,0.8184,0.9001,0.9103,100.0,20.0,pyc_xmeans,triangle1_y.zip
4,22,0.0102319717407226,0.7318,9341.4251,0.5129,0.9576,0.8797,1.3863,0.9001,0.9007,1.0,0.8193,0.9007,0.9109,inf,20.0,pyc_xmeans,triangle1_y.zip
4,2,0.0069303512573242,0.7829,6609.5889,0.3584,0.9872,0.9659,1.3235,0.9548,0.9549,0.9547,0.9551,0.9549,0.9744,1000.0,20.0,pyc_xmeans,triangle1_y.zip
4,2,0.0063939094543457,0.7838,6612.9394,0.3618,0.9911,0.9763,1.3441,0.9696,0.9697,0.9696,0.9698,0.9697,0.9822,100.0,20.0,pyc_xmeans,triangle1_y.zip
4,2,0.0071611404418945,0.7838,6612.9394,0.3618,0.9911,0.9763,1.3441,0.9696,0.9697,0.9696,0.9698,0.9697,0.9822,inf,20.0,pyc_xmeans,triangle1_y.zip
