eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.0199134349822998,0.3738,328.1825,1.0134,0.6267,0.3181,0.4992,0.5032,0.5039,0.3601,0.8392,0.5039,0.6111,,,skl_DBSCAN,triangle1_y.zip
0.1,10,correlation,auto,4,0.0191075801849365,0.3738,328.1825,1.0134,0.6267,0.3181,0.4992,0.5032,0.5039,0.3601,0.8392,0.5039,0.6111,1000.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,correlation,auto,4,0.018707275390625,0.3738,328.1825,1.0134,0.6267,0.3181,0.4992,0.5032,0.5039,0.3601,0.8392,0.5039,0.6111,100.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,correlation,auto,4,0.0187246799468994,0.3738,328.1825,1.0134,0.6267,0.3181,0.4992,0.5032,0.5039,0.3601,0.8392,0.5039,0.6111,inf,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,cosine,auto,4,0.0232295989990234,0.3948,345.4197,0.8579,0.6246,0.3327,0.5623,0.5765,0.5772,0.4056,1.0,0.5772,0.6317,,,skl_DBSCAN,triangle1_y.zip
0.1,10,cosine,auto,4,0.0139069557189941,0.3948,345.4197,0.8579,0.6246,0.3327,0.5623,0.5765,0.5772,0.4056,1.0,0.5772,0.6317,1000.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,cosine,auto,4,0.0140621662139892,0.3948,345.4197,0.8579,0.6246,0.3327,0.5623,0.5765,0.5772,0.4056,1.0,0.5772,0.6317,100.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,cosine,auto,4,0.014322280883789,0.3948,345.4197,0.8579,0.6246,0.3327,0.5623,0.5765,0.5772,0.4056,1.0,0.5772,0.6317,inf,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,euclidean,auto,4,0.0089557170867919,0.7011,3132.0829,5.1958,0.9609,0.8907,1.3199,0.8951,0.8956,0.9521,0.8454,0.8956,0.9183,,,skl_DBSCAN,triangle1_y.zip
0.1,10,euclidean,auto,4,0.0088164806365966,0.7011,3132.0829,5.1958,0.9609,0.8907,1.3199,0.8951,0.8956,0.9521,0.8454,0.8956,0.9183,1000.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,euclidean,auto,4,0.0060615539550781,0.7011,3132.0829,5.1958,0.9609,0.8907,1.3199,0.8951,0.8956,0.9521,0.8454,0.8956,0.9183,100.0,20.0,skl_DBSCAN,triangle1_y.zip
0.1,10,euclidean,auto,4,0.0060565471649169,0.7011,3132.0829,5.1958,0.9609,0.8907,1.3199,0.8951,0.8956,0.9521,0.8454,0.8956,0.9183,inf,20.0,skl_DBSCAN,triangle1_y.zip
0.1,2,correlation,auto,4,0.0214684009552001,0.3738,328.1825,1.0134,0.6267,0.3181,0.4992,0.5032,0.5039,0.3601,0.8392,0.5039,0.6111,,,skl_DBSCAN,triangle1_y.zip
