n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0706942081451416,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0643517971038818,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0692508220672607,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0734541416168212,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0781991481781005,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0731239318847656,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0762777328491211,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0784435272216796,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0721240043640136,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0705807209014892,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0733489990234375,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0775706768035888,0.6393,1885.2347,0.5697,0.8678,0.6951,0.9927,0.8147,0.8151,0.7161,0.9459,0.8151,0.8004,kmeans+dt,triangle1_y.zip-4_True_k
