n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0717873573303222,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,,,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0799424648284912,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,1000.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0775849819183349,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,100.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0590689182281494,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,inf,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.073063850402832,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,,,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0669856071472168,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,1000.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0343213081359863,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,100.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0721306800842285,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,inf,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0763256549835205,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,,,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0724871158599853,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,1000.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0611555576324462,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,100.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0703442096710205,0.6681,4738.7726,0.7447,0.9767,0.9358,1.3548,0.9343,0.9345,0.9772,0.8954,0.9345,0.952,inf,20.0,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.075538158416748,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,,,kmeans+dt,triangle1_y.zip-6_True_k
6,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0724186897277832,0.7082,5127.7825,0.4386,0.9942,0.9844,1.3798,0.9804,0.9804,0.9953,0.966,0.9804,0.9883,1000.0,20.0,kmeans+dt,triangle1_y.zip-6_True_k
