max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,4.313581228256226,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,100.0,0.1,4.158696889877319,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,100.0,0.2,4.196659326553345,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,20.0,0.0,4.19251561164856,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,20.0,0.1,4.160885810852051,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,20.0,0.2,4.1837029457092285,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,inf,0.0,5.412632465362549,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,inf,0.1,5.315237998962402,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,50,1000.0,inf,0.2,5.427772521972656,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,50,100.0,20.0,0.0,0.4553620815277099,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,50,100.0,20.0,0.1,0.4638986587524414,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,50,100.0,20.0,0.2,0.4776520729064941,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,100.0,0.0,4.283578634262085,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,100.0,0.1,4.187503099441528,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,100.0,0.2,4.137576103210449,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,20.0,0.0,4.207100629806519,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,20.0,0.1,4.14975380897522,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,20.0,0.2,4.1792848110198975,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,inf,0.0,5.3527116775512695,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,inf,0.1,5.42905592918396,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,50,inf,inf,0.2,5.33910870552063,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,100.0,0.0,4.185221910476685,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,100.0,0.1,4.228891849517822,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,100.0,0.2,4.223937749862671,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,20.0,0.0,4.237885713577271,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,20.0,0.1,4.168824195861816,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,20.0,0.2,4.236669540405273,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,inf,0.0,5.39478325843811,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,inf,0.1,5.364351987838745,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,1000.0,inf,0.2,5.469179391860962,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,100.0,20.0,0.0,0.4616596698760986,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,5,100.0,20.0,0.1,0.4735701084136963,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,5,100.0,20.0,0.2,0.4629652500152588,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,100.0,0.0,4.330543041229248,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,100.0,0.1,4.2199578285217285,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,100.0,0.2,4.217559814453125,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,20.0,0.0,4.145901441574097,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,20.0,0.1,4.20060658454895,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,20.0,0.2,4.216682195663452,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,inf,0.0,5.379379987716675,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,inf,0.1,5.320783853530884,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,30,5,inf,inf,0.2,5.447790861129761,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,100.0,0.0,4.200808763504028,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,100.0,0.1,4.206862449645996,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,100.0,0.2,4.177089691162109,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,20.0,0.0,4.313371419906616,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,20.0,0.1,4.252177238464356,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,20.0,0.2,4.255173206329346,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,inf,0.0,5.323380947113037,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,inf,0.1,5.327343702316284,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,1000.0,inf,0.2,5.419929265975952,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,100.0,20.0,0.0,0.4784014225006103,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,50,100.0,20.0,0.1,0.4769010543823242,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,50,100.0,20.0,0.2,0.4549472332000732,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,100.0,0.0,4.232403039932251,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,100.0,0.1,4.312806844711304,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,100.0,0.2,4.16342043876648,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,20.0,0.0,4.190807342529297,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,20.0,0.1,4.173309564590454,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,20.0,0.2,4.177177667617798,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,inf,0.0,5.320259094238281,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,inf,0.1,5.334678411483765,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,50,inf,inf,0.2,5.444422960281372,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,100.0,0.0,4.243078947067261,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,100.0,0.1,4.177516460418701,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,100.0,0.2,4.268956899642944,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,20.0,0.0,4.277843952178955,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,20.0,0.1,4.233264207839966,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,20.0,0.2,4.2156500816345215,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,inf,0.0,5.352593183517456,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,inf,0.1,5.412997245788574,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,1000.0,inf,0.2,5.337429761886597,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,100.0,20.0,0.0,0.4759924411773681,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,5,100.0,20.0,0.1,0.4661271572113037,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,5,100.0,20.0,0.2,0.4474761486053467,0.2797,1543.5225,1.0695,0.8114,0.4557,1.209,0.6902,0.6927,0.9446,0.5468,0.6927,0.6085,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,100.0,0.0,4.206252813339233,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,100.0,0.1,4.233604907989502,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,100.0,0.2,4.267503261566162,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,20.0,0.0,4.239194393157959,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,20.0,0.1,4.235989809036255,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,20.0,0.2,4.157336235046387,0.236,1107.7027,0.9647,0.7842,0.3786,1.1119,0.6348,0.6377,0.8688,0.5037,0.6377,0.5367,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,inf,0.0,5.389463901519775,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,inf,0.1,5.322550296783447,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,10,3,5,inf,inf,0.2,5.31677508354187,0.3026,4.2412,0.4488,0.3138,0.0105,0.0211,0.0144,0.0312,0.0165,0.2966,0.0312,0.5489,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,100.0,0.0,5.096171140670776,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,100.0,0.1,5.056021928787232,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,100.0,0.2,5.024150133132935,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,20.0,0.0,5.180397748947144,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,20.0,0.1,5.017650127410889,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,20.0,0.2,4.925651550292969,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,inf,0.0,6.015314102172852,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,inf,0.1,6.069828510284424,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,50,1000.0,inf,0.2,5.960010051727295,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,50,100.0,20.0,0.0,0.5421991348266602,0.3112,1712.6847,0.9863,0.7852,0.3599,1.2108,0.6483,0.6515,0.9461,0.4968,0.6515,0.5316,VarianceParTree,triangle2_y.zip
10,12,30,50,100.0,20.0,0.1,0.5525472164154053,0.3112,1712.6847,0.9863,0.7852,0.3599,1.2108,0.6483,0.6515,0.9461,0.4968,0.6515,0.5316,VarianceParTree,triangle2_y.zip
10,12,30,50,100.0,20.0,0.2,0.5384974479675293,0.3112,1712.6847,0.9863,0.7852,0.3599,1.2108,0.6483,0.6515,0.9461,0.4968,0.6515,0.5316,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,100.0,0.0,4.9100611209869385,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,100.0,0.1,5.114005565643311,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,100.0,0.2,5.020046472549439,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,20.0,0.0,5.01542592048645,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,20.0,0.1,5.081692934036255,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,20.0,0.2,5.092965841293335,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,inf,0.0,5.977234840393066,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,inf,0.1,6.002545356750488,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,50,inf,inf,0.2,6.074929475784302,0.3029,4.2053,0.4503,0.3154,0.0117,0.0235,0.016,0.0346,0.0184,0.2973,0.0346,0.5491,VarianceParTree,triangle2_y.zip
10,12,30,5,1000.0,100.0,0.0,5.062033891677856,0.3104,1622.5617,0.9786,0.7801,0.3421,1.1898,0.6339,0.6372,0.9296,0.4847,0.6372,0.5155,VarianceParTree,triangle2_y.zip
