min_samples,max_eps,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,2.530726909637451,0.278,285.1862,1.476,0.5929,0.2192,0.2854,0.2965,0.2976,0.223,0.4472,0.2976,0.5474,skl_OPTICS,triangle2_y.zip
10,inf,cosine,auto,4,4.17355751991272,-0.3328,28.7357,5.6282,0.6553,0.0192,0.7344,0.315,0.3376,0.5738,0.2391,0.3376,0.2143,skl_OPTICS,triangle2_y.zip
10,inf,euclidean,auto,4,1.7955873012542725,-0.5675,17.0253,1.8394,0.4142,0.0189,0.187,0.1764,0.1889,0.1461,0.267,0.1889,0.4832,skl_OPTICS,triangle2_y.zip
20,inf,correlation,auto,4,2.58530068397522,0.278,285.1862,1.476,0.5929,0.2192,0.2854,0.2965,0.2976,0.223,0.4472,0.2976,0.5474,skl_OPTICS,triangle2_y.zip
20,inf,cosine,auto,4,4.865959882736206,-0.3388,55.5536,2.9033,0.6129,0.0614,0.5537,0.3296,0.3393,0.4326,0.2791,0.3393,0.334,skl_OPTICS,triangle2_y.zip
20,inf,euclidean,auto,4,1.7971863746643066,0.6117,1660.7611,1.3132,0.9808,0.9535,1.2287,0.9335,0.9338,0.96,0.909,0.9338,0.9674,skl_OPTICS,triangle2_y.zip
2,inf,correlation,auto,4,2.6814448833465576,0.278,285.1862,1.476,0.5929,0.2192,0.2854,0.2965,0.2976,0.223,0.4472,0.2976,0.5474,skl_OPTICS,triangle2_y.zip
2,inf,cosine,auto,4,3.927375078201294,-0.5208,10.4921,12.9914,0.6985,0.0064,1.0716,0.1827,0.3148,0.8373,0.1938,0.3148,0.0733,skl_OPTICS,triangle2_y.zip
2,inf,euclidean,auto,4,3.4981112480163574,0.2478,10.2186,1.7136,0.6896,0.0074,1.0498,0.209,0.3298,0.8203,0.2064,0.3298,0.1115,skl_OPTICS,triangle2_y.zip
3,inf,correlation,auto,4,2.46487808227539,0.278,285.1862,1.476,0.5929,0.2192,0.2854,0.2965,0.2976,0.223,0.4472,0.2976,0.5474,skl_OPTICS,triangle2_y.zip
3,inf,cosine,auto,4,4.686191320419312,-0.4571,13.9559,11.2998,0.6887,0.0152,0.9292,0.2389,0.3169,0.726,0.2027,0.3169,0.1333,skl_OPTICS,triangle2_y.zip
3,inf,euclidean,auto,4,1.817187547683716,-0.0198,9.1329,1.5458,0.6455,0.0117,0.7928,0.2407,0.3177,0.6195,0.2137,0.3177,0.2204,skl_OPTICS,triangle2_y.zip
5,inf,correlation,auto,4,2.4661853313446045,0.278,285.1862,1.476,0.5929,0.2192,0.2854,0.2965,0.2976,0.223,0.4472,0.2976,0.5474,skl_OPTICS,triangle2_y.zip
5,inf,cosine,auto,4,5.404417991638184,-0.3789,22.8099,8.9007,0.6827,0.0244,0.8662,0.2884,0.3319,0.6768,0.2199,0.3319,0.1677,skl_OPTICS,triangle2_y.zip
5,inf,euclidean,auto,4,1.8296756744384768,-0.2725,10.1667,2.1605,0.5619,-0.0186,0.5295,0.2535,0.2905,0.4137,0.2238,0.2905,0.2996,skl_OPTICS,triangle2_y.zip
