n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.4846317768096924,0.1694,259.8867,1.5456,0.732,0.1349,0.4047,0.2205,0.2277,0.2921,0.1865,0.2277,0.2938,ShallowTree,vehicle_y.zip
10,0.01,1000.0,20,0.3010816574096679,0.1694,259.8867,1.5456,0.732,0.1349,0.4047,0.2205,0.2277,0.2921,0.1865,0.2277,0.2938,ShallowTree,vehicle_y.zip
10,0.01,100.0,100,0.7528865337371826,0.1744,259.2991,1.5169,0.7326,0.1382,0.4234,0.2314,0.2385,0.3056,0.1955,0.2385,0.2972,ShallowTree,vehicle_y.zip
10,0.01,100.0,20,1.006641864776611,0.1694,259.8867,1.5456,0.732,0.1349,0.4047,0.2205,0.2277,0.2921,0.1865,0.2277,0.2938,ShallowTree,vehicle_y.zip
10,0.01,inf,100,0.5959377288818359,0.1694,259.8867,1.5456,0.732,0.1349,0.4047,0.2205,0.2277,0.2921,0.1865,0.2277,0.2938,ShallowTree,vehicle_y.zip
10,0.01,inf,20,0.4974021911621094,0.1694,259.8867,1.5456,0.732,0.1349,0.4047,0.2205,0.2277,0.2921,0.1865,0.2277,0.2938,ShallowTree,vehicle_y.zip
10,0.03,1000.0,100,0.6004352569580078,0.17,260.3358,1.5223,0.7257,0.1189,0.3885,0.2121,0.2194,0.2804,0.1802,0.2194,0.2809,ShallowTree,vehicle_y.zip
10,0.03,1000.0,20,0.6338822841644287,0.17,260.3358,1.5223,0.7257,0.1189,0.3885,0.2121,0.2194,0.2804,0.1802,0.2194,0.2809,ShallowTree,vehicle_y.zip
10,0.03,100.0,100,0.6025407314300537,0.1731,259.5112,1.4901,0.7253,0.1182,0.3859,0.2107,0.2181,0.2785,0.1792,0.2181,0.2805,ShallowTree,vehicle_y.zip
10,0.03,100.0,20,0.7938828468322754,0.17,260.3358,1.5223,0.7257,0.1189,0.3885,0.2121,0.2194,0.2804,0.1802,0.2194,0.2809,ShallowTree,vehicle_y.zip
10,0.03,inf,100,0.5357949733734131,0.17,260.3358,1.5223,0.7257,0.1189,0.3885,0.2121,0.2194,0.2804,0.1802,0.2194,0.2809,ShallowTree,vehicle_y.zip
10,0.03,inf,20,0.6384265422821045,0.17,260.3358,1.5223,0.7257,0.1189,0.3885,0.2121,0.2194,0.2804,0.1802,0.2194,0.2809,ShallowTree,vehicle_y.zip
10,0.05,1000.0,100,0.7118959426879883,0.1675,257.7333,1.4594,0.7222,0.1167,0.3726,0.2043,0.2118,0.2689,0.1747,0.2118,0.2819,ShallowTree,vehicle_y.zip
10,0.05,1000.0,20,0.4703080654144287,0.1675,257.7333,1.4594,0.7222,0.1167,0.3726,0.2043,0.2118,0.2689,0.1747,0.2118,0.2819,ShallowTree,vehicle_y.zip
10,0.05,100.0,100,0.6841561794281006,0.1675,256.4778,1.4618,0.721,0.1155,0.3851,0.212,0.2194,0.278,0.1812,0.2194,0.2818,ShallowTree,vehicle_y.zip
10,0.05,100.0,20,0.7794647216796875,0.1675,257.7333,1.4594,0.7222,0.1167,0.3726,0.2043,0.2118,0.2689,0.1747,0.2118,0.2819,ShallowTree,vehicle_y.zip
10,0.05,inf,100,0.5169641971588135,0.1675,257.7333,1.4594,0.7222,0.1167,0.3726,0.2043,0.2118,0.2689,0.1747,0.2118,0.2819,ShallowTree,vehicle_y.zip
10,0.05,inf,20,0.5397601127624512,0.1675,257.7333,1.4594,0.7222,0.1167,0.3726,0.2043,0.2118,0.2689,0.1747,0.2118,0.2819,ShallowTree,vehicle_y.zip
10,0.0,1000.0,100,0.4498078823089599,0.1713,260.2811,1.5438,0.7331,0.1391,0.4245,0.2319,0.239,0.3064,0.1959,0.239,0.2979,ShallowTree,vehicle_y.zip
10,0.0,1000.0,20,0.4993488788604736,0.1713,260.2811,1.5438,0.7331,0.1391,0.4245,0.2319,0.239,0.3064,0.1959,0.239,0.2979,ShallowTree,vehicle_y.zip
10,0.0,100.0,100,0.6944229602813721,0.175,259.7331,1.5134,0.7329,0.1389,0.4253,0.2325,0.2396,0.3069,0.1965,0.2396,0.2978,ShallowTree,vehicle_y.zip
10,0.0,100.0,20,0.576606273651123,0.1713,260.2811,1.5438,0.7331,0.1391,0.4245,0.2319,0.239,0.3064,0.1959,0.239,0.2979,ShallowTree,vehicle_y.zip
10,0.0,inf,100,0.6040325164794922,0.1713,260.2811,1.5438,0.7331,0.1391,0.4245,0.2319,0.239,0.3064,0.1959,0.239,0.2979,ShallowTree,vehicle_y.zip
10,0.0,inf,20,0.6044447422027588,0.1713,260.2811,1.5438,0.7331,0.1391,0.4245,0.2319,0.239,0.3064,0.1959,0.239,0.2979,ShallowTree,vehicle_y.zip
10,1.0,1000.0,100,0.6218912601470947,0.0489,151.8389,1.7759,0.7018,0.0953,0.2642,0.1472,0.1556,0.1906,0.1314,0.1556,0.2783,ShallowTree,vehicle_y.zip
10,1.0,1000.0,20,0.5471954345703125,0.0489,151.8389,1.7759,0.7018,0.0953,0.2642,0.1472,0.1556,0.1906,0.1314,0.1556,0.2783,ShallowTree,vehicle_y.zip
10,1.0,100.0,100,0.70819091796875,0.1071,151.1893,2.9621,0.7142,0.1162,0.2931,0.1628,0.1709,0.2115,0.1433,0.1709,0.2897,ShallowTree,vehicle_y.zip
10,1.0,100.0,20,0.7191565036773682,0.0489,151.8389,1.7759,0.7018,0.0953,0.2642,0.1472,0.1556,0.1906,0.1314,0.1556,0.2783,ShallowTree,vehicle_y.zip
10,1.0,inf,100,0.5122480392456055,0.0489,151.8389,1.7759,0.7018,0.0953,0.2642,0.1472,0.1556,0.1906,0.1314,0.1556,0.2783,ShallowTree,vehicle_y.zip
10,1.0,inf,20,0.789254903793335,0.0489,151.8389,1.7759,0.7018,0.0953,0.2642,0.1472,0.1556,0.1906,0.1314,0.1556,0.2783,ShallowTree,vehicle_y.zip
12,0.01,1000.0,100,0.4540605545043945,0.1555,229.4796,1.5998,0.7367,0.1168,0.4381,0.2247,0.233,0.3162,0.1844,0.233,0.2675,ShallowTree,vehicle_y.zip
12,0.01,1000.0,20,0.5191237926483154,0.1555,229.4796,1.5998,0.7367,0.1168,0.4381,0.2247,0.233,0.3162,0.1844,0.233,0.2675,ShallowTree,vehicle_y.zip
12,0.01,100.0,100,0.3694221973419189,0.1702,239.7873,1.4983,0.7354,0.1109,0.3963,0.2019,0.2104,0.286,0.1664,0.2104,0.2614,ShallowTree,vehicle_y.zip
12,0.01,100.0,20,0.5045371055603027,0.1555,229.4796,1.5998,0.7367,0.1168,0.4381,0.2247,0.233,0.3162,0.1844,0.233,0.2675,ShallowTree,vehicle_y.zip
12,0.01,inf,100,0.5760257244110107,0.1555,229.4796,1.5998,0.7367,0.1168,0.4381,0.2247,0.233,0.3162,0.1844,0.233,0.2675,ShallowTree,vehicle_y.zip
