n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,100,Cao,11,False,42,4,1000.0,100,1.792846918106079,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,1000.0,20,1.751887321472168,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,100.0,100,1.4731347560882568,-0.066,28.5798,7.1124,0.7126,0.0587,0.1909,0.0972,0.1053,0.1378,0.0852,0.1053,0.2205,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,100.0,20,1.7839195728302002,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,20.0,20,1.903400421142578,0.0124,62.6555,4.362,0.7297,0.1342,0.3549,0.1913,0.1986,0.2561,0.1622,0.1986,0.2952,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,inf,100,1.781618356704712,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,100,Cao,11,False,42,4,inf,20,1.7495861053466797,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,1000.0,100,1.783409595489502,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,1000.0,20,1.752579689025879,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,100.0,100,1.4765503406524658,-0.066,28.5798,7.1124,0.7126,0.0587,0.1909,0.0972,0.1053,0.1378,0.0852,0.1053,0.2205,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,100.0,20,1.7536039352416992,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,20.0,20,1.924933195114136,0.0124,62.6555,4.362,0.7297,0.1342,0.3549,0.1913,0.1986,0.2561,0.1622,0.1986,0.2952,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,inf,100,1.7826995849609375,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,300,Cao,11,False,42,4,inf,20,1.7532243728637695,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,1000.0,100,1.803810834884644,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,1000.0,20,1.7609970569610596,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,100.0,100,1.4803309440612793,-0.066,28.5798,7.1124,0.7126,0.0587,0.1909,0.0972,0.1053,0.1378,0.0852,0.1053,0.2205,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,100.0,20,1.7589271068572998,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,20.0,20,1.9078168869018557,0.0124,62.6555,4.362,0.7297,0.1342,0.3549,0.1913,0.1986,0.2561,0.1622,0.1986,0.2952,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,inf,100,1.7805023193359375,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
10,500,Cao,11,False,42,4,inf,20,1.7611019611358645,-0.1058,31.8358,8.6597,0.7092,0.05,0.1646,0.0828,0.091,0.1188,0.0738,0.091,0.2135,kmodes,vehicle_y.zip
12,100,Cao,11,False,42,4,1000.0,100,1.759936809539795,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,100,Cao,11,False,42,4,1000.0,20,1.7289769649505615,-0.122,28.3716,7.5923,0.7157,0.0433,0.1643,0.0771,0.0868,0.1186,0.0684,0.0868,0.1958,kmodes,vehicle_y.zip
12,100,Cao,11,False,42,4,100.0,100,1.746546745300293,-0.0734,28.9697,7.3517,0.7201,0.0727,0.2045,0.0996,0.1091,0.1476,0.0865,0.1091,0.2294,kmodes,vehicle_y.zip
