min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,1000.0,100,2.247747898101806,-0.2799,32.3726,1.2444,0.4088,0.0132,0.1626,0.1347,0.1486,0.1173,0.2025,0.1486,0.4267,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,1000.0,20,2.320005416870117,-0.2799,32.3726,1.2444,0.4088,0.0132,0.1626,0.1347,0.1486,0.1173,0.2025,0.1486,0.4267,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,100.0,100,2.229112148284912,-0.287,31.8025,1.183,0.3918,0.0073,0.1408,0.1177,0.1323,0.1016,0.1894,0.1323,0.4304,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,100.0,20,2.130251407623291,-0.2799,32.3726,1.2444,0.4088,0.0132,0.1626,0.1347,0.1486,0.1173,0.2025,0.1486,0.4267,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,20.0,20,2.217607259750366,-0.2671,33.2365,1.194,0.3841,0.0109,0.1205,0.103,0.1165,0.087,0.1763,0.1165,0.4389,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,inf,100,2.140803337097168,-0.2799,32.3726,1.2444,0.4088,0.0132,0.1626,0.1347,0.1486,0.1173,0.2025,0.1486,0.4267,skl_OPTICS,vehicle_y.zip
10,inf,correlation,auto,4,inf,20,2.143847942352295,-0.2799,32.3726,1.2444,0.4088,0.0132,0.1626,0.1347,0.1486,0.1173,0.2025,0.1486,0.4267,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,1000.0,100,3.9729177951812735,-0.2392,41.1614,1.2688,0.4497,0.0115,0.2157,0.1632,0.1777,0.1556,0.2072,0.1777,0.3992,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,1000.0,20,4.675787687301636,-0.2392,41.1614,1.2688,0.4497,0.0115,0.2157,0.1632,0.1777,0.1556,0.2072,0.1777,0.3992,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,100.0,100,4.938344717025757,-0.233,40.5766,1.2057,0.4478,0.0231,0.23,0.1815,0.1948,0.166,0.2357,0.1948,0.413,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,100.0,20,4.809612512588501,-0.2392,41.1614,1.2688,0.4497,0.0115,0.2157,0.1632,0.1777,0.1556,0.2072,0.1777,0.3992,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,20.0,20,3.886838912963867,-0.2174,44.0661,1.2044,0.4182,0.0182,0.1875,0.1589,0.1706,0.1353,0.2309,0.1706,0.4264,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,inf,100,4.1848084926605225,-0.2392,41.1614,1.2688,0.4497,0.0115,0.2157,0.1632,0.1777,0.1556,0.2072,0.1777,0.3992,skl_OPTICS,vehicle_y.zip
10,inf,cosine,auto,4,inf,20,4.052186489105225,-0.2392,41.1614,1.2688,0.4497,0.0115,0.2157,0.1632,0.1777,0.1556,0.2072,0.1777,0.3992,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,1000.0,100,8.063098907470703,0.0256,44.4567,1.2782,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,1000.0,20,9.233258962631226,0.0256,44.4567,1.2782,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,100.0,100,10.136364221572876,0.0274,45.0393,1.2628,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,100.0,20,8.900977849960327,0.0256,44.4567,1.2782,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,20.0,20,8.877426385879517,-0.1442,28.7675,1.5437,0.2873,0.0029,0.052,0.0618,0.0663,0.0375,0.2851,0.0663,0.4834,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,inf,100,7.277828931808472,0.0256,44.4567,1.2782,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
10,inf,euclidean,auto,4,inf,20,8.043140888214111,0.0256,44.4567,1.2782,0.3166,0.0135,0.0894,0.1086,0.1106,0.0645,0.3871,0.1106,0.4796,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,1000.0,100,2.117757558822632,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,1000.0,20,2.2473716735839844,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,100.0,100,2.099195718765259,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,100.0,20,2.1534390449523926,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,20.0,20,2.223945379257202,-0.0332,67.8296,1.1108,0.3542,0.0251,0.1374,0.1525,0.1559,0.0992,0.3645,0.1559,0.4718,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,inf,100,2.124425411224365,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,correlation,auto,4,inf,20,2.463967084884644,-0.0234,68.7829,1.1201,0.3603,0.0258,0.1222,0.1339,0.1374,0.0882,0.311,0.1374,0.469,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,1000.0,100,4.911859035491943,0.0059,77.7157,1.0516,0.3931,0.0198,0.1295,0.1278,0.1327,0.0934,0.2287,0.1327,0.4433,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,1000.0,20,5.0764336585998535,0.0059,77.7157,1.0516,0.3931,0.0198,0.1295,0.1278,0.1327,0.0934,0.2287,0.1327,0.4433,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,100.0,100,4.500248908996582,-0.1015,58.1675,1.0696,0.3732,0.0185,0.1461,0.1502,0.1552,0.1055,0.2936,0.1552,0.4535,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,100.0,20,4.163329362869263,0.0059,77.7157,1.0516,0.3931,0.0198,0.1295,0.1278,0.1327,0.0934,0.2287,0.1327,0.4433,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,20.0,20,4.591944456100464,-0.0403,59.1305,1.0866,0.3363,0.0166,0.1096,0.1238,0.1276,0.0791,0.329,0.1276,0.4723,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,inf,100,4.393226861953735,0.0059,77.7157,1.0516,0.3931,0.0198,0.1295,0.1278,0.1327,0.0934,0.2287,0.1327,0.4433,skl_OPTICS,vehicle_y.zip
20,inf,cosine,auto,4,inf,20,4.3858482837677,0.0059,77.7157,1.0516,0.3931,0.0198,0.1295,0.1278,0.1327,0.0934,0.2287,0.1327,0.4433,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,1000.0,100,9.25446319580078,-0.1381,6.0723,2.1494,0.2756,0.0042,0.0352,0.0446,0.047,0.0254,0.3143,0.047,0.4909,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,1000.0,20,9.081684112548828,-0.1381,6.0723,2.1494,0.2756,0.0042,0.0352,0.0446,0.047,0.0254,0.3143,0.047,0.4909,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,100.0,100,9.668272256851196,0.0,0.0,0.0,0.2494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4994,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,100.0,20,9.741315126419067,-0.1381,6.0723,2.1494,0.2756,0.0042,0.0352,0.0446,0.047,0.0254,0.3143,0.047,0.4909,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,20.0,20,9.294260740280151,0.0,0.0,0.0,0.2494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4994,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,inf,100,9.340213537216188,-0.1381,6.0723,2.1494,0.2756,0.0042,0.0352,0.0446,0.047,0.0254,0.3143,0.047,0.4909,skl_OPTICS,vehicle_y.zip
20,inf,euclidean,auto,4,inf,20,9.865796327590942,-0.1381,6.0723,2.1494,0.2756,0.0042,0.0352,0.0446,0.047,0.0254,0.3143,0.047,0.4909,skl_OPTICS,vehicle_y.zip
2,inf,correlation,auto,4,1000.0,100,2.18001127243042,-0.1298,6.5489,1.2881,0.674,0.0066,0.6816,0.1278,0.2625,0.4919,0.179,0.2625,0.2034,skl_OPTICS,vehicle_y.zip
2,inf,correlation,auto,4,1000.0,20,2.296898365020752,-0.1298,6.5489,1.2881,0.674,0.0066,0.6816,0.1278,0.2625,0.4919,0.179,0.2625,0.2034,skl_OPTICS,vehicle_y.zip
