n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,0.9079883098602296,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.6919474601745605,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.9228577613830566,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,0.9576430320739746,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,1.008897304534912,0.3899,588.8984,1.031,0.5207,0.0836,0.1266,0.1231,0.1246,0.0913,0.196,0.1246,0.4283,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.8505728244781494,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,1.071941375732422,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,1.1898679733276367,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,0.9627563953399658,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,0.8258457183837891,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,0.7660746574401855,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,0.8675782680511475,0.3899,588.8984,1.031,0.5207,0.0836,0.1266,0.1231,0.1246,0.0913,0.196,0.1246,0.4283,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,1.0330214500427246,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,1.0127203464508057,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,1.049281120300293,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,0.7515790462493896,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,0.8730192184448242,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,1.0155134201049805,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,1.1891798973083496,0.3899,588.8984,1.031,0.5207,0.0836,0.1266,0.1231,0.1246,0.0913,0.196,0.1246,0.4283,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,0.7925119400024414,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,0.7989468574523926,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,1.1623470783233645,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,1.087031602859497,0.3896,588.9425,1.032,0.5208,0.0832,0.1261,0.1225,0.1241,0.091,0.195,0.1241,0.4277,skl_bis_kmeans,vehicle_y.zip-2_k
