n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
6,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.6500658988952637,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.8543622493743896,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,0.8580183982849121,0.2121,352.7206,1.3358,0.6766,0.0721,0.1764,0.1111,0.1165,0.1273,0.1075,0.1165,0.2787,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,0.5759251117706299,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.962791919708252,0.2127,352.5025,1.3144,0.6757,0.0695,0.1645,0.1032,0.1087,0.1187,0.1002,0.1087,0.2767,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.9193453788757324,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.8713183403015137,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.7329204082489014,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.5943055152893066,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,0.769428014755249,0.2121,352.7206,1.3358,0.6766,0.0721,0.1764,0.1111,0.1165,0.1273,0.1075,0.1165,0.2787,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,0.8578689098358154,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,0.6931607723236084,0.2127,352.5025,1.3144,0.6757,0.0695,0.1645,0.1032,0.1087,0.1187,0.1002,0.1087,0.2767,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.7000892162322998,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.8339788913726807,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.8120989799499512,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.7431755065917969,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,0.9167132377624512,0.2121,352.7206,1.3358,0.6766,0.0721,0.1764,0.1111,0.1165,0.1273,0.1075,0.1165,0.2787,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,0.908984899520874,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.8763091564178467,0.2127,352.5025,1.3144,0.6757,0.0695,0.1645,0.1032,0.1087,0.1187,0.1002,0.1087,0.2767,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.9435672760009766,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
6,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.8371634483337402,0.212,352.7096,1.3382,0.6769,0.0731,0.1825,0.1152,0.1206,0.1317,0.1112,0.1206,0.2795,skl_kmeans,vehicle_y.zip-6_k
