n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,1.1134493350982666,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.0635216236114502,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.773186445236206,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.781714916229248,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.8248155117034912,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,1.0006489753723145,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,1.1040172576904297,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.8144795894622803,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.7157230377197266,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.8417303562164307,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.7297189235687256,0.1378,196.5065,1.921,0.7033,0.0748,0.2455,0.1386,0.145,0.1772,0.1227,0.145,0.252,kmeans+dt,vehicle_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.8668210506439209,0.1229,196.3402,1.9431,0.6983,0.079,0.2382,0.138,0.1447,0.1719,0.125,0.1447,0.2628,kmeans+dt,vehicle_y.zip-8_True_k
