max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,20,20,0.0,42,cos,jaccard,1.9428801536560056,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
10,10,30,50,20,20,0.1,42,cos,jaccard,2.9452016353607178,-0.0086,61.1977,5.2068,0.6216,0.2644,0.3362,0.3221,0.3245,0.5091,0.2381,0.3245,0.5591,CenterParTree2,wdbc_y.zip
10,10,30,50,20,20,0.2,42,cos,jaccard,3.958126783370972,-0.0038,41.1809,3.9325,0.5781,0.1871,0.3611,0.284,0.288,0.5469,0.1955,0.288,0.4746,CenterParTree2,wdbc_y.zip
10,10,30,5,20,20,0.0,42,cos,jaccard,1.974571704864502,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
10,10,30,5,20,20,0.1,42,cos,jaccard,3.7246904373168954,-0.0319,49.032,5.0673,0.6209,0.263,0.3362,0.3175,0.3204,0.5091,0.2338,0.3204,0.558,CenterParTree2,wdbc_y.zip
10,10,30,5,20,20,0.2,42,cos,jaccard,4.182408332824707,-0.0147,36.716,4.0673,0.5764,0.1841,0.3611,0.279,0.2836,0.5469,0.1914,0.2836,0.4715,CenterParTree2,wdbc_y.zip
10,10,3,50,20,20,0.0,42,cos,jaccard,1.964587688446045,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
10,10,3,50,20,20,0.1,42,cos,jaccard,3.006091594696045,-0.0086,61.1977,5.2068,0.6216,0.2644,0.3362,0.3221,0.3245,0.5091,0.2381,0.3245,0.5591,CenterParTree2,wdbc_y.zip
10,10,3,50,20,20,0.2,42,cos,jaccard,4.002470254898071,-0.0038,41.1809,3.9325,0.5781,0.1871,0.3611,0.284,0.288,0.5469,0.1955,0.288,0.4746,CenterParTree2,wdbc_y.zip
10,10,3,5,20,20,0.0,42,cos,jaccard,1.8992648124694824,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
10,10,3,5,20,20,0.1,42,cos,jaccard,3.794088363647461,-0.0319,49.032,5.0673,0.6209,0.263,0.3362,0.3175,0.3204,0.5091,0.2338,0.3204,0.558,CenterParTree2,wdbc_y.zip
10,10,3,5,20,20,0.2,42,cos,jaccard,4.233782768249512,-0.0147,36.716,4.0673,0.5764,0.1841,0.3611,0.279,0.2836,0.5469,0.1914,0.2836,0.4715,CenterParTree2,wdbc_y.zip
10,12,30,50,20,20,0.0,42,cos,jaccard,1.9425508975982664,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
10,12,30,50,20,20,0.1,42,cos,jaccard,2.946185111999512,-0.0086,61.1977,5.2068,0.6216,0.2644,0.3362,0.3221,0.3245,0.5091,0.2381,0.3245,0.5591,CenterParTree2,wdbc_y.zip
10,12,30,50,20,20,0.2,42,cos,jaccard,3.908283233642578,-0.0038,41.1809,3.9325,0.5781,0.1871,0.3611,0.284,0.288,0.5469,0.1955,0.288,0.4746,CenterParTree2,wdbc_y.zip
10,12,30,5,20,20,0.0,42,cos,jaccard,1.9585323333740237,0.0421,95.2788,4.4365,0.6588,0.3314,0.3142,0.3573,0.3586,0.4758,0.2878,0.3586,0.623,CenterParTree2,wdbc_y.zip
