n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.6944751739501953,0.1124,84.6143,1.6827,0.5911,0.2152,0.4264,0.3215,0.3259,0.6458,0.2179,0.3259,0.4864,ShallowTree,wdbc_y.zip
10,0.01,1000.0,20,0.6556031703948975,0.1124,84.6143,1.6827,0.5911,0.2152,0.4264,0.3215,0.3259,0.6458,0.2179,0.3259,0.4864,ShallowTree,wdbc_y.zip
10,0.01,100.0,100,0.7198684215545654,0.1005,83.7533,1.7388,0.5987,0.231,0.46,0.3424,0.3465,0.6967,0.2306,0.3465,0.4972,ShallowTree,wdbc_y.zip
10,0.01,100.0,20,0.8583486080169678,0.1124,84.6143,1.6827,0.5911,0.2152,0.4264,0.3215,0.3259,0.6458,0.2179,0.3259,0.4864,ShallowTree,wdbc_y.zip
10,0.01,inf,100,0.723456621170044,0.1124,84.6143,1.6827,0.5911,0.2152,0.4264,0.3215,0.3259,0.6458,0.2179,0.3259,0.4864,ShallowTree,wdbc_y.zip
10,0.01,inf,20,0.7997348308563232,0.1124,84.6143,1.6827,0.5911,0.2152,0.4264,0.3215,0.3259,0.6458,0.2179,0.3259,0.4864,ShallowTree,wdbc_y.zip
10,0.03,1000.0,100,0.548875093460083,0.1063,81.6381,1.7305,0.6017,0.2352,0.4494,0.3411,0.3454,0.6806,0.2314,0.3454,0.5046,ShallowTree,wdbc_y.zip
10,0.03,1000.0,20,0.7677383422851562,0.1063,81.6381,1.7305,0.6017,0.2352,0.4494,0.3411,0.3454,0.6806,0.2314,0.3454,0.5046,ShallowTree,wdbc_y.zip
10,0.03,100.0,100,0.7476463317871094,0.1039,81.527,1.8011,0.5894,0.2123,0.4032,0.3027,0.3071,0.6107,0.2051,0.3071,0.4824,ShallowTree,wdbc_y.zip
10,0.03,100.0,20,0.7040748596191406,0.1063,81.6381,1.7305,0.6017,0.2352,0.4494,0.3411,0.3454,0.6806,0.2314,0.3454,0.5046,ShallowTree,wdbc_y.zip
10,0.03,inf,100,0.7601668834686279,0.1063,81.6381,1.7305,0.6017,0.2352,0.4494,0.3411,0.3454,0.6806,0.2314,0.3454,0.5046,ShallowTree,wdbc_y.zip
10,0.03,inf,20,0.6981899738311768,0.1063,81.6381,1.7305,0.6017,0.2352,0.4494,0.3411,0.3454,0.6806,0.2314,0.3454,0.5046,ShallowTree,wdbc_y.zip
10,0.05,1000.0,100,0.6894245147705078,0.0941,80.2227,1.78,0.599,0.2306,0.4663,0.3502,0.3543,0.7062,0.2364,0.3543,0.4993,ShallowTree,wdbc_y.zip
10,0.05,1000.0,20,0.7250902652740479,0.0941,80.2227,1.78,0.599,0.2306,0.4663,0.3502,0.3543,0.7062,0.2364,0.3543,0.4993,ShallowTree,wdbc_y.zip
