amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,1000.0,100,0.0136239528656005,0.1345,93.2195,1.7554,0.586,0.2075,0.4974,0.3609,0.3647,0.7533,0.2406,0.3647,0.473,pyc_xmeans,wdbc_y.zip
10,10,1000.0,20,0.0122351646423339,0.1537,90.501,1.377,0.6078,0.2457,0.4447,0.3547,0.3593,0.6734,0.245,0.3593,0.5172,pyc_xmeans,wdbc_y.zip
10,10,100.0,100,0.011378526687622,0.1353,86.9672,1.5087,0.5868,0.2076,0.4291,0.3265,0.331,0.6499,0.2221,0.331,0.4773,pyc_xmeans,wdbc_y.zip
10,10,100.0,20,0.0131812095642089,0.1523,90.2983,1.3469,0.6218,0.2711,0.4616,0.3776,0.3821,0.699,0.2629,0.3821,0.5421,pyc_xmeans,wdbc_y.zip
10,10,20.0,20,0.0223100185394287,0.1554,96.2331,1.504,0.6124,0.2554,0.4879,0.3799,0.3841,0.7388,0.2595,0.3841,0.5233,pyc_xmeans,wdbc_y.zip
10,10,inf,100,0.0252342224121093,0.1352,97.3228,1.5781,0.5818,0.1998,0.4777,0.3491,0.3531,0.7235,0.2336,0.3531,0.4651,pyc_xmeans,wdbc_y.zip
10,10,inf,20,0.0274827480316162,0.1588,86.7054,1.5506,0.6519,0.3261,0.4681,0.4005,0.405,0.7089,0.2835,0.405,0.5926,pyc_xmeans,wdbc_y.zip
10,14,1000.0,100,0.0219330787658691,0.1284,77.5186,1.2938,0.5772,0.1915,0.4825,0.3476,0.3533,0.7307,0.233,0.3533,0.4556,pyc_xmeans,wdbc_y.zip
10,14,1000.0,20,0.0176973342895507,0.1205,85.3156,1.4602,0.5646,0.1692,0.4894,0.3388,0.3436,0.7411,0.2237,0.3436,0.4281,pyc_xmeans,wdbc_y.zip
10,14,100.0,100,0.0165901184082031,0.1085,80.919,1.4134,0.5571,0.1551,0.4704,0.3214,0.3268,0.7124,0.212,0.3268,0.4128,pyc_xmeans,wdbc_y.zip
10,14,100.0,20,0.019526720046997,0.1206,80.5895,1.4228,0.5615,0.1633,0.4865,0.3337,0.339,0.7368,0.2201,0.339,0.4219,pyc_xmeans,wdbc_y.zip
10,14,20.0,20,0.0243096351623535,0.1106,78.6722,1.456,0.567,0.1729,0.4911,0.3453,0.3507,0.7438,0.2294,0.3507,0.4345,pyc_xmeans,wdbc_y.zip
10,14,inf,100,0.0191619396209716,0.1134,76.8894,1.3367,0.5673,0.1743,0.4974,0.3415,0.3474,0.7533,0.2257,0.3474,0.4336,pyc_xmeans,wdbc_y.zip
10,14,inf,20,0.0395231246948242,0.1074,84.4519,1.3825,0.5682,0.1757,0.5011,0.3518,0.3567,0.759,0.2331,0.3567,0.436,pyc_xmeans,wdbc_y.zip
10,18,1000.0,100,0.0230050086975097,0.1309,75.4759,1.3962,0.5706,0.1792,0.4661,0.3272,0.3333,0.7059,0.2181,0.3333,0.4427,pyc_xmeans,wdbc_y.zip
