eps,min_samples,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
0.1,10,correlation,auto,4,1000.0,100,0.0093960762023925,0.1524,29.6782,1.3696,0.5592,0.0697,0.047,0.1092,0.1111,0.0711,0.2531,0.1111,0.7203,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,1000.0,20,0.0130083560943603,0.1524,29.6782,1.3696,0.5592,0.0697,0.047,0.1092,0.1111,0.0711,0.2531,0.1111,0.7203,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,100.0,100,0.0073819160461425,0.1813,37.3688,1.3234,0.5629,0.0787,0.0527,0.1204,0.1222,0.0797,0.2615,0.1222,0.7199,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,100.0,20,0.0094373226165771,0.1524,29.6782,1.3696,0.5592,0.0697,0.047,0.1092,0.1111,0.0711,0.2531,0.1111,0.7203,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,20.0,20,0.0193333625793457,0.2128,20.3897,1.1186,0.5433,0.0303,0.0212,0.0533,0.0556,0.0321,0.2074,0.0556,0.7239,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,inf,100,0.0173993110656738,0.1524,29.6782,1.3696,0.5592,0.0697,0.047,0.1092,0.1111,0.0711,0.2531,0.1111,0.7203,skl_DBSCAN,wdbc_y.zip
0.1,10,correlation,auto,4,inf,20,0.0285041332244873,0.1524,29.6782,1.3696,0.5592,0.0697,0.047,0.1092,0.1111,0.0711,0.2531,0.1111,0.7203,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,1000.0,100,0.0146992206573486,0.0052,82.282,1.5754,0.5351,0.0621,0.1667,0.2325,0.2344,0.2524,0.2188,0.2344,0.5775,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,1000.0,20,0.022432804107666,0.0052,82.282,1.5754,0.5351,0.0621,0.1667,0.2325,0.2344,0.2524,0.2188,0.2344,0.5775,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,100.0,100,0.0090501308441162,-0.0042,78.4268,1.5769,0.5332,0.0571,0.1699,0.2394,0.2414,0.2572,0.2273,0.2414,0.5799,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,100.0,20,0.0096435546875,0.0052,82.282,1.5754,0.5351,0.0621,0.1667,0.2325,0.2344,0.2524,0.2188,0.2344,0.5775,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,20.0,20,0.0149478912353515,-0.0398,67.8707,1.4756,0.5245,0.0275,0.1225,0.1908,0.1931,0.1854,0.2014,0.1931,0.6105,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,inf,100,0.0175857543945312,0.0052,82.282,1.5754,0.5351,0.0621,0.1667,0.2325,0.2344,0.2524,0.2188,0.2344,0.5775,skl_DBSCAN,wdbc_y.zip
0.1,10,cosine,auto,4,inf,20,0.0135865211486816,0.0052,82.282,1.5754,0.5351,0.0621,0.1667,0.2325,0.2344,0.2524,0.2188,0.2344,0.5775,skl_DBSCAN,wdbc_y.zip
