min_samples,max_eps,metric,algorithm,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,inf,correlation,auto,4,1000.0,100,1.457573175430298,-0.1954,18.0369,1.8767,0.5589,0.0967,0.1085,0.1507,0.1563,0.1642,0.1492,0.1563,0.6423,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,1000.0,20,1.4267992973327637,-0.1954,18.0369,1.8767,0.5589,0.0967,0.1085,0.1507,0.1563,0.1642,0.1492,0.1563,0.6423,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,100.0,100,1.5083816051483154,-0.1781,10.701,1.7933,0.5131,-0.0164,0.0281,0.0483,0.0533,0.0426,0.0713,0.0533,0.659,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,100.0,20,1.4450185298919678,-0.1954,18.0369,1.8767,0.5589,0.0967,0.1085,0.1507,0.1563,0.1642,0.1492,0.1563,0.6423,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,20.0,20,1.4861693382263184,-0.1782,12.4698,1.5707,0.533,0.0215,0.0334,0.0616,0.0669,0.0507,0.0983,0.0669,0.6836,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,inf,100,1.4301018714904783,-0.1954,18.0369,1.8767,0.5589,0.0967,0.1085,0.1507,0.1563,0.1642,0.1492,0.1563,0.6423,skl_OPTICS,wdbc_y.zip
10,inf,correlation,auto,4,inf,20,1.418546199798584,-0.1954,18.0369,1.8767,0.5589,0.0967,0.1085,0.1507,0.1563,0.1642,0.1492,0.1563,0.6423,skl_OPTICS,wdbc_y.zip
10,inf,cosine,auto,4,1000.0,100,2.891185522079468,0.2689,23.153,0.961,0.5412,0.025,0.0176,0.0447,0.0471,0.0267,0.1992,0.0471,0.7246,skl_OPTICS,wdbc_y.zip
10,inf,cosine,auto,4,1000.0,20,2.9854204654693604,0.2689,23.153,0.961,0.5412,0.025,0.0176,0.0447,0.0471,0.0267,0.1992,0.0471,0.7246,skl_OPTICS,wdbc_y.zip
10,inf,cosine,auto,4,100.0,100,3.029165506362915,0.1564,22.1547,1.1763,0.5536,0.0574,0.0358,0.0789,0.0828,0.0542,0.1758,0.0828,0.7181,skl_OPTICS,wdbc_y.zip
