n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,1.3783228397369385,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,1.3091082572937012,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,1.6500890254974363,0.0771,78.9996,1.9363,0.5435,0.1302,0.4371,0.2905,0.2954,0.662,0.1901,0.2954,0.3825,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,100.0,20,1.6253702640533447,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,1.315464735031128,0.0736,76.3196,2.0348,0.541,0.126,0.4415,0.2875,0.2921,0.6686,0.1869,0.2921,0.3752,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,1.3248229026794434,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,1.455738544464111,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,1.606088161468506,0.0599,73.9703,1.9565,0.5399,0.1248,0.4621,0.297,0.3015,0.6998,0.1922,0.3015,0.3703,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,1.664853811264038,0.0599,73.9703,1.9565,0.5399,0.1248,0.4621,0.297,0.3015,0.6998,0.1922,0.3015,0.3703,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,100,1.5454084873199463,0.0603,74.5108,2.0235,0.5411,0.1273,0.4699,0.3007,0.3051,0.7117,0.1942,0.3051,0.3724,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,100.0,20,1.4237706661224363,0.0599,73.9703,1.9565,0.5399,0.1248,0.4621,0.297,0.3015,0.6998,0.1922,0.3015,0.3703,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,1.7668099403381348,0.0568,74.2238,1.9689,0.5302,0.1064,0.43,0.2755,0.2802,0.6512,0.1785,0.2802,0.3484,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,1.4430341720581057,0.0599,73.9703,1.9565,0.5399,0.1248,0.4621,0.297,0.3015,0.6998,0.1922,0.3015,0.3703,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,1.390263319015503,0.0599,73.9703,1.9565,0.5399,0.1248,0.4621,0.297,0.3015,0.6998,0.1922,0.3015,0.3703,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,1.7534615993499756,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,1.713919162750244,0.0783,75.7199,2.0023,0.5488,0.141,0.4694,0.3061,0.3107,0.7109,0.1988,0.3107,0.3915,skl_bis_kmeans,wdbc_y.zip-12_k
12,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,100.0,100,1.3954076766967771,0.0771,78.9996,1.9363,0.5435,0.1302,0.4371,0.2905,0.2954,0.662,0.1901,0.2954,0.3825,skl_bis_kmeans,wdbc_y.zip-12_k
