n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
2,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,0.8023843765258789,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,0.9939296245574952,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,100,0.8800811767578125,0.3427,267.6793,1.3209,0.8308,0.6594,0.3506,0.5374,0.538,0.5309,0.5454,0.538,0.8435,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,100.0,20,0.7764036655426025,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,0.906285047531128,0.3434,267.6299,1.3207,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,0.852893590927124,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,0.7533907890319824,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,0.9191009998321532,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,0.8693726062774658,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,100,0.7424495220184326,0.3427,267.6793,1.3209,0.8308,0.6594,0.3506,0.5374,0.538,0.5309,0.5454,0.538,0.8435,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,100.0,20,0.6005744934082031,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,1.0479817390441897,0.3434,267.6299,1.3207,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,0.7795445919036865,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.8239901065826416,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,0.8330891132354736,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,0.8093183040618896,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,100,0.9841039180755616,0.3427,267.6793,1.3209,0.8308,0.6594,0.3506,0.5374,0.538,0.5309,0.5454,0.538,0.8435,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,100.0,20,0.9634597301483154,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,0.7696073055267334,0.3434,267.6299,1.3207,0.8279,0.6536,0.3466,0.5318,0.5324,0.5249,0.5401,0.5324,0.841,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,0.9509406089782716,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
2,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,0.8986563682556152,0.345,267.6964,1.3123,0.8365,0.6707,0.3594,0.554,0.5546,0.5443,0.5654,0.5546,0.8498,skl_kmeans,wdbc_y.zip-2_k
