n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.8662204742431641,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.7961053848266602,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.7078142166137695,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.8867566585540771,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.8195288181304932,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.7423105239868164,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.776968240737915,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.5439491271972656,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.6776432991027832,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.816110372543335,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.9154257774353028,0.0812,128.4292,2.2181,0.7511,0.5109,0.4071,0.4402,0.4418,0.6165,0.3443,0.4418,0.7344,kmeans+dt,wdbc_y.zip-4_True_k
4,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.8431696891784668,0.1328,125.4711,1.6613,0.7994,0.6022,0.421,0.5062,0.5078,0.6376,0.4219,0.5078,0.7963,kmeans+dt,wdbc_y.zip-4_True_k
