max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,metric_con,metric_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,1000.0,100.0,0.0,42,cos,jaccard,93.13663363456726,0.0239,117.6909,1.4957,CenterParTree2,wine.zip
10,10,30,50,1000.0,100.0,0.1,42,cos,jaccard,264.79201221466064,-0.0024,358.7687,2.8627,CenterParTree2,wine.zip
10,10,30,50,1000.0,100.0,0.2,42,cos,jaccard,345.5587401390076,0.0101,211.435,3.1249,CenterParTree2,wine.zip
10,10,30,50,1000.0,20.0,0.1,42,cos,jaccard,330.9875009059906,-0.1106,45.6511,1.3607,CenterParTree2,wine.zip
10,10,30,50,1000.0,20.0,0.2,42,cos,jaccard,331.6027750968933,0.1247,16.949,0.4423,CenterParTree2,wine.zip
10,10,30,50,1000.0,inf,0.0,42,cos,jaccard,30.79352188110352,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,50,1000.0,inf,0.1,42,cos,jaccard,30.64224576950073,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,50,1000.0,inf,0.2,42,cos,jaccard,30.88523292541504,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,50,100.0,100.0,0.0,42,cos,jaccard,8.444510698318481,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,100.0,100.0,0.1,42,cos,jaccard,8.188473463058472,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,100.0,100.0,0.2,42,cos,jaccard,8.39922308921814,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,100.0,inf,0.0,42,cos,jaccard,8.418235540390015,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,100.0,inf,0.1,42,cos,jaccard,8.320040941238403,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,100.0,inf,0.2,42,cos,jaccard,8.434797763824463,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,50,inf,100.0,0.0,42,cos,jaccard,117.39024376869202,0.1217,308.5386,1.5471,CenterParTree2,wine.zip
10,10,30,50,inf,100.0,0.1,42,cos,jaccard,279.06087470054626,-0.0381,327.9774,2.639,CenterParTree2,wine.zip
10,10,30,50,inf,100.0,0.2,42,cos,jaccard,281.9068636894226,-0.0381,327.9774,2.639,CenterParTree2,wine.zip
10,10,30,50,inf,20.0,0.0,42,cos,jaccard,79.22698903083801,0.1083,431.0016,1.8313,CenterParTree2,wine.zip
10,10,30,50,inf,20.0,0.1,42,cos,jaccard,329.0207567214966,-0.2358,53.3586,1.0558,CenterParTree2,wine.zip
10,10,30,50,inf,20.0,0.2,42,cos,jaccard,328.3154544830322,-0.2238,95.8441,1.5316,CenterParTree2,wine.zip
10,10,30,50,inf,inf,0.0,42,cos,jaccard,30.592771291732788,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,50,inf,inf,0.1,42,cos,jaccard,30.3893678188324,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,50,inf,inf,0.2,42,cos,jaccard,31.28193473815918,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,1000.0,100.0,0.2,42,cos,jaccard,358.7076804637909,0.0403,267.5322,3.8131,CenterParTree2,wine.zip
10,10,30,5,1000.0,20.0,0.1,42,cos,jaccard,331.23009061813354,-0.1027,8.1957,0.752,CenterParTree2,wine.zip
10,10,30,5,1000.0,inf,0.0,42,cos,jaccard,31.37060046195984,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,1000.0,inf,0.1,42,cos,jaccard,31.33771848678589,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,1000.0,inf,0.2,42,cos,jaccard,31.20929360389709,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,100.0,100.0,0.0,42,cos,jaccard,8.257014513015747,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,100.0,100.0,0.1,42,cos,jaccard,8.48340106010437,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,100.0,100.0,0.2,42,cos,jaccard,8.311327457427979,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,100.0,inf,0.0,42,cos,jaccard,8.210326194763184,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,100.0,inf,0.1,42,cos,jaccard,8.564880132675171,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,100.0,inf,0.2,42,cos,jaccard,8.291865110397339,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,30,5,inf,100.0,0.1,42,cos,jaccard,309.16272926330566,-0.0347,211.5475,3.0823,CenterParTree2,wine.zip
10,10,30,5,inf,100.0,0.2,42,cos,jaccard,354.93330001831055,-0.0527,199.368,4.2822,CenterParTree2,wine.zip
10,10,30,5,inf,20.0,0.1,42,cos,jaccard,343.06069469451904,-0.2567,78.4333,1.9127,CenterParTree2,wine.zip
10,10,30,5,inf,20.0,0.2,42,cos,jaccard,336.1752550601959,0.0984,8.281,0.5836,CenterParTree2,wine.zip
10,10,30,5,inf,inf,0.0,42,cos,jaccard,31.00752091407776,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,inf,inf,0.1,42,cos,jaccard,31.2517831325531,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,30,5,inf,inf,0.2,42,cos,jaccard,30.58594965934753,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,50,1000.0,100.0,0.0,42,cos,jaccard,121.69378876686096,0.03,103.8791,1.2674,CenterParTree2,wine.zip
10,10,3,50,1000.0,100.0,0.1,42,cos,jaccard,260.70703744888306,0.0336,341.8439,2.1074,CenterParTree2,wine.zip
10,10,3,50,1000.0,100.0,0.2,42,cos,jaccard,371.93909740448,-0.1692,66.1409,4.2988,CenterParTree2,wine.zip
10,10,3,50,1000.0,20.0,0.1,42,cos,jaccard,331.9864685535431,-0.1593,7.8427,0.6269,CenterParTree2,wine.zip
10,10,3,50,1000.0,20.0,0.2,42,cos,jaccard,356.49542903900146,-0.0109,74.9134,0.8427,CenterParTree2,wine.zip
10,10,3,50,1000.0,inf,0.0,42,cos,jaccard,30.77358388900757,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,50,1000.0,inf,0.1,42,cos,jaccard,31.61755990982056,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,50,1000.0,inf,0.2,42,cos,jaccard,31.012661457061768,0.0086,315.7919,6.9431,CenterParTree2,wine.zip
10,10,3,50,100.0,100.0,0.0,42,cos,jaccard,8.433961868286133,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,50,100.0,100.0,0.1,42,cos,jaccard,8.26608920097351,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,50,100.0,100.0,0.2,42,cos,jaccard,8.513578176498413,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
10,10,3,50,100.0,inf,0.0,42,cos,jaccard,8.402240753173828,0.0118,315.6102,10.3153,CenterParTree2,wine.zip
