n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,IMM,1000.0,100,0.1267352104187011,0.1018,764.6497,1.964,ExKMC,wine.zip
10,10,IMM,1000.0,20,0.0441193580627441,0.1018,764.6497,1.964,ExKMC,wine.zip
10,10,IMM,100.0,100,0.1296834945678711,0.0963,692.5585,1.9983,ExKMC,wine.zip
10,10,IMM,100.0,20,0.1266846656799316,0.1018,764.6497,1.964,ExKMC,wine.zip
10,10,IMM,inf,100,0.143017292022705,0.1018,764.6497,1.964,ExKMC,wine.zip
10,10,IMM,inf,20,0.1347103118896484,0.1018,764.6497,1.964,ExKMC,wine.zip
10,10,NONE,1000.0,100,0.1020357608795166,0.1207,800.473,1.7769,ExKMC,wine.zip
10,10,NONE,1000.0,20,0.1045196056365966,0.1207,800.473,1.7769,ExKMC,wine.zip
10,10,NONE,100.0,100,0.1686089038848877,0.1492,921.5387,1.7342,ExKMC,wine.zip
10,10,NONE,100.0,20,0.176210880279541,0.1207,800.473,1.7769,ExKMC,wine.zip
10,10,NONE,inf,100,0.1800706386566162,0.1207,800.473,1.7769,ExKMC,wine.zip
10,10,NONE,inf,20,0.1795074939727783,0.1207,800.473,1.7769,ExKMC,wine.zip
10,12,IMM,1000.0,100,0.0636014938354492,0.1197,812.3959,1.8875,ExKMC,wine.zip
10,12,IMM,1000.0,20,0.1504490375518798,0.1197,812.3959,1.8875,ExKMC,wine.zip
10,12,IMM,100.0,100,0.0610654354095459,0.1079,755.508,1.9241,ExKMC,wine.zip
10,12,IMM,100.0,20,0.0634369850158691,0.1197,812.3959,1.8875,ExKMC,wine.zip
10,12,IMM,inf,100,0.15203857421875,0.1197,812.3959,1.8875,ExKMC,wine.zip
10,12,IMM,inf,20,0.1509647369384765,0.1197,812.3959,1.8875,ExKMC,wine.zip
10,12,NONE,1000.0,100,0.1111598014831543,0.1117,765.943,1.9621,ExKMC,wine.zip
10,12,NONE,1000.0,20,0.1067066192626953,0.1117,765.943,1.9621,ExKMC,wine.zip
10,12,NONE,100.0,100,0.0945122241973877,0.1308,865.6696,1.9017,ExKMC,wine.zip
10,12,NONE,100.0,20,0.1805837154388427,0.1117,765.943,1.9621,ExKMC,wine.zip
10,12,NONE,inf,100,0.1097378730773925,0.1117,765.943,1.9621,ExKMC,wine.zip
10,12,NONE,inf,20,0.1082501411437988,0.1117,765.943,1.9621,ExKMC,wine.zip
12,12,IMM,1000.0,100,0.0479686260223388,0.1115,693.9628,1.9126,ExKMC,wine.zip
12,12,IMM,1000.0,20,0.1350703239440918,0.1115,693.9628,1.9126,ExKMC,wine.zip
12,12,IMM,100.0,100,0.0433447360992431,0.1075,675.2049,1.9833,ExKMC,wine.zip
12,12,IMM,100.0,20,0.1359796524047851,0.1115,693.9628,1.9126,ExKMC,wine.zip
12,12,IMM,inf,100,0.0476181507110595,0.1115,693.9628,1.9126,ExKMC,wine.zip
12,12,IMM,inf,20,0.0475437641143798,0.1115,693.9628,1.9126,ExKMC,wine.zip
12,12,NONE,1000.0,100,0.1765317916870117,0.1433,885.7172,1.7336,ExKMC,wine.zip
12,12,NONE,1000.0,20,0.1885457038879394,0.1433,885.7172,1.7336,ExKMC,wine.zip
12,12,NONE,100.0,100,0.1955053806304931,0.111,714.0235,1.9288,ExKMC,wine.zip
12,12,NONE,100.0,20,0.0964605808258056,0.1433,885.7172,1.7336,ExKMC,wine.zip
12,12,NONE,inf,100,0.2003519535064697,0.1433,885.7172,1.7336,ExKMC,wine.zip
12,12,NONE,inf,20,0.1266064643859863,0.1433,885.7172,1.7336,ExKMC,wine.zip
2,10,IMM,1000.0,100,0.159043550491333,0.235,1581.98,1.7593,ExKMC,wine.zip
2,10,IMM,1000.0,20,0.070310354232788,0.235,1581.98,1.7593,ExKMC,wine.zip
2,10,IMM,100.0,100,0.1604607105255127,0.2354,1583.2294,1.7576,ExKMC,wine.zip
2,10,IMM,100.0,20,0.157306432723999,0.235,1581.98,1.7593,ExKMC,wine.zip
2,10,IMM,inf,100,0.0703625679016113,0.235,1581.98,1.7593,ExKMC,wine.zip
2,10,IMM,inf,20,0.0705530643463134,0.235,1581.98,1.7593,ExKMC,wine.zip
2,10,NONE,1000.0,100,0.1638195514678955,0.2361,1582.7781,1.7666,ExKMC,wine.zip
2,10,NONE,1000.0,20,0.0782420635223388,0.2361,1582.7781,1.7666,ExKMC,wine.zip
2,10,NONE,100.0,100,0.1600565910339355,0.2354,1583.2294,1.7576,ExKMC,wine.zip
2,10,NONE,100.0,20,0.1650581359863281,0.2361,1582.7781,1.7666,ExKMC,wine.zip
2,10,NONE,inf,100,0.077857494354248,0.2361,1582.7781,1.7666,ExKMC,wine.zip
2,10,NONE,inf,20,0.1634402275085449,0.2361,1582.7781,1.7666,ExKMC,wine.zip
2,12,IMM,1000.0,100,0.0716357231140136,0.2368,1594.3343,1.7401,ExKMC,wine.zip
2,12,IMM,1000.0,20,0.1573007106781005,0.2368,1594.3343,1.7401,ExKMC,wine.zip
2,12,IMM,100.0,100,0.1567990779876709,0.2367,1595.3129,1.74,ExKMC,wine.zip
2,12,IMM,100.0,20,0.0818119049072265,0.2368,1594.3343,1.7401,ExKMC,wine.zip
2,12,IMM,inf,100,0.1574351787567138,0.2368,1594.3343,1.7401,ExKMC,wine.zip
2,12,IMM,inf,20,0.1579935550689697,0.2368,1594.3343,1.7401,ExKMC,wine.zip
2,12,NONE,1000.0,100,0.1643612384796142,0.2367,1598.6687,1.7387,ExKMC,wine.zip
2,12,NONE,1000.0,20,0.0793437957763671,0.2367,1598.6687,1.7387,ExKMC,wine.zip
2,12,NONE,100.0,100,0.1640236377716064,0.2367,1595.3129,1.74,ExKMC,wine.zip
2,12,NONE,100.0,20,0.0789144039154052,0.2367,1598.6687,1.7387,ExKMC,wine.zip
2,12,NONE,inf,100,0.1646182537078857,0.2367,1598.6687,1.7387,ExKMC,wine.zip
2,12,NONE,inf,20,0.0790770053863525,0.2367,1598.6687,1.7387,ExKMC,wine.zip
2,2,IMM,1000.0,100,0.3124480247497558,0.2027,1181.0566,1.9723,ExKMC,wine.zip
2,2,IMM,1000.0,20,0.0192101001739501,0.2027,1181.0566,1.9723,ExKMC,wine.zip
2,2,IMM,100.0,100,0.1084241867065429,0.2027,1182.2131,1.9714,ExKMC,wine.zip
2,2,IMM,100.0,20,0.4477760791778564,0.2027,1181.0566,1.9723,ExKMC,wine.zip
2,2,IMM,inf,100,0.0188572406768798,0.2027,1181.0566,1.9723,ExKMC,wine.zip
2,2,IMM,inf,20,0.0189082622528076,0.2027,1181.0566,1.9723,ExKMC,wine.zip
2,2,NONE,1000.0,100,0.1152262687683105,0.2005,1180.1769,1.9908,ExKMC,wine.zip
2,2,NONE,1000.0,20,0.026728868484497,0.2005,1180.1769,1.9908,ExKMC,wine.zip
2,2,NONE,100.0,100,0.1163506507873535,0.2027,1182.2131,1.9714,ExKMC,wine.zip
2,2,NONE,100.0,20,0.1151802539825439,0.2005,1180.1769,1.9908,ExKMC,wine.zip
2,2,NONE,inf,100,0.0264372825622558,0.2005,1180.1769,1.9908,ExKMC,wine.zip
2,2,NONE,inf,20,0.0267062187194824,0.2005,1180.1769,1.9908,ExKMC,wine.zip
2,3,IMM,1000.0,100,0.0334274768829345,0.2173,1379.0342,1.9197,ExKMC,wine.zip
2,3,IMM,1000.0,20,0.1219472885131836,0.2173,1379.0342,1.9197,ExKMC,wine.zip
2,3,IMM,100.0,100,0.1212782859802246,0.2172,1379.7926,1.9192,ExKMC,wine.zip
2,3,IMM,100.0,20,0.1213259696960449,0.2173,1379.0342,1.9197,ExKMC,wine.zip
2,3,IMM,inf,100,0.0968797206878662,0.2173,1379.0342,1.9197,ExKMC,wine.zip
2,3,IMM,inf,20,0.1214878559112548,0.2173,1379.0342,1.9197,ExKMC,wine.zip
2,3,NONE,1000.0,100,0.040633201599121,0.2147,1371.9329,1.9356,ExKMC,wine.zip
