max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,random_state,n_components,oblique_splits,max_oblique_features,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,30,50,1000.0,inf,0.0,42,1,False,0,3.751477718353272,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,1,False,1,3.814822673797608,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,1,False,2,3.7782256603240967,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,1,False,5,3.9795618057250977,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,2,False,0,4.072834491729736,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,2,False,1,4.233317613601685,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,2,False,2,4.19130802154541,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,2,False,5,4.054279565811157,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,3,False,0,4.02726411819458,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,3,False,1,3.997504949569702,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,3,False,2,4.021405458450317,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.0,42,3,False,5,4.219090700149536,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,1,False,0,3.917961597442627,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,1,False,1,3.818987846374512,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,1,False,2,3.7682645320892334,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,1,False,5,3.8266212940216064,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,2,False,0,4.057857513427734,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,2,False,1,4.049296855926514,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,2,False,2,4.025658369064331,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,2,False,5,4.000243663787842,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,3,False,0,4.249387741088867,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,3,False,1,4.055393218994141,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,3,False,2,4.046767711639404,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.1,42,3,False,5,4.1957621574401855,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,1,False,0,3.8276445865631104,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,1,False,1,3.962351322174072,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,1,False,2,3.995558977127075,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,1,False,5,3.903530359268189,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,2,False,0,4.026312112808228,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,2,False,1,4.157605409622192,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,2,False,2,3.988487243652344,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,2,False,5,4.263678312301636,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,3,False,0,3.9670608043670654,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,3,False,1,4.286531448364258,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,3,False,2,4.121112108230591,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,1000.0,inf,0.2,42,3,False,5,4.321159601211548,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,1,False,0,3.974493741989136,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,1,False,1,3.818413496017456,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,1,False,2,3.9141457080841056,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,1,False,5,3.856597661972046,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,2,False,0,4.079843282699585,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,2,False,1,4.099866628646851,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,2,False,2,4.191921234130859,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,2,False,5,4.091010332107544,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,3,False,0,4.048316955566406,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,3,False,1,4.23902702331543,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,3,False,2,4.257127285003662,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.0,42,3,False,5,4.2978515625,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,1,False,0,3.731936454772949,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,1,False,1,4.000135898590088,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,1,False,2,3.787061929702759,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,1,False,5,3.823232412338257,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,2,False,0,4.118657827377319,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,2,False,1,4.214749574661255,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,2,False,2,4.090409994125366,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,2,False,5,4.146856307983398,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,3,False,0,4.327251672744751,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,3,False,1,4.279799461364746,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,3,False,2,4.105015993118286,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.1,42,3,False,5,4.138288974761963,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,1,False,0,3.900115728378296,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,1,False,1,3.8331716060638423,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,1,False,2,3.721822500228882,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,1,False,5,3.990132808685303,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,2,False,0,4.108741044998169,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,2,False,1,4.1500325202941895,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,2,False,2,4.043329477310181,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,2,False,5,4.098168134689331,0.0569,501.8647,3.0342,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,3,False,0,3.970646381378174,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,3,False,1,4.057425737380981,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,3,False,2,4.151394367218018,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,100.0,0.2,42,3,False,5,4.119456052780151,0.0322,439.6933,3.0132,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,1,False,0,3.853330135345459,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,1,False,1,3.902510643005371,0.058,595.821,2.959,PrincipalParTree,wine.zip
10,10,30,50,100.0,inf,0.0,42,1,False,2,3.736966609954834,0.058,595.821,2.959,PrincipalParTree,wine.zip
