n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,0.01,1000.0,100,1.1404085159301758,0.1252,797.9598,1.8879,ShallowTree,wine.zip
10,0.01,1000.0,20,0.8999931812286377,0.1252,797.9598,1.8879,ShallowTree,wine.zip
10,0.01,100.0,100,1.1167354583740234,0.1246,796.8686,1.9001,ShallowTree,wine.zip
10,0.01,100.0,20,0.9560284614562988,0.1252,797.9598,1.8879,ShallowTree,wine.zip
10,0.01,inf,100,1.033247947692871,0.1252,797.9598,1.8879,ShallowTree,wine.zip
10,0.01,inf,20,1.0505414009094238,0.1252,797.9598,1.8879,ShallowTree,wine.zip
10,0.03,1000.0,100,1.0605814456939695,0.1265,804.7838,1.845,ShallowTree,wine.zip
10,0.03,1000.0,20,1.1614151000976562,0.1265,804.7838,1.845,ShallowTree,wine.zip
10,0.03,100.0,100,1.0773768424987793,0.1276,806.9004,1.835,ShallowTree,wine.zip
10,0.03,100.0,20,1.1406056880950928,0.1265,804.7838,1.845,ShallowTree,wine.zip
10,0.03,inf,100,1.015388011932373,0.1265,804.7838,1.845,ShallowTree,wine.zip
10,0.03,inf,20,1.1468214988708496,0.1265,804.7838,1.845,ShallowTree,wine.zip
10,0.05,1000.0,100,1.0003955364227295,0.1267,804.7573,1.8452,ShallowTree,wine.zip
10,0.05,1000.0,20,0.7864949703216553,0.1267,804.7573,1.8452,ShallowTree,wine.zip
10,0.05,100.0,100,1.006554365158081,0.1261,803.4877,1.849,ShallowTree,wine.zip
10,0.05,100.0,20,0.8285956382751465,0.1267,804.7573,1.8452,ShallowTree,wine.zip
10,0.05,inf,100,0.9179730415344238,0.1267,804.7573,1.8452,ShallowTree,wine.zip
10,0.05,inf,20,0.983417510986328,0.1267,804.7573,1.8452,ShallowTree,wine.zip
10,0.0,1000.0,100,0.9516289234161376,0.1254,819.0414,1.8755,ShallowTree,wine.zip
10,0.0,1000.0,20,1.0064103603363037,0.1254,819.0414,1.8755,ShallowTree,wine.zip
10,0.0,100.0,100,1.0122056007385254,0.1244,818.2318,1.8905,ShallowTree,wine.zip
10,0.0,100.0,20,1.0854029655456543,0.1254,819.0414,1.8755,ShallowTree,wine.zip
10,0.0,inf,100,0.9703128337860109,0.1254,819.0414,1.8755,ShallowTree,wine.zip
10,0.0,inf,20,0.9859416484832764,0.1254,819.0414,1.8755,ShallowTree,wine.zip
10,1.0,1000.0,100,1.0571177005767822,0.1146,587.5614,2.2601,ShallowTree,wine.zip
10,1.0,1000.0,20,0.8159444332122803,0.1146,587.5614,2.2601,ShallowTree,wine.zip
10,1.0,100.0,100,1.064706563949585,-0.1081,117.0655,7.3125,ShallowTree,wine.zip
10,1.0,100.0,20,0.985255002975464,0.1146,587.5614,2.2601,ShallowTree,wine.zip
10,1.0,inf,100,0.764244556427002,0.1146,587.5614,2.2601,ShallowTree,wine.zip
10,1.0,inf,20,0.9727792739868164,0.1146,587.5614,2.2601,ShallowTree,wine.zip
12,0.01,1000.0,100,0.8487355709075928,0.1186,746.9214,1.9258,ShallowTree,wine.zip
12,0.01,1000.0,20,1.059718132019043,0.1186,746.9214,1.9258,ShallowTree,wine.zip
12,0.01,100.0,100,0.9601128101348876,0.1192,696.8576,1.7695,ShallowTree,wine.zip
12,0.01,100.0,20,1.0695533752441406,0.1186,746.9214,1.9258,ShallowTree,wine.zip
12,0.01,inf,100,1.0955684185028076,0.1186,746.9214,1.9258,ShallowTree,wine.zip
12,0.01,inf,20,1.0991077423095703,0.1186,746.9214,1.9258,ShallowTree,wine.zip
12,0.03,1000.0,100,1.121396780014038,0.1206,745.8376,1.9362,ShallowTree,wine.zip
12,0.03,1000.0,20,1.0603082180023191,0.1206,745.8376,1.9362,ShallowTree,wine.zip
12,0.03,100.0,100,1.1772468090057373,0.1228,718.8324,1.9031,ShallowTree,wine.zip
12,0.03,100.0,20,1.2228999137878418,0.1206,745.8376,1.9362,ShallowTree,wine.zip
12,0.03,inf,100,0.8780813217163086,0.1206,745.8376,1.9362,ShallowTree,wine.zip
12,0.03,inf,20,1.1962342262268066,0.1206,745.8376,1.9362,ShallowTree,wine.zip
12,0.05,1000.0,100,0.8110787868499756,0.1206,743.6098,1.942,ShallowTree,wine.zip
12,0.05,1000.0,20,0.9172265529632568,0.1206,743.6098,1.942,ShallowTree,wine.zip
12,0.05,100.0,100,1.1250176429748535,0.1236,705.9718,1.8998,ShallowTree,wine.zip
12,0.05,100.0,20,0.9551284313201904,0.1206,743.6098,1.942,ShallowTree,wine.zip
12,0.05,inf,100,1.1236088275909424,0.1206,743.6098,1.942,ShallowTree,wine.zip
12,0.05,inf,20,0.9442257881164552,0.1206,743.6098,1.942,ShallowTree,wine.zip
12,0.0,1000.0,100,1.1702263355255127,0.1195,748.4135,1.8167,ShallowTree,wine.zip
12,0.0,1000.0,20,0.9152629375457764,0.1195,748.4135,1.8167,ShallowTree,wine.zip
12,0.0,100.0,100,1.1308817863464355,0.1226,708.5058,1.8447,ShallowTree,wine.zip
12,0.0,100.0,20,1.075159788131714,0.1195,748.4135,1.8167,ShallowTree,wine.zip
12,0.0,inf,100,1.058546781539917,0.1195,748.4135,1.8167,ShallowTree,wine.zip
12,0.0,inf,20,1.2371976375579834,0.1195,748.4135,1.8167,ShallowTree,wine.zip
12,1.0,1000.0,100,1.110609531402588,0.0743,534.5287,2.369,ShallowTree,wine.zip
12,1.0,1000.0,20,1.0202012062072754,0.0743,534.5287,2.369,ShallowTree,wine.zip
12,1.0,100.0,100,1.1956403255462646,-0.1398,109.9401,7.0733,ShallowTree,wine.zip
12,1.0,100.0,20,1.108895778656006,0.0743,534.5287,2.369,ShallowTree,wine.zip
12,1.0,inf,100,0.93184494972229,0.0743,534.5287,2.369,ShallowTree,wine.zip
