n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,100,Cao,11,False,42,4,1000.0,100,2.8020148277282715,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,100,Cao,11,False,42,4,1000.0,20,2.764284133911133,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,100,Cao,11,False,42,4,20.0,20,4.807637691497803,-0.033,198.0265,6.731,kmodes,wine.zip
10,100,Cao,11,False,42,4,inf,100,2.772542953491211,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,100,Cao,11,False,42,4,inf,20,2.790235757827759,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,300,Cao,11,False,42,4,1000.0,100,2.772674322128296,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,300,Cao,11,False,42,4,1000.0,20,2.791788339614868,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,300,Cao,11,False,42,4,20.0,20,4.80147385597229,-0.033,198.0265,6.731,kmodes,wine.zip
10,300,Cao,11,False,42,4,inf,100,2.7694220542907715,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,300,Cao,11,False,42,4,inf,20,2.7858755588531494,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,500,Cao,11,False,42,4,1000.0,100,2.7735378742218018,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,500,Cao,11,False,42,4,1000.0,20,2.8128771781921387,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,500,Cao,11,False,42,4,20.0,20,4.788088798522949,-0.033,198.0265,6.731,kmodes,wine.zip
10,500,Cao,11,False,42,4,inf,100,2.777218580245972,-0.0406,6.7281,28.1317,kmodes,wine.zip
10,500,Cao,11,False,42,4,inf,20,2.8094637393951416,-0.0406,6.7281,28.1317,kmodes,wine.zip
12,100,Cao,11,False,42,4,1000.0,100,3.4679341316223145,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,100,Cao,11,False,42,4,1000.0,20,3.329124927520752,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,100,Cao,11,False,42,4,20.0,20,6.062159538269043,-0.0477,181.5148,6.2584,kmodes,wine.zip
12,100,Cao,11,False,42,4,inf,100,3.457127332687378,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,100,Cao,11,False,42,4,inf,20,3.3433287143707275,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,300,Cao,11,False,42,4,1000.0,100,3.445888996124268,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,300,Cao,11,False,42,4,1000.0,20,3.3282296657562256,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,300,Cao,11,False,42,4,20.0,20,5.671782970428467,-0.0477,181.5148,6.2584,kmodes,wine.zip
12,300,Cao,11,False,42,4,inf,100,3.423696517944336,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,300,Cao,11,False,42,4,inf,20,3.2845466136932373,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,500,Cao,11,False,42,4,1000.0,100,3.450697422027588,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,500,Cao,11,False,42,4,1000.0,20,3.2724623680114746,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,500,Cao,11,False,42,4,20.0,20,5.637346982955933,-0.0477,181.5148,6.2584,kmodes,wine.zip
12,500,Cao,11,False,42,4,inf,100,3.4504611492156982,-0.0664,10.7098,21.1986,kmodes,wine.zip
12,500,Cao,11,False,42,4,inf,20,3.3382444381713867,-0.0664,10.7098,21.1986,kmodes,wine.zip
2,100,Cao,11,False,42,4,1000.0,100,0.8989136219024658,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,100,Cao,11,False,42,4,1000.0,20,0.873544454574585,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,100,Cao,11,False,42,4,20.0,20,1.388413429260254,0.0096,16.7568,17.812,kmodes,wine.zip
2,100,Cao,11,False,42,4,inf,100,0.9017043113708496,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,100,Cao,11,False,42,4,inf,20,0.8689448833465576,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,300,Cao,11,False,42,4,1000.0,100,0.8643038272857666,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,300,Cao,11,False,42,4,1000.0,20,0.8744003772735596,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,300,Cao,11,False,42,4,20.0,20,1.3735806941986084,0.0096,16.7568,17.812,kmodes,wine.zip
2,300,Cao,11,False,42,4,inf,100,0.8986334800720215,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,300,Cao,11,False,42,4,inf,20,0.8797550201416016,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,500,Cao,11,False,42,4,1000.0,100,0.8644943237304688,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,500,Cao,11,False,42,4,1000.0,20,0.8713974952697754,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,500,Cao,11,False,42,4,20.0,20,1.3656837940216064,0.0096,16.7568,17.812,kmodes,wine.zip
2,500,Cao,11,False,42,4,inf,100,0.8951423168182373,-0.0114,18.7509,13.8982,kmodes,wine.zip
2,500,Cao,11,False,42,4,inf,20,0.8760268688201904,-0.0114,18.7509,13.8982,kmodes,wine.zip
4,100,Cao,11,False,42,4,1000.0,100,2.101803064346313,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,100,Cao,11,False,42,4,1000.0,20,2.088229894638061,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,100,Cao,11,False,42,4,20.0,20,2.3812179565429688,-0.0124,177.3973,5.9578,kmodes,wine.zip
4,100,Cao,11,False,42,4,inf,100,2.0842297077178955,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,100,Cao,11,False,42,4,inf,20,2.095556259155273,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,300,Cao,11,False,42,4,1000.0,100,2.077536106109619,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,300,Cao,11,False,42,4,1000.0,20,2.071634292602539,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,300,Cao,11,False,42,4,20.0,20,2.270915985107422,-0.0124,177.3973,5.9578,kmodes,wine.zip
4,300,Cao,11,False,42,4,inf,100,2.082545757293701,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,300,Cao,11,False,42,4,inf,20,2.090623617172241,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,500,Cao,11,False,42,4,1000.0,100,2.050497531890869,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,500,Cao,11,False,42,4,1000.0,20,2.082098484039306,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,500,Cao,11,False,42,4,20.0,20,2.299155235290528,-0.0124,177.3973,5.9578,kmodes,wine.zip
4,500,Cao,11,False,42,4,inf,100,2.0692737102508545,-0.0252,7.0969,41.7724,kmodes,wine.zip
4,500,Cao,11,False,42,4,inf,20,2.088078022003174,-0.0252,7.0969,41.7724,kmodes,wine.zip
6,100,Cao,11,False,42,4,1000.0,100,1.7913274765014648,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,100,Cao,11,False,42,4,1000.0,20,1.8846511840820312,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,100,Cao,11,False,42,4,20.0,20,4.238764524459839,-0.0015,310.2405,6.0187,kmodes,wine.zip
6,100,Cao,11,False,42,4,inf,100,1.7936084270477295,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,100,Cao,11,False,42,4,inf,20,1.8859200477600095,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,300,Cao,11,False,42,4,1000.0,100,1.7944731712341309,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,300,Cao,11,False,42,4,1000.0,20,1.8748784065246584,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,300,Cao,11,False,42,4,20.0,20,4.253015518188477,-0.0015,310.2405,6.0187,kmodes,wine.zip
6,300,Cao,11,False,42,4,inf,100,1.7822363376617432,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,300,Cao,11,False,42,4,inf,20,1.889708995819092,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,500,Cao,11,False,42,4,1000.0,100,1.7931382656097412,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,500,Cao,11,False,42,4,1000.0,20,1.8854124546051023,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,500,Cao,11,False,42,4,20.0,20,4.21859073638916,-0.0015,310.2405,6.0187,kmodes,wine.zip
6,500,Cao,11,False,42,4,inf,100,1.8082332611083984,-0.0257,6.7762,35.5471,kmodes,wine.zip
6,500,Cao,11,False,42,4,inf,20,1.8666741847991943,-0.0257,6.7762,35.5471,kmodes,wine.zip
8,100,Cao,11,False,42,4,1000.0,100,2.280663251876831,-0.0355,6.907,31.6419,kmodes,wine.zip
8,100,Cao,11,False,42,4,1000.0,20,2.3026885986328125,-0.0355,6.907,31.6419,kmodes,wine.zip
8,100,Cao,11,False,42,4,20.0,20,3.9810049533844,-0.012,234.6963,7.0416,kmodes,wine.zip
8,100,Cao,11,False,42,4,inf,100,2.295426845550537,-0.0355,6.907,31.6419,kmodes,wine.zip
8,100,Cao,11,False,42,4,inf,20,2.293877124786377,-0.0355,6.907,31.6419,kmodes,wine.zip
8,300,Cao,11,False,42,4,1000.0,100,2.282133102416992,-0.0355,6.907,31.6419,kmodes,wine.zip
8,300,Cao,11,False,42,4,1000.0,20,2.2777578830718994,-0.0355,6.907,31.6419,kmodes,wine.zip
8,300,Cao,11,False,42,4,20.0,20,3.952749252319336,-0.012,234.6963,7.0416,kmodes,wine.zip
8,300,Cao,11,False,42,4,inf,100,2.294323444366455,-0.0355,6.907,31.6419,kmodes,wine.zip
8,300,Cao,11,False,42,4,inf,20,2.313660860061645,-0.0355,6.907,31.6419,kmodes,wine.zip
8,500,Cao,11,False,42,4,1000.0,100,2.2742316722869877,-0.0355,6.907,31.6419,kmodes,wine.zip
8,500,Cao,11,False,42,4,1000.0,20,2.3092665672302246,-0.0355,6.907,31.6419,kmodes,wine.zip
8,500,Cao,11,False,42,4,20.0,20,4.176604509353638,-0.012,234.6963,7.0416,kmodes,wine.zip
8,500,Cao,11,False,42,4,inf,100,2.296290159225464,-0.0355,6.907,31.6419,kmodes,wine.zip
8,500,Cao,11,False,42,4,inf,20,2.301016092300415,-0.0355,6.907,31.6419,kmodes,wine.zip
