amount_initial_centers,kmax,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,10,1000.0,100,0.0937130451202392,0.1755,875.7777,1.4959,pyc_xmeans,wine.zip
10,10,1000.0,20,0.1299576759338379,0.1552,926.1354,1.6466,pyc_xmeans,wine.zip
10,10,20.0,20,0.1495530605316162,0.1637,870.8215,1.5594,pyc_xmeans,wine.zip
10,10,inf,100,0.0851576328277587,0.1704,957.2297,1.6866,pyc_xmeans,wine.zip
10,10,inf,20,0.0849897861480712,0.1759,960.813,1.5786,pyc_xmeans,wine.zip
10,14,1000.0,100,0.1729662418365478,0.1627,756.9863,1.4375,pyc_xmeans,wine.zip
10,14,1000.0,20,0.1039981842041015,0.1439,789.6661,1.7827,pyc_xmeans,wine.zip
10,14,20.0,20,0.1073176860809326,0.1437,764.0542,1.7757,pyc_xmeans,wine.zip
10,14,inf,100,0.0963315963745117,0.1436,748.3384,1.6398,pyc_xmeans,wine.zip
10,14,inf,20,0.162909984588623,0.1482,778.8844,1.7577,pyc_xmeans,wine.zip
10,18,1000.0,100,0.1381592750549316,0.1425,664.4801,1.7675,pyc_xmeans,wine.zip
10,18,1000.0,20,0.1722149848937988,0.1389,656.5914,1.7876,pyc_xmeans,wine.zip
10,18,20.0,20,0.1435792446136474,0.144,668.458,1.7588,pyc_xmeans,wine.zip
10,18,inf,100,0.1410138607025146,0.141,676.229,1.8306,pyc_xmeans,wine.zip
10,18,inf,20,0.1420915126800537,0.144,649.7861,1.5876,pyc_xmeans,wine.zip
10,22,1000.0,100,0.125673770904541,0.1359,585.131,1.6784,pyc_xmeans,wine.zip
10,22,1000.0,20,0.1671686172485351,0.1386,587.748,1.7233,pyc_xmeans,wine.zip
10,22,20.0,20,0.2606935501098633,0.1274,596.7245,1.7232,pyc_xmeans,wine.zip
10,22,inf,100,0.2248849868774414,0.135,592.7636,1.6788,pyc_xmeans,wine.zip
10,22,inf,20,0.1763014793395996,0.1427,605.0048,1.6551,pyc_xmeans,wine.zip
