n_clusters,metric,linkage,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
10,correlation,average,1.1108448505401611,0.1719,49.2561,1.1147,skl_agglomerativeClust,wine.zip
10,correlation,complete,1.0702157020568848,0.0656,339.7952,1.8914,skl_agglomerativeClust,wine.zip
10,correlation,single,0.3784377574920654,0.1816,6.1941,0.4954,skl_agglomerativeClust,wine.zip
10,cosine,average,1.0280029773712158,0.182,61.0673,1.2077,skl_agglomerativeClust,wine.zip
10,cosine,complete,1.0144429206848145,0.1003,372.7199,1.5896,skl_agglomerativeClust,wine.zip
10,cosine,single,0.3775663375854492,0.1682,3.0296,0.5559,skl_agglomerativeClust,wine.zip
10,euclidean,average,1.0134172439575195,0.2836,50.9065,0.7016,skl_agglomerativeClust,wine.zip
10,euclidean,complete,0.9967775344848632,0.0719,267.7289,1.2157,skl_agglomerativeClust,wine.zip
10,euclidean,single,0.4280135631561279,0.3284,13.8201,0.3316,skl_agglomerativeClust,wine.zip
10,euclidean,ward,1.1060895919799805,0.149,853.5566,1.7205,skl_agglomerativeClust,wine.zip
12,correlation,average,1.109550714492798,0.1464,40.5794,1.0712,skl_agglomerativeClust,wine.zip
12,correlation,complete,1.0718843936920166,0.0929,368.4221,1.8133,skl_agglomerativeClust,wine.zip
12,correlation,single,0.3897831439971924,0.1733,5.8989,0.4941,skl_agglomerativeClust,wine.zip
12,cosine,average,1.0255098342895508,0.1348,50.5942,1.1811,skl_agglomerativeClust,wine.zip
12,cosine,complete,1.0118634700775146,0.0867,328.9066,1.6125,skl_agglomerativeClust,wine.zip
12,cosine,single,0.3776981830596924,0.1661,3.2481,0.5426,skl_agglomerativeClust,wine.zip
12,euclidean,average,1.0345146656036377,0.2569,44.5411,0.7206,skl_agglomerativeClust,wine.zip
12,euclidean,complete,0.9978632926940918,0.0781,271.4124,1.2827,skl_agglomerativeClust,wine.zip
12,euclidean,single,0.4280662536621094,0.2068,11.8736,0.3809,skl_agglomerativeClust,wine.zip
12,euclidean,ward,1.1061606407165527,0.1401,768.2052,1.7194,skl_agglomerativeClust,wine.zip
2,correlation,average,1.107307195663452,0.4998,32.4145,0.8899,skl_agglomerativeClust,wine.zip
2,correlation,complete,1.0854573249816897,0.117,100.4337,2.5705,skl_agglomerativeClust,wine.zip
2,correlation,single,0.3785700798034668,0.3957,4.254,0.4572,skl_agglomerativeClust,wine.zip
2,cosine,average,1.0222609043121338,0.5266,17.9859,1.3726,skl_agglomerativeClust,wine.zip
2,cosine,complete,1.009514570236206,0.2333,1526.7249,1.7987,skl_agglomerativeClust,wine.zip
2,cosine,single,0.3774986267089844,0.3957,4.254,0.4572,skl_agglomerativeClust,wine.zip
2,euclidean,average,1.028944969177246,0.7511,28.1353,0.178,skl_agglomerativeClust,wine.zip
2,euclidean,complete,0.98793625831604,0.7511,28.1353,0.178,skl_agglomerativeClust,wine.zip
2,euclidean,single,0.4280815124511719,0.7511,28.1353,0.178,skl_agglomerativeClust,wine.zip
2,euclidean,ward,1.0956134796142578,0.2418,1509.6164,1.7508,skl_agglomerativeClust,wine.zip
4,correlation,average,1.109877109527588,0.3749,31.4564,1.3174,skl_agglomerativeClust,wine.zip
4,correlation,complete,1.0690436363220217,0.1346,361.859,1.8449,skl_agglomerativeClust,wine.zip
4,correlation,single,0.3790347576141357,0.239,3.3806,0.5349,skl_agglomerativeClust,wine.zip
4,cosine,average,1.021919012069702,0.2502,27.0141,1.3502,skl_agglomerativeClust,wine.zip
4,cosine,complete,1.023249626159668,0.1471,685.3982,2.1478,skl_agglomerativeClust,wine.zip
4,cosine,single,0.3776834011077881,0.239,3.3806,0.5349,skl_agglomerativeClust,wine.zip
4,euclidean,average,1.01031494140625,0.6005,87.3409,0.3769,skl_agglomerativeClust,wine.zip
4,euclidean,complete,0.996807336807251,0.6981,32.009,0.2804,skl_agglomerativeClust,wine.zip
4,euclidean,single,0.4273843765258789,0.7001,25.448,0.1958,skl_agglomerativeClust,wine.zip
4,euclidean,ward,1.106139898300171,0.1512,1289.1789,1.7579,skl_agglomerativeClust,wine.zip
6,correlation,average,1.1108694076538086,0.2391,28.5507,1.3451,skl_agglomerativeClust,wine.zip
