threshold,branching_factor,n_clusters,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
0.5,50,10,1000.0,100,0.8217644691467285,0.1539,858.3203,1.6055,skl_birch,wine.zip
0.5,50,10,1000.0,20,0.8263614177703857,0.1539,858.3203,1.6055,skl_birch,wine.zip
0.5,50,10,20.0,20,0.9270510673522948,0.1531,853.3703,1.6247,skl_birch,wine.zip
0.5,50,10,inf,100,0.8120644092559814,0.1539,858.3203,1.6055,skl_birch,wine.zip
0.5,50,10,inf,20,0.8116538524627686,0.1539,858.3203,1.6055,skl_birch,wine.zip
0.5,50,12,1000.0,100,0.8087608814239502,0.1468,765.1738,1.6244,skl_birch,wine.zip
0.5,50,12,1000.0,20,0.8089854717254639,0.1468,765.1738,1.6244,skl_birch,wine.zip
0.5,50,12,20.0,20,0.9245905876159668,0.131,772.0347,1.7763,skl_birch,wine.zip
0.5,50,12,inf,100,0.8113508224487305,0.1468,765.1738,1.6244,skl_birch,wine.zip
0.5,50,12,inf,20,0.8109164237976074,0.1468,765.1738,1.6244,skl_birch,wine.zip
0.5,50,2,1000.0,100,0.8197462558746338,0.2053,1551.6826,1.889,skl_birch,wine.zip
0.5,50,2,1000.0,20,0.821049690246582,0.2053,1551.6826,1.889,skl_birch,wine.zip
0.5,50,2,20.0,20,0.9310877323150636,0.2418,1501.3447,1.7075,skl_birch,wine.zip
0.5,50,2,inf,100,0.8099279403686523,0.2053,1551.6826,1.889,skl_birch,wine.zip
0.5,50,2,inf,20,0.8062901496887207,0.2053,1551.6826,1.889,skl_birch,wine.zip
0.5,50,4,1000.0,100,0.8135395050048828,0.1752,1256.684,1.9071,skl_birch,wine.zip
0.5,50,4,1000.0,20,0.8105041980743408,0.1752,1256.684,1.9071,skl_birch,wine.zip
0.5,50,4,20.0,20,0.9343743324279784,0.1933,1258.0485,1.7167,skl_birch,wine.zip
0.5,50,4,inf,100,0.8091349601745605,0.1752,1256.684,1.9071,skl_birch,wine.zip
0.5,50,4,inf,20,0.8532371520996094,0.1752,1256.684,1.9071,skl_birch,wine.zip
0.5,50,6,1000.0,100,0.8191502094268799,0.1307,1025.1097,1.8663,skl_birch,wine.zip
0.5,50,6,1000.0,20,0.8087382316589355,0.1307,1025.1097,1.8663,skl_birch,wine.zip
0.5,50,6,20.0,20,0.9252090454101562,0.1508,1104.0704,1.844,skl_birch,wine.zip
0.5,50,6,inf,100,0.8093256950378418,0.1307,1025.1097,1.8663,skl_birch,wine.zip
0.5,50,6,inf,20,0.8109042644500732,0.1307,1025.1097,1.8663,skl_birch,wine.zip
0.5,50,8,1000.0,100,0.8107354640960693,0.1491,917.0044,1.6633,skl_birch,wine.zip
0.5,50,8,1000.0,20,0.8682563304901123,0.1491,917.0044,1.6633,skl_birch,wine.zip
0.5,50,8,20.0,20,0.9256436824798584,0.1545,965.7558,1.673,skl_birch,wine.zip
0.5,50,8,inf,100,0.8078258037567139,0.1491,917.0044,1.6633,skl_birch,wine.zip
0.5,50,8,inf,20,0.8093249797821045,0.1491,917.0044,1.6633,skl_birch,wine.zip
