n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,8.219523668289185,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,8.143377304077148,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,8.498601913452148,0.157,1006.6982,1.788,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,8.372677326202393,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,8.454884052276611,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,8.154960632324219,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,8.04001235961914,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,8.61191439628601,0.1569,1006.9249,1.7874,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,100,8.557023525238037,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,largest_cluster,inf,20,8.259493589401245,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,7.801937103271484,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,7.81558632850647,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,7.685842275619507,0.157,1006.6982,1.788,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,8.0277099609375,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,8.566258907318115,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,8.103511571884155,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,8.37609052658081,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,8.695144176483154,0.1569,1006.9249,1.7874,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,100,8.425705432891846,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,largest_cluster,inf,20,8.32092571258545,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,100,8.317810773849487,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,1000.0,20,8.188714027404785,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,20.0,20,8.946750164031982,0.157,1006.6982,1.788,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,100,7.838681936264038,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,biggest_inertia,inf,20,8.2593092918396,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,100,8.508224248886108,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,1000.0,20,8.858028888702393,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,20.0,20,8.684077262878418,0.1569,1006.9249,1.7874,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,100,8.103620767593384,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,largest_cluster,inf,20,8.691709518432617,0.1594,1014.8254,1.7819,skl_bis_kmeans,wine.zip-8_k
