n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,alg,dataset
8,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,100,1.0537328720092771,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,1000.0,20,1.1085894107818604,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,20.0,20,1.341179609298706,0.1757,1087.2551,1.612,skl_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,inf,100,1.4151535034179688,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,100,0.0001,False,42,True,lloyd,inf,20,1.1643283367156982,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,100,1.0988028049468994,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,1000.0,20,1.1998629570007324,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,20.0,20,1.3639578819274902,0.1757,1087.2551,1.612,skl_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,inf,100,1.285590648651123,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,300,0.0001,False,42,True,lloyd,inf,20,0.9595742225646972,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,100,1.0868618488311768,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,1000.0,20,1.0601158142089844,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,20.0,20,1.372361183166504,0.1757,1087.2551,1.612,skl_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,inf,100,1.2392151355743408,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
8,k-means++,11,500,0.0001,False,42,True,lloyd,inf,20,1.258054494857788,0.1773,1092.8485,1.6217,skl_kmeans,wine.zip-8_k
