n_clusters,depth_factor,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,0.01,1000.0,100,0.088078498840332,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.01,1000.0,20,0.0847353935241699,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.01,100.0,100,0.0695023536682128,0.5765,922.0486,0.5566,0.8719,0.5899,1.3814,0.7671,0.7706,1.0,0.6268,0.7706,0.6999,ShallowTree,zelnik5_y.zip
10,0.01,100.0,20,0.0881478786468505,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.01,inf,100,0.0926723480224609,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.01,inf,20,0.0915558338165283,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.03,1000.0,100,0.0880208015441894,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.03,1000.0,20,0.1341936588287353,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.03,100.0,100,0.0759873390197753,0.5765,922.0486,0.5566,0.8719,0.5899,1.3814,0.7671,0.7706,1.0,0.6268,0.7706,0.6999,ShallowTree,zelnik5_y.zip
10,0.03,100.0,20,0.0890955924987793,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.03,inf,100,0.089733600616455,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.03,inf,20,0.089353322982788,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.05,1000.0,100,0.0906233787536621,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.05,1000.0,20,0.0914855003356933,0.576,926.3815,0.5567,0.8718,0.5892,1.3814,0.7669,0.7704,1.0,0.6265,0.7704,0.6994,ShallowTree,zelnik5_y.zip
10,0.05,100.0,100,0.0732824802398681,0.5765,922.0486,0.5566,0.8719,0.5899,1.3814,0.7671,0.7706,1.0,0.6268,0.7706,0.6999,ShallowTree,zelnik5_y.zip
