max_depth,max_nbr_clusters,min_samples_leaf,min_samples_split,max_nbr_values,max_nbr_values_cat,bic_eps,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,30,50,1000.0,100.0,0.0,1.9241914749145508,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,100.0,0.1,1.931161642074585,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,100.0,0.2,1.900049924850464,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,20.0,0.0,1.9258275032043457,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,20.0,0.1,1.784562349319458,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,20.0,0.2,1.9090006351470947,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,inf,0.0,2.462934970855713,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,inf,0.1,2.439680576324463,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,50,1000.0,inf,0.2,2.436173915863037,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,50,100.0,20.0,0.0,0.4094877243041992,0.2973,351.5887,1.6564,0.8105,0.3959,1.0713,0.6013,0.6075,0.7756,0.4993,0.6075,0.5271,VarianceParTree,zelnik5_y.zip
10,10,30,50,100.0,20.0,0.1,0.4118773937225342,0.2973,351.5887,1.6564,0.8105,0.3959,1.0713,0.6013,0.6075,0.7756,0.4993,0.6075,0.5271,VarianceParTree,zelnik5_y.zip
10,10,30,50,100.0,20.0,0.2,0.4104950428009033,0.2973,351.5887,1.6564,0.8105,0.3959,1.0713,0.6013,0.6075,0.7756,0.4993,0.6075,0.5271,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,100.0,0.0,1.929652452468872,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,100.0,0.1,1.9324586391448972,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,100.0,0.2,1.9588019847869875,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,20.0,0.0,1.9300692081451416,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,20.0,0.1,1.9389336109161377,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,20.0,0.2,1.8121895790100095,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,inf,0.0,2.4584314823150635,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,inf,0.1,2.421591758728028,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,50,inf,inf,0.2,2.455044984817505,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,100.0,0.0,1.903874158859253,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,100.0,0.1,1.9065766334533687,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,100.0,0.2,1.9526827335357664,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,20.0,0.0,1.9212818145751955,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,20.0,0.1,1.9478068351745603,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,20.0,0.2,1.798661470413208,0.2671,333.3253,1.6389,0.7956,0.3582,0.9714,0.5522,0.5593,0.7032,0.4643,0.5593,0.4937,VarianceParTree,zelnik5_y.zip
10,10,30,5,1000.0,inf,0.0,2.4469356536865234,0.2878,3.5313,0.4834,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,VarianceParTree,zelnik5_y.zip
