n_clusters,max_iter,init,n_init,verbose,random_state,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,100,Cao,11,False,42,4,0.0880458354949951,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,,,kmodes,zelnik5_y.zip
10,100,Cao,11,False,42,4,0.0639815330505371,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,1000.0,20.0,kmodes,zelnik5_y.zip
10,100,Cao,11,False,42,4,0.0642111301422119,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,100.0,20.0,kmodes,zelnik5_y.zip
10,100,Cao,11,False,42,4,0.0656356811523437,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,inf,20.0,kmodes,zelnik5_y.zip
10,300,Cao,11,False,42,4,0.08785080909729,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,,,kmodes,zelnik5_y.zip
10,300,Cao,11,False,42,4,0.0645704269409179,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,1000.0,20.0,kmodes,zelnik5_y.zip
10,300,Cao,11,False,42,4,0.0643787384033203,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,100.0,20.0,kmodes,zelnik5_y.zip
10,300,Cao,11,False,42,4,0.064204454421997,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,inf,20.0,kmodes,zelnik5_y.zip
10,500,Cao,11,False,42,4,0.086855411529541,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,,,kmodes,zelnik5_y.zip
10,500,Cao,11,False,42,4,0.0640819072723388,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,1000.0,20.0,kmodes,zelnik5_y.zip
10,500,Cao,11,False,42,4,0.0649032592773437,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,100.0,20.0,kmodes,zelnik5_y.zip
10,500,Cao,11,False,42,4,0.0638020038604736,0.256,3.1642,0.5116,0.2705,0.0029,0.0265,0.0029,0.0351,0.0192,0.2084,0.0351,0.4944,inf,20.0,kmodes,zelnik5_y.zip
12,100,Cao,11,False,42,4,0.0971672534942627,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,,,kmodes,zelnik5_y.zip
12,100,Cao,11,False,42,4,0.0714013576507568,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,1000.0,20.0,kmodes,zelnik5_y.zip
12,100,Cao,11,False,42,4,0.0710856914520263,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,100.0,20.0,kmodes,zelnik5_y.zip
12,100,Cao,11,False,42,4,0.0727961063385009,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,inf,20.0,kmodes,zelnik5_y.zip
12,300,Cao,11,False,42,4,0.0989401340484619,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,,,kmodes,zelnik5_y.zip
12,300,Cao,11,False,42,4,0.071096658706665,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,1000.0,20.0,kmodes,zelnik5_y.zip
12,300,Cao,11,False,42,4,0.0712766647338867,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,100.0,20.0,kmodes,zelnik5_y.zip
12,300,Cao,11,False,42,4,0.0723657608032226,0.2474,3.1277,0.5142,0.275,0.0037,0.0325,0.0038,0.0423,0.0235,0.2095,0.0423,0.4931,inf,20.0,kmodes,zelnik5_y.zip
