amount_initial_centers,kmax,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
10,10,0.0053906440734863,0.5403,699.3253,0.6195,0.8616,0.5691,1.2654,0.7216,0.726,0.916,0.6013,0.726,0.6741,,,pyc_xmeans,zelnik5_y.zip
10,10,0.0053644180297851,0.5641,868.3241,0.5608,0.8505,0.5043,1.3814,0.7497,0.7534,1.0,0.6044,0.7534,0.636,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,10,0.006765604019165,0.539,763.979,0.5979,0.8751,0.602,1.3814,0.7713,0.7748,1.0,0.6324,0.7748,0.7088,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,10,0.0057218074798583,0.575,872.4381,0.5658,0.8746,0.6002,1.3814,0.771,0.7745,1.0,0.632,0.7745,0.7075,inf,20.0,pyc_xmeans,zelnik5_y.zip
10,14,0.0520033836364746,0.5603,1154.7705,0.5248,0.8349,0.4382,1.3814,0.7011,0.7071,1.0,0.547,0.7071,0.5852,,,pyc_xmeans,zelnik5_y.zip
10,14,0.0074563026428222,0.5592,1315.1589,0.5264,0.8322,0.4265,1.3814,0.6965,0.7026,1.0,0.5415,0.7026,0.576,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,14,0.0084931850433349,0.5602,1166.7442,0.5259,0.8348,0.4376,1.3814,0.7008,0.7068,1.0,0.5466,0.7068,0.5847,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,14,0.0076475143432617,0.5524,1188.7906,0.5258,0.8269,0.4028,1.3814,0.6909,0.697,1.0,0.535,0.697,0.5572,inf,20.0,pyc_xmeans,zelnik5_y.zip
10,18,0.0079195499420166,0.5373,1484.4759,0.5356,0.8163,0.3544,1.3814,0.6546,0.6633,1.0,0.4962,0.6633,0.5179,,,pyc_xmeans,zelnik5_y.zip
10,18,0.0079190731048583,0.537,1621.0249,0.5341,0.8159,0.3528,1.3814,0.6539,0.6626,1.0,0.4954,0.6626,0.5165,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,18,0.0092658996582031,0.5455,1400.718,0.5343,0.8255,0.3965,1.3814,0.6664,0.675,1.0,0.5094,0.675,0.5521,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,18,0.007798433303833,0.5251,1602.543,0.5396,0.8084,0.3176,1.3814,0.6458,0.6545,1.0,0.4864,0.6545,0.4869,inf,20.0,pyc_xmeans,zelnik5_y.zip
10,2,0.0052390098571777,0.5765,923.0085,0.5507,0.8718,0.5895,1.3814,0.767,0.7705,1.0,0.6267,0.7705,0.6996,,,pyc_xmeans,zelnik5_y.zip
10,22,0.0100958347320556,0.5012,1696.0759,0.558,0.7968,0.2607,1.3814,0.6166,0.6273,1.0,0.457,0.6273,0.4366,,,pyc_xmeans,zelnik5_y.zip
10,22,0.0142402648925781,0.511,1551.8933,0.5561,0.8075,0.3131,1.3814,0.6249,0.6362,1.0,0.4665,0.6362,0.483,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,22,0.0121183395385742,0.5185,1784.0974,0.5471,0.8074,0.3125,1.3814,0.6248,0.6361,1.0,0.4664,0.6361,0.4825,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,22,0.0103883743286132,0.4996,1674.9132,0.5596,0.7966,0.2601,1.3814,0.613,0.6244,1.0,0.4539,0.6244,0.4359,inf,20.0,pyc_xmeans,zelnik5_y.zip
10,2,0.0036745071411132,0.5752,873.0107,0.5656,0.8746,0.6001,1.3814,0.771,0.7744,1.0,0.6319,0.7744,0.7074,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,2,0.0048131942749023,0.5569,851.6953,0.5841,0.8651,0.5712,1.3177,0.7363,0.7403,0.9539,0.6049,0.7403,0.6811,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,2,0.0036876201629638,0.5734,869.7614,0.5635,0.8746,0.6004,1.3814,0.771,0.7745,1.0,0.632,0.7745,0.7076,inf,20.0,pyc_xmeans,zelnik5_y.zip
10,6,0.0036761760711669,0.5625,860.5359,0.5742,0.8681,0.5801,1.333,0.7444,0.7482,0.965,0.611,0.7482,0.6893,,,pyc_xmeans,zelnik5_y.zip
10,6,0.0037081241607666,0.5769,924.7038,0.5535,0.8718,0.5894,1.3814,0.7669,0.7704,1.0,0.6266,0.7704,0.6995,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
10,6,0.0046877861022949,0.5434,807.4403,0.6086,0.8615,0.5615,1.2925,0.7249,0.7291,0.9357,0.5972,0.7291,0.6714,100.0,20.0,pyc_xmeans,zelnik5_y.zip
10,6,0.0036976337432861,0.5365,763.3089,0.586,0.8965,0.681,1.3814,0.7897,0.793,1.0,0.657,0.793,0.7666,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,10,0.0036354064941406,0.5704,1009.9016,0.5356,0.8648,0.5621,1.3814,0.7415,0.7462,1.0,0.5951,0.7462,0.6794,,,pyc_xmeans,zelnik5_y.zip
12,10,0.0037462711334228,0.5691,1133.3288,0.524,0.839,0.4561,1.3814,0.7191,0.7239,1.0,0.5673,0.7239,0.5991,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,10,0.0036952495574951,0.5591,927.3747,0.5522,0.8436,0.4754,1.3814,0.7254,0.7302,1.0,0.5751,0.7302,0.614,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,10,0.0050208568572998,0.5682,1127.6819,0.5237,0.8391,0.4565,1.3814,0.7192,0.724,1.0,0.5674,0.724,0.5994,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,14,0.0090482234954833,0.558,1053.1535,0.5257,0.8589,0.5387,1.3814,0.7197,0.7256,1.0,0.5693,0.7256,0.6619,,,pyc_xmeans,zelnik5_y.zip
12,14,0.0099542140960693,0.5502,1085.3911,0.5324,0.851,0.5063,1.3814,0.7089,0.7149,1.0,0.5562,0.7149,0.6375,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,14,0.0115864276885986,0.5518,1194.5437,0.5257,0.8269,0.4029,1.3814,0.6908,0.6969,1.0,0.5349,0.6969,0.5573,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,14,0.0090217590332031,0.5566,1083.9574,0.5295,0.8577,0.5337,1.3814,0.7172,0.7231,1.0,0.5663,0.7231,0.6582,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,18,0.0082998275756835,0.5251,1563.7768,0.5404,0.8087,0.3186,1.3814,0.6461,0.6548,1.0,0.4868,0.6548,0.4878,,,pyc_xmeans,zelnik5_y.zip
12,18,0.0138778686523437,0.5455,1463.7282,0.5341,0.8243,0.3911,1.3814,0.6642,0.6728,1.0,0.5069,0.6728,0.5478,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,18,0.0087318420410156,0.543,1446.3901,0.5335,0.8246,0.3926,1.3814,0.6645,0.6731,1.0,0.5073,0.6731,0.549,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,18,0.0636467933654785,0.5378,1530.7188,0.5344,0.8171,0.3582,1.3814,0.6563,0.6649,1.0,0.4981,0.6649,0.521,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,2,0.004836082458496,0.5707,1003.6629,0.5431,0.8649,0.5626,1.3814,0.7417,0.7463,1.0,0.5953,0.7463,0.6797,,,pyc_xmeans,zelnik5_y.zip
12,22,0.0090711116790771,0.5177,1765.6182,0.5474,0.8071,0.3114,1.3814,0.6243,0.6356,1.0,0.4658,0.6356,0.4816,,,pyc_xmeans,zelnik5_y.zip
12,22,0.0084748268127441,0.5121,1869.3796,0.5469,0.8027,0.2901,1.3814,0.6208,0.6321,1.0,0.4621,0.6321,0.463,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,22,0.0110523700714111,0.5047,1834.7885,0.5514,0.7995,0.2743,1.3814,0.6166,0.6279,1.0,0.4576,0.6279,0.4488,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,22,0.0150866508483886,0.505,1731.8769,0.5587,0.799,0.2716,1.3814,0.6155,0.6268,1.0,0.4564,0.6268,0.4465,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,2,0.0039074420928955,0.5688,1135.8877,0.5278,0.839,0.456,1.3814,0.719,0.7239,1.0,0.5673,0.7239,0.599,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,2,0.004758596420288,0.5661,1041.5954,0.5305,0.8632,0.5559,1.3814,0.7388,0.7435,1.0,0.5917,0.7435,0.6747,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,2,0.0037968158721923,0.5686,1132.5401,0.5251,0.839,0.4561,1.3814,0.7191,0.7239,1.0,0.5673,0.7239,0.5991,inf,20.0,pyc_xmeans,zelnik5_y.zip
12,6,0.0037126541137695,0.5315,855.8751,0.5625,0.8641,0.5592,1.3814,0.7397,0.7443,1.0,0.5928,0.7443,0.6772,,,pyc_xmeans,zelnik5_y.zip
12,6,0.0037047863006591,0.566,1048.246,0.5264,0.8631,0.5555,1.3814,0.7386,0.7433,1.0,0.5914,0.7433,0.6744,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
12,6,0.0039179325103759,0.5689,1136.9641,0.5265,0.839,0.4559,1.3814,0.719,0.7239,1.0,0.5672,0.7239,0.5989,100.0,20.0,pyc_xmeans,zelnik5_y.zip
12,6,0.003688097000122,0.5712,1004.9198,0.5428,0.8649,0.5625,1.3814,0.7417,0.7464,1.0,0.5954,0.7464,0.6796,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,10,0.0077707767486572,0.5355,802.9459,0.6187,0.8675,0.5832,1.295,0.7295,0.7337,0.9375,0.6026,0.7337,0.6885,,,pyc_xmeans,zelnik5_y.zip
2,10,0.0095703601837158,0.543,847.5466,0.5915,0.841,0.4745,1.3162,0.7152,0.7193,0.9528,0.5778,0.7193,0.6067,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,10,0.0083847045898437,0.5366,764.0981,0.5877,0.8964,0.6808,1.3814,0.7896,0.7928,1.0,0.6568,0.7928,0.7664,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,10,0.0083827972412109,0.548,808.9567,0.5943,0.8964,0.6806,1.3814,0.7895,0.7928,1.0,0.6567,0.7928,0.7663,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,14,0.0095636844635009,0.56,1217.9386,0.5251,0.8326,0.428,1.3814,0.6973,0.7033,1.0,0.5424,0.7033,0.5772,,,pyc_xmeans,zelnik5_y.zip
2,14,0.0099444389343261,0.5577,1052.4686,0.5274,0.859,0.5389,1.3814,0.7198,0.7256,1.0,0.5694,0.7256,0.662,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,14,0.0127718448638916,0.5585,1053.202,0.5306,0.8589,0.5386,1.3814,0.7197,0.7256,1.0,0.5693,0.7256,0.6618,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,14,0.0108027458190917,0.5599,1281.0192,0.5238,0.8325,0.4279,1.3814,0.6971,0.7031,1.0,0.5422,0.7031,0.5771,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,18,0.0108089447021484,0.5432,1444.7665,0.5335,0.824,0.3899,1.3814,0.6636,0.6722,1.0,0.5062,0.6722,0.5469,,,pyc_xmeans,zelnik5_y.zip
2,18,0.0145046710968017,0.5451,1471.2907,0.5321,0.8243,0.3912,1.3814,0.6641,0.6726,1.0,0.5067,0.6726,0.5479,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,18,0.0135316848754882,0.544,1450.8974,0.5333,0.824,0.3896,1.3814,0.6635,0.672,1.0,0.5061,0.672,0.5467,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,18,0.0112900733947753,0.5428,1436.6373,0.5333,0.8242,0.3909,1.3814,0.6637,0.6723,1.0,0.5064,0.6723,0.5477,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,2,0.0104084014892578,0.3394,265.8374,1.237,0.5947,0.1887,0.2565,0.2452,0.2473,0.1857,0.3702,0.2473,0.4871,,,pyc_xmeans,zelnik5_y.zip
2,22,0.013167381286621,0.5109,1553.3511,0.5556,0.8075,0.3129,1.3814,0.6248,0.6361,1.0,0.4664,0.6361,0.4829,,,pyc_xmeans,zelnik5_y.zip
2,22,0.0165176391601562,0.5111,1553.7695,0.5564,0.8074,0.3128,1.3814,0.6248,0.6361,1.0,0.4664,0.6361,0.4828,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,22,0.0152065753936767,0.5023,1756.0666,0.5567,0.7998,0.2755,1.3814,0.6167,0.6281,1.0,0.4578,0.6281,0.45,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,22,0.0141139030456542,0.5161,1053.3986,0.544,0.8387,0.4548,1.3814,0.651,0.6621,1.0,0.4949,0.6621,0.5981,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,2,0.0049819946289062,0.3841,301.8384,1.1121,0.6848,0.371,0.5261,0.5066,0.508,0.3809,0.7627,0.508,0.617,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,2,0.0041649341583251,0.3383,265.5046,1.243,0.5902,0.1802,0.2467,0.2357,0.2379,0.1786,0.3562,0.2379,0.4813,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,2,0.0091595649719238,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,inf,20.0,pyc_xmeans,zelnik5_y.zip
2,6,0.0056447982788085,0.4405,439.4733,0.8785,0.744,0.3943,0.6275,0.5077,0.51,0.4542,0.5814,0.51,0.5774,,,pyc_xmeans,zelnik5_y.zip
2,6,0.0069684982299804,0.543,639.4158,0.6118,0.8659,0.6232,1.1247,0.7359,0.7384,0.8142,0.6756,0.7384,0.7123,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
2,6,0.0067601203918457,0.5441,639.4915,0.6145,0.8707,0.6352,1.1409,0.7447,0.7471,0.8259,0.6821,0.7471,0.7214,100.0,20.0,pyc_xmeans,zelnik5_y.zip
2,6,0.0094847679138183,0.5423,639.3876,0.6103,0.8658,0.6229,1.1235,0.7351,0.7377,0.8133,0.6749,0.7377,0.712,inf,20.0,pyc_xmeans,zelnik5_y.zip
4,10,0.0103838443756103,0.553,713.5496,0.6045,0.9008,0.6965,1.3814,0.7971,0.8003,1.0,0.6671,0.8003,0.7778,,,pyc_xmeans,zelnik5_y.zip
4,10,0.0084013938903808,0.5757,915.7081,0.5551,0.872,0.5903,1.3814,0.7673,0.7708,1.0,0.6271,0.7708,0.7002,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
4,10,0.0093679428100585,0.5754,872.5542,0.569,0.8746,0.6002,1.3814,0.771,0.7745,1.0,0.632,0.7745,0.7075,100.0,20.0,pyc_xmeans,zelnik5_y.zip
4,10,0.0079782009124755,0.5755,923.1201,0.5605,0.8719,0.5898,1.3814,0.7671,0.7706,1.0,0.6268,0.7706,0.6999,inf,20.0,pyc_xmeans,zelnik5_y.zip
4,14,0.0084285736083984,0.559,1145.7643,0.53,0.8349,0.4383,1.3814,0.701,0.7071,1.0,0.5469,0.7071,0.5853,,,pyc_xmeans,zelnik5_y.zip
4,14,0.0088336467742919,0.5515,1190.0127,0.5257,0.8269,0.4028,1.3814,0.6908,0.6969,1.0,0.5348,0.6969,0.5572,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
4,14,0.0081675052642822,0.5643,932.8699,0.5459,0.8619,0.5506,1.3814,0.7253,0.7311,1.0,0.5762,0.7311,0.6708,100.0,20.0,pyc_xmeans,zelnik5_y.zip
4,14,0.008373737335205,0.564,931.5322,0.5448,0.862,0.5509,1.3814,0.7257,0.7315,1.0,0.5766,0.7315,0.671,inf,20.0,pyc_xmeans,zelnik5_y.zip
4,18,0.0107011795043945,0.5314,991.2727,0.546,0.8423,0.4699,1.3814,0.6753,0.6838,1.0,0.5195,0.6838,0.6097,,,pyc_xmeans,zelnik5_y.zip
4,18,0.0101394653320312,0.5394,1032.445,0.5362,0.8513,0.5078,1.3814,0.6859,0.6943,1.0,0.5317,0.6943,0.6386,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
4,18,0.0107810497283935,0.5442,1432.1793,0.5371,0.8244,0.3917,1.3814,0.664,0.6726,1.0,0.5067,0.6726,0.5483,100.0,20.0,pyc_xmeans,zelnik5_y.zip
4,18,0.0122082233428955,0.5307,1538.187,0.5384,0.8133,0.3406,1.3814,0.6502,0.6589,1.0,0.4913,0.6589,0.5064,inf,20.0,pyc_xmeans,zelnik5_y.zip
4,2,0.0035953521728515,0.4434,432.4867,0.8688,0.774,0.4289,0.7948,0.5895,0.5922,0.5753,0.6101,0.5922,0.5844,,,pyc_xmeans,zelnik5_y.zip
4,22,0.0112991333007812,0.502,1690.939,0.5583,0.7968,0.2609,1.3814,0.6167,0.6274,1.0,0.4571,0.6274,0.4367,,,pyc_xmeans,zelnik5_y.zip
4,22,0.0122368335723876,0.5184,1693.397,0.547,0.8079,0.3152,1.3814,0.6259,0.6372,1.0,0.4675,0.6372,0.4848,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
4,22,0.0121481418609619,0.5183,1784.4778,0.5469,0.8074,0.3125,1.3814,0.6248,0.6361,1.0,0.4664,0.6361,0.4825,100.0,20.0,pyc_xmeans,zelnik5_y.zip
4,22,0.0120863914489746,0.5189,1791.121,0.5466,0.8073,0.3123,1.3814,0.6247,0.636,1.0,0.4663,0.636,0.4823,inf,20.0,pyc_xmeans,zelnik5_y.zip
4,2,0.0034453868865966,0.4307,419.1672,0.9036,0.7541,0.3621,0.6548,0.4779,0.4813,0.474,0.4888,0.4813,0.5284,1000.0,20.0,pyc_xmeans,zelnik5_y.zip
4,2,0.0045039653778076,0.4149,388.9856,0.9237,0.8019,0.4875,0.8072,0.5913,0.5939,0.5844,0.6038,0.5939,0.6218,100.0,20.0,pyc_xmeans,zelnik5_y.zip
