eps,min_samples,metric,algorithm,n_jobs,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
0.1,10,correlation,auto,4,0.0097973346710205,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,,,skl_DBSCAN,zelnik5_y.zip
0.1,10,correlation,auto,4,0.0141239166259765,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,correlation,auto,4,0.0079355239868164,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,correlation,auto,4,0.0138826370239257,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,cosine,auto,4,0.0102784633636474,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,,,skl_DBSCAN,zelnik5_y.zip
0.1,10,cosine,auto,4,0.0105249881744384,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,cosine,auto,4,0.0145635604858398,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,cosine,auto,4,0.0102684497833251,0.4036,327.2402,1.0861,0.7501,0.5007,0.6912,0.666,0.667,0.5004,1.0,0.667,0.7079,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,euclidean,auto,4,0.0074667930603027,0.2213,100.0047,4.2204,0.857,0.6782,0.9917,0.8253,0.8262,0.7179,0.973,0.8262,0.795,,,skl_DBSCAN,zelnik5_y.zip
0.1,10,euclidean,auto,4,0.007652997970581,0.2213,100.0047,4.2204,0.857,0.6782,0.9917,0.8253,0.8262,0.7179,0.973,0.8262,0.795,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,euclidean,auto,4,0.0065581798553466,0.2213,100.0047,4.2204,0.857,0.6782,0.9917,0.8253,0.8262,0.7179,0.973,0.8262,0.795,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,10,euclidean,auto,4,0.0037591457366943,0.2213,100.0047,4.2204,0.857,0.6782,0.9917,0.8253,0.8262,0.7179,0.973,0.8262,0.795,inf,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,2,correlation,auto,4,0.0107579231262207,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,,,skl_DBSCAN,zelnik5_y.zip
0.1,2,correlation,auto,4,0.0079329013824462,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,1000.0,20.0,skl_DBSCAN,zelnik5_y.zip
0.1,2,correlation,auto,4,0.0078880786895751,0.3544,258.185,1.2335,0.6271,0.2537,0.3342,0.3204,0.3223,0.242,0.4825,0.3223,0.5331,100.0,20.0,skl_DBSCAN,zelnik5_y.zip
