n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.086890697479248,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,,,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1169230937957763,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,1000.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0771300792694091,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,100.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0970556735992431,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,inf,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0924606323242187,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,,,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0867488384246826,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,1000.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0880920886993408,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,100.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0837869644165039,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,inf,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0773911476135253,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,,,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0795600414276123,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,1000.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.078437328338623,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,100.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0819799900054931,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,inf,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0831995010375976,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,,,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0795598030090332,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,1000.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.1034953594207763,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,100.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0826320648193359,0.483,437.0499,0.7042,0.7868,0.4867,0.8586,0.6598,0.6622,0.6215,0.7085,0.6622,0.639,inf,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0799083709716796,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,,,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0807712078094482,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,1000.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
4,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.1170456409454345,0.4749,434.0246,0.7192,0.7847,0.4781,0.8369,0.6396,0.6421,0.6058,0.6829,0.6421,0.631,100.0,20.0,kmeans+dt,zelnik5_y.zip-4_True_k
