n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
10,10,IMM,1000.0,100,0.0603532791137695,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
10,10,IMM,1000.0,20,0.0349819660186767,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
10,10,IMM,100.0,100,0.0492019653320312,0.5705,681.778,0.5898,0.8379,0.6137,0.8969,0.6321,0.6435,0.8367,0.5228,0.6435,0.7359,ExKMC,zelnik6_y.zip
10,10,IMM,100.0,20,0.057300329208374,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
10,10,IMM,inf,100,0.0549039840698242,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
10,10,IMM,inf,20,0.0364689826965332,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
10,10,NONE,1000.0,100,0.0310649871826171,0.5667,599.1112,0.5966,0.8316,0.601,0.8604,0.6215,0.6321,0.8027,0.5213,0.6321,0.7267,ExKMC,zelnik6_y.zip
10,10,NONE,1000.0,20,0.0446376800537109,0.5667,599.1112,0.5966,0.8316,0.601,0.8604,0.6215,0.6321,0.8027,0.5213,0.6321,0.7267,ExKMC,zelnik6_y.zip
10,10,NONE,100.0,100,0.0300581455230712,0.5708,586.3765,0.5965,0.8286,0.5947,0.8494,0.6154,0.6262,0.7925,0.5176,0.6262,0.7222,ExKMC,zelnik6_y.zip
10,10,NONE,100.0,20,0.0546143054962158,0.5667,599.1112,0.5966,0.8316,0.601,0.8604,0.6215,0.6321,0.8027,0.5213,0.6321,0.7267,ExKMC,zelnik6_y.zip
10,10,NONE,inf,100,0.0318629741668701,0.5667,599.1112,0.5966,0.8316,0.601,0.8604,0.6215,0.6321,0.8027,0.5213,0.6321,0.7267,ExKMC,zelnik6_y.zip
10,10,NONE,inf,20,0.0356998443603515,0.5667,599.1112,0.5966,0.8316,0.601,0.8604,0.6215,0.6321,0.8027,0.5213,0.6321,0.7267,ExKMC,zelnik6_y.zip
10,12,IMM,1000.0,100,0.0200302600860595,0.5643,710.0121,0.5898,0.8441,0.6268,0.9228,0.6466,0.6575,0.8609,0.5319,0.6575,0.7458,ExKMC,zelnik6_y.zip
