n_clusters,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,max_nbr_values,max_nbr_values_cat,alg,dataset
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0753800868988037,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,,,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0097835063934326,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0097620487213134,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,100.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0098016262054443,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,inf,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0338187217712402,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,,,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0742988586425781,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0487842559814453,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,100.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0222177505493164,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,inf,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0395648479461669,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,,,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0283772945404052,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0709033012390136,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,100.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0737481117248535,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,inf,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0097835063934326,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0097620487213134,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,100.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,100,0.0001,False,42,True,lloyd,0.0098016262054443,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,inf,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0742988586425781,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0487842559814453,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,100.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,300,0.0001,False,42,True,lloyd,0.0222177505493164,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,inf,20.0,skl_kmeans,zelnik6_y.zip-4_k
4,k-means++,11,500,0.0001,False,42,True,lloyd,0.0283772945404052,0.7648,641.7966,0.4125,0.8981,0.7787,0.8077,0.7334,0.7366,0.7536,0.7203,0.7366,0.8583,1000.0,20.0,skl_kmeans,zelnik6_y.zip-4_k
