n_clusters,labels_as_tree_leaves,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0831220149993896,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0513544082641601,0.6134,64.2183,2.2678,0.9111,0.8048,0.8546,0.7365,0.7419,0.7972,0.6937,0.7419,0.8732,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0617775917053222,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,100,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0522599220275878,0.6905,271.2658,0.6766,0.9065,0.7939,0.8546,0.7141,0.7209,0.7972,0.658,0.7209,0.8656,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.0847494602203369,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0843052864074707,0.6134,64.2183,2.2678,0.9111,0.8048,0.8546,0.7365,0.7419,0.7972,0.6937,0.7419,0.8732,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0290403366088867,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,300,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0245523452758789,0.6905,271.2658,0.6766,0.9065,0.7939,0.8546,0.7141,0.7209,0.7972,0.658,0.7209,0.8656,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,50,0.0,,,0.0,,0.0,0.036900520324707,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,30,5,0.0,,,0.0,,0.0,0.0265083312988281,0.6134,64.2183,2.2678,0.9111,0.8048,0.8546,0.7365,0.7419,0.7972,0.6937,0.7419,0.8732,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,50,0.0,,,0.0,,0.0,0.0768342018127441,0.2953,75.0252,2.1556,0.745,0.3998,0.5762,0.4657,0.4713,0.5375,0.4196,0.4713,0.5831,kmeans+dt,zelnik6_y.zip-8_True_k
8,True,k-means++,11,500,0.0001,False,42,True,lloyd,gini,best,3,5,0.0,,,0.0,,0.0,0.0358617305755615,0.6905,271.2658,0.6766,0.9065,0.7939,0.8546,0.7141,0.7209,0.7972,0.658,0.7209,0.8656,kmeans+dt,zelnik6_y.zip-8_True_k
