,0
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,1
183,1
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,1
436,1
437,0
438,0
439,1
440,0
441,1
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,1
512,1
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
